year,trades,wins,losses,net_points,avg_trade,winrate
2018,1,1,0,13.62,13.62,100.0
2020,5,4,1,68.75,13.75,80.0
2021,6,6,0,105.0,17.5,100.0
2022,4,1,3,-6.75,-1.69,25.0
2023,3,2,1,21.44,7.15,66.67
2024,10,7,3,77.42,7.74,70.0
2025,15,13,2,246.58,16.44,86.67
2026,5,4,1,75.07,15.01,80.0
