signal_time,entry_time,trade_date,year,month,day_of_week,hour,minute,side,entry_price,stop_price,target_price,risk_points,result_points,result_rr,exit_reason,bars_held,fill_bars,mfe_points,mae_points,lower_wick_pct,body_pct,range_expansion_20,rel_vol_20,atr_14,atr_50,dist_vwap,dist_vwap_day,dist_ema_20,dist_ema_50,dist_dol,dist_pdh,dist_pdl,dist_or_high_30m,dist_or_low_30m,or_range_30m,premarket_range,prior_day_range,liquidity_sweep_reclaim_count_last_30m,has_high_impact_usd_event,has_cpi,has_fomc,has_nfp,has_ppi,has_pmi_ism,has_jobs,has_fed_speech
2025-01-02T08:39:00.000000,2025-01-02T08:40:00.000000,2025-01-02,2025,2025-01,4,8,40,short,21202.06,21213.75,21178.69,11.69,23.38,2.0,target,1,1,35.56,-6.69,0.08387096774193549,0.7483870967741936,1.5523284927391088,1.4741771105908277,31.178571428571427,18.94,-169.35020829871064,-169.35020829871064,-114.41256044607144,-167.08021901621032,-92.75,-348.5,-5.75,-232.75,9.75,242.5,131.5,306.5,2,true,false,false,false,false,true,true,false
2025-01-23T08:37:00.000000,2025-01-23T08:38:00.000000,2025-01-23,2025,2025-01,4,8,38,short,21898.06,21904.5,21885.19,6.44,12.88,2.0,target,1,1,16.06,-2.94,0.056338028169014086,0.6901408450704225,1.545157780195865,1.5159658552007587,14.178571428571429,7.68,-18.13221857242752,-18.13221857242752,-3.0100524817826226,-4.177520690282108,-96.0,-207.75,117.5,-32.25,19.75,52.0,43.0,191.0,1,true,false,false,false,false,true,false,false
2025-02-07T10:46:00.000000,2025-02-07T10:47:00.000000,2025-02-07,2025,2025-02,5,10,47,short,21651.5,21663.25,21628.0,11.75,23.5,2.0,target,1,1,28.5,-0.5,0.07051282051282051,0.8141025641025641,1.808695652173913,1.8376886435471662,21.75,25.67,-162.775895999559,-162.775895999559,-36.401234184646455,-58.73894834728344,-192.75,-257.25,-80.75,-343.0,-244.75,98.25,139.75,170.75,1,false,false,true,false,false,false,false,false
2025-02-12T10:22:00.000000,2025-02-12T10:23:00.000000,2025-02-12,2025,2025-02,3,10,23,short,21675.56,21684.25,21658.19,8.69,17.38,2.0,target,1,1,19.81,-4.44,0.037383177570093455,0.822429906542056,1.751227495908347,1.4245149077141506,14.785714285714286,15.79,-10.559258075616526,-10.559258075616526,-29.038889052873856,-35.5683431432808,-137.75,-215.0,-13.0,-44.5,120.25,164.75,339.25,170.75,1,true,true,true,false,true,false,true,false
2025-02-25T08:31:00.000000,2025-02-25T08:32:00.000000,2025-02-25,2025,2025-02,2,8,32,short,21363.56,21376.0,21338.69,12.44,24.88,2.0,target,1,1,28.31,-0.19,0.08383233532934131,0.874251497005988,3.336663336663337,4.750949538795442,14.892857142857142,10.795,-50.949847509320534,-50.949847509320534,-47.82438924977032,-60.45872051569677,-106.75,-477.25,-71.75,-61.75,125.0,186.75,95.0,393.0,2,true,false,true,false,false,false,false,false
2025-02-26T08:30:00.000000,2025-02-26T08:31:00.000000,2025-02-26,2025,2025-02,3,8,31,short,21228.75,21242.75,21200.75,14.0,28.0,2.0,target,1,1,36.5,-10.5,0.010416666666666666,0.9479166666666666,3.2764505119453924,5.731000731281993,16.303571428571427,11.645,-78.67814517554507,-78.67814517554507,-51.04200351150212,-69.37553095431213,-37.25,-481.75,203.25,-119.75,4.25,124.0,108.5,407.5,2,true,false,true,false,false,false,true,false
2025-03-03T08:30:00.000000,2025-03-03T08:31:00.000000,2025-03-03,2025,2025-03,1,8,31,short,21051.44,21062.75,21028.81,11.31,-11.31,-1.0,stop_same_bar,1,1,23.44,-18.06,0.11409395973154363,0.7449664429530202,3.62089914945322,7.3663624511082135,10.625,10.01,42.05149482064371,42.05149482064371,-38.25148060702486,-40.56008609471246,22.5,83.5,567.25,-93.25,203.5,296.75,64.25,483.75,1,true,false,true,false,false,true,false,false
2025-05-01T10:16:00.000000,2025-05-01T10:17:00.000000,2025-05-01,2025,2025-05,4,10,17,short,19940.12,19950.5,19919.38,10.38,-10.38,-1.0,stop_same_bar,1,1,30.12,-10.62,0.007462686567164179,0.9626865671641791,1.6391437308868502,1.8521143397117883,20.75,17.69,-67.94223301395687,-67.94223301395687,-59.952124329480284,-87.18717187677976,12.0,-20.75,811.5,-158.25,-60.25,98.0,145.5,604.25,4,false,false,false,false,false,false,false,false
2025-06-23T10:36:00.000000,2025-06-23T10:37:00.000000,2025-06-23,2025,2025-06,1,10,37,short,21795.5,21808.75,21769.0,13.25,26.5,2.0,target,1,1,57.25,-7.75,0.06111111111111111,0.8722222222222222,2.4242424242424243,1.7888881351333017,20.196428571428573,15.125,-130.74385702765358,-130.74385702765358,-89.94505128660239,-131.75027577244327,6.25,-22.5,197.75,-253.5,-185.5,68.0,253.75,201.0,2,false,false,false,false,false,false,false,false
2025-07-23T08:34:00.000000,2025-07-23T08:35:00.000000,2025-07-23,2025,2025-07,3,8,35,short,23163.06,23169.25,23150.69,6.19,12.38,2.0,target,1,1,12.56,-4.19,0.04477611940298507,0.9552238805970149,1.5005599104143337,1.4039758608448705,9.964285714285714,13.94,-61.96891530054563,-61.96891530054563,-23.87409459229093,-31.934437797659484,-31.25,-215.75,43.25,-52.25,0.75,53.0,128.0,98.25,1,false,false,false,false,false,false,false,false
