candidate_number,take_trade,skip_reason,fvg_ts,entry_ts,direction,symbol,gap_low,gap_high,gap_mid,gap_width,entry_price,stop_price,natural_risk_points,risk_points,max_sl,stop_was_capped,exit_ts,final_exit_price,tp1_hit,tp2_hit,tp3_hit,stopped,closed_eod,contract_points,mnq_profit_dollars,largest_open_adverse_points,result
14,true,"",2026-01-09T20:00:00.000000,2026-01-09T21:47:00.000000,bull,NQH6,25879.0,25923.25,25901.125,44.25,25923.25,25879.0,44.25,44.25,100,false,2026-01-09T21:59:00.000000,25931.75,false,false,false,false,true,25.5,51.0,0.0,eod
15,true,"",2026-01-12T00:00:00.000000,2026-01-12T00:03:00.000000,bear,NQH6,25902.75,25923.25,25913.0,20.5,25902.75,25923.25,20.5,20.5,100,false,2026-01-12T00:34:00.000000,25827.75,true,true,true,false,false,150.0,300.0,0.0,tp3
13,true,"",2026-01-09T16:00:00.000000,2026-01-12T00:38:00.000000,bull,NQH6,25767.25,25810.75,25789.0,43.5,25810.75,25767.25,43.5,43.5,100,false,2026-01-12T01:02:00.000000,25767.25,false,false,false,true,false,-130.5,-261.0,-48.75,stop
16,true,"",2026-01-12T04:00:00.000000,2026-01-12T07:10:00.000000,bear,NQH6,25746.25,25870.0,25808.125,123.75,25746.25,25846.25,123.75,100.0,100,true,2026-01-12T08:20:00.000000,25671.25,true,true,true,false,false,150.0,300.0,-3.75,tp3
17,true,"",2026-01-12T16:00:00.000000,2026-01-12T23:53:00.000000,bull,NQH6,25750.0,25901.0,25825.5,151.0,25901.0,25801.0,151.0,100.0,100,true,2026-01-13T08:15:00.000000,25901.0,true,false,false,true,false,25.0,50.0,-55.25,tp1_partial_or_be
19,true,"",2026-01-14T12:00:00.000000,2026-01-14T13:30:00.000000,bear,NQH6,25805.5,25835.5,25820.5,30.0,25805.5,25835.5,30.0,30.0,100,false,2026-01-14T14:30:00.000000,25730.5,true,true,true,false,false,150.0,300.0,0.0,tp3
20,true,"",2026-01-14T16:00:00.000000,2026-01-14T16:30:00.000000,bear,NQH6,25592.25,25712.25,25652.25,120.0,25592.25,25692.25,120.0,100.0,100,true,2026-01-14T16:42:00.000000,25517.25,true,true,true,false,false,150.0,300.0,0.0,tp3
21,true,"",2026-01-15T08:00:00.000000,2026-01-15T08:04:00.000000,bull,NQH6,25643.0,25673.75,25658.375,30.75,25673.75,25643.0,30.75,30.75,100,false,2026-01-15T09:03:00.000000,25748.75,true,true,true,false,false,150.0,300.0,0.0,tp3
22,true,"",2026-01-15T12:00:00.000000,2026-01-15T15:52:00.000000,bull,NQH6,25723.0,25803.25,25763.125,80.25,25803.25,25723.0,80.25,80.25,100,false,2026-01-15T15:58:00.000000,25878.25,true,true,true,false,false,150.0,300.0,0.0,tp3
23,true,"",2026-01-15T20:00:00.000000,2026-01-15T20:05:00.000000,bear,NQH6,25771.75,25803.25,25787.5,31.5,25771.75,25803.25,31.5,31.5,100,false,2026-01-15T20:21:00.000000,25696.75,true,true,true,false,false,150.0,300.0,0.0,tp3
24,true,"",2026-01-16T04:00:00.000000,2026-01-16T04:03:00.000000,bull,NQH6,25771.75,25784.75,25778.25,13.0,25784.75,25771.75,13.0,13.0,100,false,2026-01-16T10:45:00.000000,25859.75,true,true,true,false,false,150.0,300.0,0.0,tp3
25,true,"",2026-01-16T16:00:00.000000,2026-01-16T16:45:00.000000,bear,NQH6,25752.75,25795.5,25774.125,42.75,25752.75,25795.5,42.75,42.75,100,false,2026-01-16T17:31:00.000000,25677.75,true,true,true,false,false,150.0,300.0,0.0,tp3
26,true,"",2026-01-18T20:00:00.000000,2026-01-18T23:00:00.000000,bear,NQH6,25472.0,25654.0,25563.0,182.0,25472.0,25572.0,182.0,100.0,100,true,2026-01-19T00:17:00.000000,25397.0,true,true,true,false,false,150.0,300.0,0.0,tp3
28,true,"",2026-01-19T20:00:00.000000,2026-01-19T23:16:00.000000,bull,NQH6,25348.5,25367.25,25357.875,18.75,25367.25,25348.5,18.75,18.75,100,false,2026-01-20T00:00:00.000000,25367.25,true,false,false,true,false,25.0,50.0,-5.75,tp1_partial_or_be
