setup_family,direction,trade_date,year,month,hour_ct,minute_ct,signal_ts,entry_ts,vwap_aligned,directional_v_reversal,directional_displacement,has_liq_sweep,body_lt_60,rel_vol_ge_1_25,risk_le_20,body_pct,rel_vol_20,dist_vwap,atr_14,entry,stop,risk_points,mfe_points,mae_points,tp1_hit,tp2_hit,tp3_hit,scaleout_r,fixed_1R,fixed_1_5R,fixed_2R,ifvg_score,ifvg_grade,combo
ifvg_strict,short,2018-01-18,2018,1,8,10,2018-01-18T08:05:00.000000,2018-01-18T08:10:00.000000,true,true,false,true,true,false,true,0.5,0.739514348785872,-11.436706059398603,1.8392857142857142,6802.75,6806.75,4.0,1.75,-4.25,false,false,false,-1.0,-1.0,-1.0,-1.0,8,A+,VWAP|VREV|LIQ|BODY_LT60|RISK20|
ifvg_strict,long,2018-01-18,2018,1,8,29,2018-01-18T08:28:00.000000,2018-01-18T08:29:00.000000,false,true,true,true,true,true,true,0.3888888888888889,3.0958663148636765,-1.2290927419353466,2.0535714285714284,6813.625,6808.25,5.375,6.875,-4.625,true,false,false,0.333,1.0,-1.0,-1.0,8,A+,VREV|DISP|LIQ|BODY_LT60|RVOL|RISK20|
ifvg_strict,long,2018-01-19,2018,1,8,28,2018-01-19T08:26:00.000000,2018-01-19T08:28:00.000000,true,true,false,true,true,true,true,0.125,2.411700637933717,13.256069072197533,2.9642857142857144,6846.0,6838.25,7.75,11.0,-6.5,true,false,false,0.333,1.0,-1.0,-1.0,10,A+,VWAP|VREV|LIQ|BODY_LT60|RVOL|RISK20|
ifvg_strict,long,2018-01-19,2018,1,10,44,2018-01-19T10:43:00.000000,2018-01-19T10:44:00.000000,true,true,false,true,true,false,true,0.0,0.6164941258578573,0.9346934523082382,2.017857142857143,6833.5,6828.5,5.0,1.25,-5.5,false,false,false,-1.0,-1.0,-1.0,-1.0,8,A+,VWAP|VREV|LIQ|BODY_LT60|RISK20|
ifvg_strict,short,2018-01-19,2018,1,10,51,2018-01-19T10:50:00.000000,2018-01-19T10:51:00.000000,true,true,false,true,true,false,true,0.0,0.506154377085011,-4.030449560716079,2.357142857142857,6827.375,6832.75,5.375,6.625,-1.625,true,false,false,0.333,1.0,-1.0,-1.0,8,A+,VWAP|VREV|LIQ|BODY_LT60|RISK20|
ifvg_strict,long,2018-01-22,2018,1,8,29,2018-01-22T08:28:00.000000,2018-01-22T08:29:00.000000,true,true,false,true,true,true,true,0.0,4.0510948905109485,0.21040939906561107,1.5357142857142858,6841.0,6836.0,5.0,2.25,-5.5,false,false,false,-1.0,-1.0,-1.0,-1.0,10,A+,VWAP|VREV|LIQ|BODY_LT60|RVOL|RISK20|
ifvg_strict,short,2018-01-22,2018,1,8,32,2018-01-22T08:31:00.000000,2018-01-22T08:32:00.000000,true,true,false,true,false,true,true,0.6190476190476191,4.562875609479533,-5.2871012002106,2.267857142857143,6837.875,6843.5,5.625,3.625,-6.125,false,false,false,-1.0,-1.0,-1.0,-1.0,8,A+,VWAP|VREV|LIQ|RVOL|RISK20|
ifvg_strict,long,2018-01-23,2018,1,8,30,2018-01-23T08:29:00.000000,2018-01-23T08:30:00.000000,true,true,false,true,true,true,true,0.05263157894736842,8.975062914664836,1.8036888473725412,1.5357142857142858,6939.0,6934.25,4.75,9.75,-3.0,true,true,true,1.5,1.0,1.5,2.0,10,A+,VWAP|VREV|LIQ|BODY_LT60|RVOL|RISK20|
ifvg_strict,long,2018-01-24,2018,1,8,25,2018-01-24T08:21:00.000000,2018-01-24T08:25:00.000000,true,true,false,true,false,true,true,0.7,1.4055751864939146,9.385855817875381,1.4285714285714286,6988.0,6983.5,4.5,2.0,-6.0,false,false,false,-1.0,-1.0,-1.0,-1.0,8,A+,VWAP|VREV|LIQ|RVOL|RISK20|
ifvg_strict,short,2018-01-24,2018,1,10,28,2018-01-24T10:27:00.000000,2018-01-24T10:28:00.000000,true,true,false,true,true,false,true,0.23529411764705882,0.4271459979222536,-24.551426751839244,5.035714285714286,6956.875,6961.0,4.125,8.375,0.0,true,true,true,1.5,1.0,1.5,2.0,8,A+,VWAP|VREV|LIQ|BODY_LT60|RISK20|
ifvg_strict,short,2018-01-25,2018,1,8,23,2018-01-25T08:22:00.000000,2018-01-25T08:23:00.000000,false,true,true,true,true,true,true,0.3125,1.847709514325111,14.883323654665219,2.2857142857142856,6973.0,6978.25,5.25,12.25,-5.0,true,true,true,1.5,1.0,1.5,2.0,8,A+,VREV|DISP|LIQ|BODY_LT60|RVOL|RISK20|
ifvg_strict,long,2018-01-25,2018,1,8,25,2018-01-25T08:24:00.000000,2018-01-25T08:25:00.000000,true,true,false,true,true,false,true,0.16666666666666666,0.5197106156799055,17.19469246031713,2.3392857142857144,6974.375,6969.0,5.375,3.625,-13.625,false,false,false,-1.0,-1.0,-1.0,-1.0,8,A+,VWAP|VREV|LIQ|BODY_LT60|RISK20|
