year,trades,wins,losses,net_points,avg_trade,winrate
2018,169,61,108,49.5,0.29,36.09
2019,87,34,53,78.0,0.9,39.08
2020,262,70,192,-219.75,-0.84,26.72
2021,271,78,193,-413.25,-1.52,28.78
2022,463,133,330,-338.25,-0.73,28.73
2023,292,103,189,242.0,0.83,35.27
2024,244,60,184,-709.5,-2.91,24.59
2025,277,89,188,93.25,0.34,32.13
2026,127,38,89,283.5,2.23,29.92
