stop_model,target_model,be_model,entry_model,trades,winrate,profit_factor,avg_trade,net_points,max_drawdown,sharpe,expectancy_score
medium,1R,none,5pt_pullback,484,0.8905,8.1321,15.62,7560.0,80.0,19.85,614.78
medium,1R,0_5R,5pt_pullback,484,0.8905,8.1321,15.62,7560.0,80.0,19.85,614.78
medium,1R,1R,5pt_pullback,484,0.8905,8.1321,15.62,7560.0,80.0,19.85,614.78
medium,3R,none,5pt_pullback,484,0.595,4.4028,28.43,13760.75,220.0,10.75,605.85
wide,1_5R,none,10pt_pullback,484,0.7417,4.3763,25.99,12576.75,210.0,12.35,550.4
wide,1_5R,1R,10pt_pullback,484,0.7335,4.2915,25.3,12244.5,210.0,12.25,525.48
medium,3R,0_5R,5pt_pullback,484,0.564,4.2,25.79,12480.0,220.0,10.48,524.16
medium,3R,1R,5pt_pullback,484,0.564,4.2,25.79,12480.0,220.0,10.48,524.16
wide,1_5R,0_5R,10pt_pullback,484,0.7314,4.2823,25.23,12210.0,210.0,12.21,522.86
tight,1R,none,market,484,0.9153,10.8049,9.97,4824.0,48.0,23.68,521.23
tight,1R,0_5R,market,484,0.9153,10.8049,9.97,4824.0,48.0,23.68,521.23
tight,1R,1R,market,484,0.9153,10.8049,9.97,4824.0,48.0,23.68,521.23
medium,2R,none,market,484,0.7004,4.6792,22.04,10669.75,140.0,12.73,499.26
medium,2R,0_5R,market,484,0.6963,4.6483,21.86,10580.0,140.0,12.62,491.79
medium,2R,1R,market,484,0.6963,4.6483,21.86,10580.0,140.0,12.62,491.79
medium,1_5R,none,market,484,0.7789,5.285,18.95,9170.0,140.0,14.5,484.64
medium,1_5R,0_5R,market,484,0.7789,5.285,18.95,9170.0,140.0,14.5,484.64
medium,1_5R,1R,market,484,0.7789,5.285,18.95,9170.0,140.0,14.5,484.64
wide,2R,1R,10pt_pullback,484,0.6198,3.6285,26.88,13011.25,300.0,10.04,472.12
wide,2R,0_5R,10pt_pullback,484,0.6178,3.6216,26.81,12976.75,300.0,10.01,469.96
medium,1R,none,market,484,0.8678,6.5625,14.71,7120.0,80.0,17.23,467.25
medium,1R,0_5R,market,484,0.8678,6.5625,14.71,7120.0,80.0,17.23,467.25
medium,1R,1R,market,484,0.8678,6.5625,14.71,7120.0,80.0,17.23,467.25
wide,2R,none,10pt_pullback,484,0.6446,3.4143,27.85,13478.25,317.75,9.49,460.18
medium,3R,none,market,484,0.5558,3.5776,24.22,11724.75,260.0,9.22,419.46
wide,1R,none,5pt_pullback,484,0.8182,4.5,19.09,9240.0,210.0,13.1,415.8
wide,1R,0_5R,5pt_pullback,484,0.8182,4.5,19.09,9240.0,210.0,13.1,415.8
wide,1R,1R,5pt_pullback,484,0.8182,4.5,19.09,9240.0,210.0,13.1,415.8
medium,3R,0_5R,market,484,0.5351,3.6479,23.31,11280.0,260.0,9.37,411.48
medium,3R,1R,market,484,0.5351,3.6479,23.31,11280.0,260.0,9.37,411.48
wide,1_5R,none,5pt_pullback,484,0.7045,3.6167,23.19,11225.75,210.0,10.55,406.0
wide,1_5R,0_5R,5pt_pullback,484,0.6963,3.535,22.47,10875.0,210.0,10.42,384.43
wide,1_5R,1R,5pt_pullback,484,0.6963,3.535,22.47,10875.0,210.0,10.42,384.43
wide,2R,none,5pt_pullback,484,0.6033,3.0137,25.12,12159.5,401.75,8.36,366.45
wide,1_5R,none,market,484,0.6798,3.2683,21.79,10547.5,300.0,9.43,344.72
wide,2R,0_5R,5pt_pullback,484,0.564,2.9198,22.25,10770.0,330.0,8.14,314.46
wide,2R,1R,5pt_pullback,484,0.564,2.9198,22.25,10770.0,330.0,8.14,314.46
wide,1_5R,1R,market,484,0.6632,3.1268,20.43,9889.5,300.0,9.18,309.22
wide,1_5R,0_5R,market,484,0.6612,3.0968,20.14,9750.0,300.0,9.15,301.94
wide,1R,none,market,484,0.781,3.6005,17.09,8269.5,210.0,10.67,297.74
wide,1R,1R,market,484,0.781,3.6005,17.09,8269.5,210.0,10.67,297.74
wide,2R,none,market,484,0.5806,2.6603,22.74,11007.0,401.75,7.27,292.82
wide,1R,0_5R,market,484,0.7789,3.5566,16.8,8130.0,210.0,10.74,289.15
wide,2R,1R,market,484,0.5372,2.6666,20.25,9799.5,360.0,7.33,261.31
wide,2R,0_5R,market,484,0.5351,2.6429,19.96,9660.0,360.0,7.28,255.3
wide,3R,1R,10pt_pullback,484,0.4194,2.35,21.38,10345.75,788.25,5.0,243.12
wide,3R,0_5R,10pt_pullback,484,0.4174,2.3455,21.3,10311.25,788.25,4.99,241.85
wide,3R,none,10pt_pullback,484,0.4917,2.0839,22.63,10952.0,1417.0,4.34,228.23
wide,3R,0_5R,5pt_pullback,484,0.3698,2.2874,18.73,9067.0,450.0,5.27,207.4
wide,3R,1R,5pt_pullback,484,0.3698,2.2874,18.73,9067.0,450.0,5.27,207.4
wide,3R,none,5pt_pullback,484,0.4669,1.908,19.61,9493.0,1417.0,3.76,181.13
wide,3R,1R,market,484,0.3388,2.0067,15.35,7429.5,570.0,4.46,149.09
wide,3R,0_5R,market,484,0.3368,1.9878,15.06,7290.0,570.0,4.4,144.91
wide,3R,none,market,484,0.4401,1.7204,16.31,7895.25,1457.0,3.12,135.83
