conditions,trades,winrate,profit_factor,avg_trade,net_points,max_drawdown,sharpe,expectancy_score
compressed & high_volatility & large_lower_wick,46,0.2826,4.9855,55.45,2550.75,223.75,3.2,127.17
expanded & high_volatility & large_prior_day,39,0.1538,5.0275,61.96,2416.5,300.0,2.39,121.49
below_vwap & bull_fvg,34,0.2941,6.0,55.88,1900.0,140.0,4.06,114.0
bull_trend & expanded & large_premarket & large_prior_day,25,0.24,6.2603,71.54,1788.5,140.0,5.57,111.97
bull_trend & below_vwap & strong_body,30,0.3,6.2221,59.18,1775.5,180.0,5.65,110.47
bull_trend & bull_fvg,33,0.303,5.9072,56.51,1864.75,120.0,4.03,110.16
high_volatility & large_premarket & large_lower_wick,65,0.2615,4.0916,40.9,2658.75,280.0,2.77,108.78
bull_trend & large_prior_day & below_vwap,58,0.2586,4.3622,42.9,2488.0,520.0,4.38,108.53
high_volatility & below_vwap & strong_body,61,0.2951,4.3112,41.25,2516.5,403.5,4.62,108.49
bull_trend & large_prior_day & strong_body,38,0.2368,5.0803,55.84,2121.75,200.0,4.75,107.79
bull_trend & large_premarket & large_prior_day & strong_body,26,0.2692,6.2914,65.12,1693.25,140.0,5.4,106.53
large_prior_day & displacement & strong_body,27,0.2593,6.0779,63.94,1726.5,140.0,5.05,104.94
strong_trend & high_volatility & large_premarket & large_prior_day,37,0.1351,4.7776,59.22,2191.0,393.75,2.23,104.68
compressed & large_premarket & below_vwap & strong_body,26,0.3077,6.7577,57.58,1497.0,160.0,7.45,101.16
bull_trend & large_premarket & strong_body,42,0.3571,5.1935,45.93,1929.0,180.0,4.69,100.18
high_volatility & large_lower_wick,108,0.25,3.1307,28.8,3110.75,360.0,2.44,97.39
bull_trend & strong_body,62,0.3065,4.098,37.98,2354.5,260.0,4.02,96.49
bull_trend & strong_trend & large_premarket,95,0.2737,3.3793,29.05,2760.0,492.25,3.03,93.27
bull_trend & expanded & large_premarket,35,0.2571,5.2107,50.53,1768.5,140.0,4.57,92.15
bull_trend & strong_trend,132,0.25,2.8159,24.21,3196.0,500.0,2.73,90.0
strong_trend & high_volatility,102,0.1765,2.9697,29.35,2994.0,677.25,1.73,88.91
strong_trend & compressed & large_prior_day,30,0.2667,5.3553,55.17,1655.0,160.0,4.43,88.63
bull_trend & large_premarket & large_prior_day & below_vwap,49,0.2653,4.3325,40.81,1999.5,420.0,4.42,86.63
displacement & strong_body,53,0.2642,4.003,37.4,1982.0,240.0,3.92,79.34
large_prior_day & displacement,34,0.2353,4.742,48.43,1646.5,180.0,4.23,78.08
displacement,62,0.2581,3.6381,33.19,2057.75,180.0,3.7,74.86
bull_trend & large_premarket & below_vwap & strong_body,25,0.32,5.7962,49.88,1247.0,160.0,5.6,72.28
compressed & high_volatility & large_prior_day,48,0.25,3.9371,37.94,1821.0,300.0,4.37,71.69
bull_trend & compressed & high_volatility & below_vwap,29,0.1724,4.521,53.42,1549.25,260.0,3.2,70.04
below_vwap & displacement,34,0.2647,4.6425,42.85,1457.0,120.0,4.75,67.64
bull_trend & expanded & large_prior_day,35,0.2,4.1317,46.53,1628.5,240.0,4.18,67.29
bull_trend & high_volatility & below_vwap,57,0.2105,3.4931,33.24,1894.75,420.0,2.59,66.19
below_vwap & displacement & strong_body,30,0.2333,4.6146,43.38,1301.25,160.0,4.6,60.05
bull_trend & expanded,45,0.2222,3.6808,35.74,1608.5,240.0,3.6,59.21
strong_trend & high_volatility & large_premarket,61,0.1311,3.0772,31.33,1911.0,673.75,1.51,58.8
high_volatility & large_prior_day & below_vwap,91,0.2308,2.6962,21.99,2001.5,584.25,2.95,53.96
bull_trend & compressed & large_prior_day,37,0.2703,3.808,37.95,1404.0,240.0,3.76,53.46
large_premarket & large_prior_day & displacement,26,0.2308,4.5563,43.77,1138.0,200.0,4.01,51.85
bull_trend & high_volatility & large_premarket & below_vwap,47,0.2128,3.3771,30.35,1426.25,360.0,2.33,48.17
strong_trend & displacement,26,0.2692,4.2294,42.23,1098.0,120.0,3.68,46.44
bull_trend & compressed & high_volatility,40,0.15,3.2383,35.81,1432.5,300.0,2.49,46.39
expanded & large_lower_wick,29,0.2759,4.1104,38.61,1119.75,120.0,3.92,46.03
compressed & high_volatility & large_prior_day & below_vwap,42,0.2143,3.371,31.61,1327.75,317.25,3.56,44.76
large_premarket & displacement & strong_body,33,0.2424,3.745,33.27,1098.0,200.0,3.4,41.12
bull_trend & strong_trend & strong_body,32,0.2812,3.5625,35.23,1127.5,120.0,3.37,40.17
strong_trend & compressed,66,0.2879,2.6956,22.09,1458.25,360.0,2.54,39.31
compressed & large_premarket & large_prior_day & below_vwap,56,0.2857,2.9602,23.1,1293.75,460.0,4.01,38.3
bull_trend & high_volatility & large_premarket & large_lower_wick,27,0.1852,3.59,38.37,1036.0,180.0,2.42,37.19
high_volatility & below_vwap & displacement,27,0.2963,3.7215,36.29,979.75,180.0,4.43,36.46
bull_trend & displacement & strong_body,32,0.25,3.4714,32.44,1038.0,120.0,3.11,36.03
strong_trend & high_volatility & large_prior_day & below_vwap,26,0.1923,3.65,36.69,954.0,221.5,3.51,34.82
bull_trend & displacement,36,0.2222,3.0375,27.17,978.0,160.0,2.75,29.71
large_premarket & displacement,41,0.2195,2.9192,24.34,998.0,260.0,2.75,29.13
bull_trend & high_volatility,127,0.1969,1.8107,11.75,1491.75,620.0,1.33,27.01
bull_trend & strong_trend & compressed,48,0.2917,2.631,21.07,1011.25,220.0,2.46,26.61
low_volatility & large_prior_day & large_lower_wick,25,0.4,3.8656,27.51,687.75,120.0,3.54,26.59
strong_trend & large_prior_day & below_vwap,30,0.1667,2.9864,29.13,874.0,301.5,2.97,26.1
bull_trend & compressed & large_premarket & large_prior_day,31,0.2581,3.0369,27.6,855.5,200.0,3.13,25.98
bull_trend & compressed & high_volatility & large_premarket,29,0.1034,2.8349,30.37,880.75,240.0,1.98,24.97
expanded & high_volatility & below_vwap,29,0.2759,3.1757,25.51,739.75,201.5,4.59,23.49
bull_trend & high_volatility & large_prior_day & strong_body,29,0.1724,2.833,27.81,806.5,240.0,2.93,22.85
strong_trend & high_volatility & below_vwap,36,0.1389,2.628,22.61,814.0,361.5,2.51,21.39
bull_trend & high_volatility & large_premarket,83,0.1928,1.9446,13.2,1095.75,480.0,1.33,21.31
strong_trend & compressed & low_volatility,29,0.4483,3.1983,22.74,659.5,120.0,2.71,21.09
strong_trend & compressed & low_volatility & large_premarket,29,0.4483,3.1983,22.74,659.5,120.0,2.71,21.09
strong_trend & compressed & below_vwap,34,0.1765,2.591,23.4,795.5,400.0,2.53,20.61
bull_trend & strong_trend & expanded,29,0.2069,2.8106,24.97,724.25,247.5,2.74,20.36
bull_trend & high_volatility & strong_body,45,0.2667,2.4058,18.74,843.5,223.0,2.43,20.29
bull_trend & high_volatility & large_lower_wick,43,0.1628,2.2676,20.05,862.0,364.75,1.58,19.55
strong_trend & compressed & high_volatility,37,0.1622,2.4263,21.59,798.75,420.0,2.42,19.38
bull_trend & compressed & large_prior_day & below_vwap,30,0.2333,2.6011,23.48,704.5,320.0,2.98,18.33
high_volatility & large_premarket & large_prior_day & below_vwap,73,0.2055,1.8971,11.55,843.25,587.0,2.11,16.0
high_volatility & displacement,48,0.25,2.0879,15.41,739.75,300.0,2.42,15.45
high_volatility & large_premarket & below_vwap & strong_body,37,0.2162,2.23,16.62,615.0,420.0,2.5,13.71
compressed & high_volatility & large_premarket & large_prior_day,37,0.2162,2.2557,16.29,602.75,280.0,3.39,13.6
high_volatility & displacement & strong_body,41,0.2439,2.1103,15.71,644.0,340.0,2.36,13.59
bull_trend & high_volatility & large_prior_day & below_vwap,38,0.1316,2.0931,16.68,634.0,460.0,1.99,13.27
large_prior_day & below_vwap & large_lower_wick,53,0.283,2.027,12.01,636.75,305.5,2.07,12.91
strong_trend & below_vwap,53,0.1698,1.8838,12.34,654.0,501.5,1.65,12.32
bull_trend & high_volatility & large_premarket & strong_body,25,0.32,2.3933,16.72,418.0,140.0,2.42,10.0
bull_trend & strong_trend & compressed & large_premarket,38,0.2895,1.9156,11.57,439.5,220.0,1.56,8.42
compressed & large_prior_day & below_vwap & large_lower_wick,27,0.2593,2.009,13.45,363.25,260.0,1.83,7.3
compressed & large_prior_day & large_lower_wick,29,0.2759,1.9559,12.53,363.25,260.0,1.76,7.1
bull_trend & high_volatility & displacement & strong_body,26,0.2308,1.9681,13.4,348.5,180.0,1.77,6.86
large_prior_day & large_lower_wick,73,0.2603,1.4596,5.92,432.0,385.5,1.18,6.31
bull_trend & strong_trend & compressed & below_vwap,26,0.1923,1.8118,11.87,308.5,280.0,1.57,5.59
bull_trend & strong_trend & compressed & high_volatility,26,0.1154,1.6946,11.22,291.75,320.0,1.47,4.94
bull_trend & high_volatility & displacement,29,0.2069,1.6869,9.95,288.5,200.0,1.38,4.87
high_volatility & bull_fvg,35,0.3143,1.7118,7.73,270.5,120.0,2.58,4.63
bull_trend & strong_trend & high_volatility & below_vwap,27,0.1111,1.7066,9.94,268.5,300.0,1.34,4.58
high_volatility & large_prior_day & displacement,25,0.16,1.6712,10.74,268.5,200.0,1.39,4.49
strong_trend & compressed & large_premarket,52,0.25,1.3707,4.99,259.5,360.0,0.78,3.56
bull_fvg & strong_body,29,0.3103,1.5904,6.92,200.75,107.5,2.28,3.19
bull_trend & strong_trend & below_vwap,40,0.15,1.2652,3.71,148.5,400.0,0.6,1.88
bull_trend & high_volatility & large_prior_day,76,0.1184,1.1319,2.15,163.5,820.0,0.35,1.85
bull_trend & compressed & large_premarket & large_prior_day & below_vwap,25,0.2,1.3579,5.44,136.0,280.0,1.29,1.85
large_premarket & large_prior_day & below_vwap & large_lower_wick,44,0.2727,1.227,2.58,113.5,265.5,0.91,1.39
bull_trend & high_volatility & large_premarket & large_prior_day & below_vwap,31,0.0968,1.2198,3.4,105.5,420.0,0.54,1.29
compressed & high_volatility & large_premarket & large_prior_day & below_vwap,32,0.1562,1.2034,2.8,89.5,380.0,0.72,1.08
