tier,conditions,entry_model,target_model,mbp_overlay,trades,winrate,profit_factor,net_points,avg_trade
A,large_premarket & green_bar,10pt_pullback,30pt_target,positive_mid_pressure,15,0.6,2.25,150.0,10.0
A,large_premarket & green_bar,10pt_pullback,30pt_target,positive_quote_pressure,15,0.6,2.25,150.0,10.0
A,large_premarket & green_bar,10pt_pullback,25pt_target,positive_quote_pressure,15,0.6,1.875,105.0,7.0
A,large_premarket & green_bar,10pt_pullback,25pt_target,positive_quote_pressure,15,0.6,1.875,105.0,7.0
A,green_bar,10pt_pullback,25pt_target,positive_quote_pressure,15,0.6,1.875,105.0,7.0
A,green_bar,10pt_pullback,20pt_target,positive_quote_pressure,15,0.6,1.5,60.0,4.0
A,large_premarket & green_bar,10pt_pullback,20pt_target,positive_quote_pressure,15,0.6,1.5,60.0,4.0
A,green_bar,10pt_pullback,20pt_target,positive_quote_pressure,15,0.6,1.5,60.0,4.0
A,large_premarket & green_bar,10pt_pullback,20pt_target,positive_quote_pressure,15,0.6,1.5,60.0,4.0
A,green_bar,10pt_pullback,20pt_target,positive_quote_pressure,15,0.6,1.5,60.0,4.0
A,green_bar,10pt_pullback,20pt_target,positive_quote_pressure,15,0.6,1.5,60.0,4.0
A,CORE_ONLY,10pt_pullback,30pt_target,tight_spread,434,0.5991,2.321,4440.0,10.23
A,CORE_ONLY,10pt_pullback,30pt_target,NO_MBP_FILTER,452,0.5973,2.301,4580.0,10.13
A,CORE_ONLY,15pt_pullback,20pt_target,NO_MBP_FILTER,452,0.5973,1.5,1800.0,3.98
A,CORE_ONLY,15pt_pullback,20pt_target,NO_MBP_FILTER,452,0.5973,1.5,1800.0,3.98
A,CORE_ONLY,15pt_pullback,20pt_target,NO_MBP_FILTER,452,0.5973,1.5,1800.0,3.98
A,CORE_ONLY,15pt_pullback,20pt_target,NO_MBP_FILTER,452,0.5973,1.5,1800.0,3.98
A,CORE_ONLY,15pt_pullback,20pt_target,NO_MBP_FILTER,452,0.5973,1.5,1800.0,3.98
A,CORE_ONLY,15pt_pullback,20pt_target,NO_MBP_FILTER,452,0.5973,1.5,1800.0,3.98
A,below_vwap,10pt_pullback,25pt_target,tight_spread,278,0.5971,2.015,2090.0,7.52
A,below_vwap & large_premarket,10pt_pullback,25pt_target,NO_MBP_FILTER,170,0.5882,1.812,1120.0,6.59
A,large_premarket & green_bar,15pt_pullback,20pt_target,tight_spread,248,0.5847,1.408,840.0,3.39
A,large_premarket & green_bar,5pt_pullback,20pt_target,tight_spread,248,0.5847,1.408,840.0,3.39
A,large_premarket & green_bar,15pt_pullback,20pt_target,tight_spread,248,0.5847,1.408,840.0,3.39
A,large_premarket & green_bar,15pt_pullback,20pt_target,tight_spread,248,0.5847,1.408,840.0,3.39
A,large_premarket & green_bar,15pt_pullback,20pt_target,tight_spread,248,0.5847,1.408,840.0,3.39
A,large_premarket & green_bar,15pt_pullback,20pt_target,tight_spread,248,0.5847,1.408,840.0,3.39
A,large_premarket & green_bar,15pt_pullback,20pt_target,tight_spread,248,0.5847,1.408,840.0,3.39
A,large_premarket & green_bar,5pt_pullback,20pt_target,tight_spread,248,0.5847,1.408,840.0,3.39
A+,low_volatility,10pt_pullback,20pt_target,NO_MBP_FILTER,152,0.7632,3.314,1620.0,10.66
A+,low_volatility,10pt_pullback,20pt_target,tight_spread,152,0.7632,3.314,1620.0,10.66
A+,low_volatility,10pt_pullback,20pt_target,NO_MBP_FILTER,152,0.7632,3.314,1620.0,10.66
A+,low_volatility,10pt_pullback,20pt_target,tight_spread,152,0.7632,3.314,1620.0,10.66
A+,below_vwap & large_premarket,10pt_pullback,20pt_target,positive_quote_pressure,8,0.75,3.0,80.0,10.0
A+,below_vwap & large_premarket,10pt_pullback,20pt_target,positive_quote_pressure,8,0.75,3.0,80.0,10.0
A+,below_vwap,10pt_pullback,20pt_target,positive_quote_pressure,8,0.75,3.0,80.0,10.0
A+,below_vwap,10pt_pullback,20pt_target,positive_quote_pressure,8,0.75,3.0,80.0,10.0
A+,below_vwap,10pt_pullback,20pt_target,positive_quote_pressure,8,0.75,3.0,80.0,10.0
A+,below_vwap,10pt_pullback,20pt_target,positive_quote_pressure,8,0.75,3.0,80.0,10.0
A+,CORE_ONLY,10pt_pullback,20pt_target,tight_spread,434,0.7327,2.765,4060.0,9.35
A+,CORE_ONLY,10pt_pullback,20pt_target,tight_spread,434,0.7327,2.765,4060.0,9.35
