model,month,trades,winrate,net_points,avg_trade
VWAP_ALIGN,2019-01,19,0.6316,117.75,6.2
VWAP_ALIGN,2019-02,19,0.4211,-38.25,-2.01
VWAP_ALIGN,2019-03,15,0.5333,74.75,4.98
VWAP_ALIGN,2019-04,6,0.3333,-30.75,-5.12
VWAP_ALIGN,2019-05,18,0.4444,-52.25,-2.9
VWAP_ALIGN,2019-06,11,0.4545,-11.5,-1.05
VWAP_ALIGN,2019-07,7,0.4286,6.75,0.96
VWAP_ALIGN,2019-08,16,0.6875,142.75,8.92
VWAP_ALIGN,2019-09,12,0.5833,12.0,1.0
VWAP_ALIGN,2019-10,17,0.5294,78.5,4.62
VWAP_ALIGN,2019-11,16,0.6875,83.75,5.23
VWAP_ALIGN,2019-12,9,0.7778,77.0,8.56
VWAP_ALIGN,2020-01,19,0.5789,88.25,4.64
VWAP_ALIGN,2020-02,15,0.7333,126.0,8.4
VWAP_ALIGN,2020-03,13,0.7692,140.0,10.77
VWAP_ALIGN,2020-04,19,0.6842,140.0,7.37
VWAP_ALIGN,2020-05,18,0.6667,120.0,6.67
VWAP_ALIGN,2020-06,17,0.6471,90.0,5.29
VWAP_ALIGN,2020-07,21,0.8095,271.25,12.92
VWAP_ALIGN,2020-08,18,0.6111,68.5,3.81
VWAP_ALIGN,2020-09,14,0.5714,23.75,1.7
VWAP_ALIGN,2020-10,19,0.5263,20.0,1.05
VWAP_ALIGN,2020-11,14,0.9286,240.0,17.14
VWAP_ALIGN,2020-12,19,0.6842,140.0,7.37
VWAP_ALIGN,2021-01,15,0.6667,112.0,7.47
VWAP_ALIGN,2021-02,16,0.5,0.0,0.0
VWAP_ALIGN,2021-03,14,0.5714,40.0,2.86
VWAP_ALIGN,2021-04,20,0.5,12.25,0.61
VWAP_ALIGN,2021-05,16,0.625,80.0,5.0
VWAP_ALIGN,2021-06,20,0.6,72.75,3.64
VWAP_ALIGN,2021-07,21,0.6667,148.5,7.07
VWAP_ALIGN,2021-08,18,0.5,1.5,0.08
VWAP_ALIGN,2021-09,18,0.7222,160.0,8.89
VWAP_ALIGN,2021-10,17,0.5882,56.75,3.34
VWAP_ALIGN,2021-11,17,0.5294,15.25,0.9
VWAP_ALIGN,2021-12,13,0.8462,180.0,13.85
VWAP_ALIGN,2022-01,6,0.8333,80.0,13.33
VWAP_ALIGN,2022-02,5,0.8,60.0,12.0
VWAP_ALIGN,2022-03,14,0.7143,120.0,8.57
VWAP_ALIGN,2022-04,13,0.7692,140.0,10.77
VWAP_ALIGN,2022-05,14,0.6429,80.0,5.71
VWAP_ALIGN,2022-06,14,0.7143,120.0,8.57
VWAP_ALIGN,2022-07,17,0.7647,180.0,10.59
VWAP_ALIGN,2022-08,17,0.5882,60.0,3.53
VWAP_ALIGN,2022-09,14,0.7143,120.0,8.57
VWAP_ALIGN,2022-10,14,0.7857,160.0,11.43
VWAP_ALIGN,2022-11,16,0.75,160.0,10.0
VWAP_ALIGN,2022-12,10,0.7,80.0,8.0
VWAP_ALIGN,2023-01,13,0.6923,100.0,7.69
VWAP_ALIGN,2023-02,15,0.7333,140.0,9.33
VWAP_ALIGN,2023-03,19,0.7368,180.0,9.47
VWAP_ALIGN,2023-04,16,0.5625,40.0,2.5
VWAP_ALIGN,2023-05,20,0.6,89.75,4.49
VWAP_ALIGN,2023-06,19,0.6316,100.0,5.26
VWAP_ALIGN,2023-07,18,0.4444,-22.25,-1.24
VWAP_ALIGN,2023-08,21,0.6667,140.0,6.67
VWAP_ALIGN,2023-09,18,0.7222,174.75,9.71
VWAP_ALIGN,2023-10,20,0.7,148.5,7.42
VWAP_ALIGN,2023-11,18,0.4444,-40.0,-2.22
VWAP_ALIGN,2023-12,20,0.7,174.25,8.71
VWAP_ALIGN,2024-01,18,0.7222,141.75,7.88
VWAP_ALIGN,2024-02,15,0.4667,-2.0,-0.13
VWAP_ALIGN,2024-03,18,0.6111,80.0,4.44
VWAP_ALIGN,2024-04,18,0.5556,40.0,2.22
VWAP_ALIGN,2024-05,19,0.4211,-60.0,-3.16
VWAP_ALIGN,2024-06,15,0.6,50.75,3.38
VWAP_ALIGN,2024-07,19,0.5789,60.0,3.16
VWAP_ALIGN,2024-08,8,0.5,0.0,0.0
VWAP_ALIGN,2024-09,13,0.6154,60.0,4.62
VWAP_ALIGN,2024-10,16,0.8125,200.0,12.5
VWAP_ALIGN,2024-11,13,0.5385,35.0,2.69
VWAP_ALIGN,2024-12,9,0.6667,60.0,6.67
VWAP_ALIGN,2025-01,6,0.6667,40.0,6.67
VWAP_ALIGN,2025-02,10,0.5,0.0,0.0
VWAP_ALIGN,2025-03,10,0.6,23.75,2.38
VWAP_ALIGN,2025-04,11,0.6364,60.0,5.45
VWAP_ALIGN,2025-05,18,0.5556,40.0,2.22
VWAP_ALIGN,2025-06,14,0.6429,80.0,5.71
VWAP_ALIGN,2025-07,19,0.5263,20.0,1.05
VWAP_ALIGN,2025-08,15,0.5333,20.0,1.33
VWAP_ALIGN,2025-09,14,0.6429,80.0,5.71
VWAP_ALIGN,2025-10,17,0.5294,20.0,1.18
VWAP_ALIGN,2025-11,2,0.5,0.0,0.0
