tier,suggested_size,conditions,entry_model,stop_model,target_model,be_model,trades,trades_per_year,trades_per_week,wins,losses,breakevens,winrate,profit_factor,avg_trade,median_trade,net_points,max_drawdown,sharpe,profitable_years_pct,profitable_years,years_tested,first_year,last_year,tier_rank
A,half,large_premarket & green_bar,10pt_pullback,15pt_stop,20pt_target,no_be,256,28.44,0.55,146,110,0,0.5703,3.4275,15.58,20.0,3987.75,155.0,5.9,1.0,8,8,2018,2026,3
A,half,large_premarket,15pt_pullback,25pt_stop,20pt_target,be_after_15,358,39.78,0.76,204,54,100,0.5698,7.29,22.88,20.0,8192.75,397.0,7.95,0.875,7,8,2018,2026,3
A,half,below_vwap & green_bar,15pt_pullback,15pt_stop,25pt_target,no_be,234,26.0,0.5,133,101,0,0.5684,4.2752,21.03,25.0,4921.75,155.0,7.35,1.0,8,8,2018,2026,3
A,half,below_vwap & large_premarket,10pt_pullback,25pt_stop,25pt_target,no_be,258,28.67,0.55,146,112,0,0.5659,2.1311,12.2,25.0,3147.5,275.0,4.33,0.875,7,8,2018,2026,3
A,half,green_bar,15pt_pullback,20pt_stop,20pt_target,be_after_15,352,39.11,0.75,199,57,96,0.5653,8.0905,22.37,20.0,7874.0,260.0,8.35,1.0,8,8,2018,2026,3
A,half,large_premarket,10pt_pullback,25pt_stop,30pt_target,no_be,358,39.78,0.76,202,156,0,0.5642,2.4129,15.32,30.0,5485.75,325.0,5.3,0.875,7,8,2018,2026,3
A,half,CORE_ONLY,10pt_pullback,20pt_stop,25pt_target,no_be,484,53.78,1.03,273,211,0,0.564,2.6204,14.09,25.0,6818.25,260.0,5.51,1.0,8,8,2018,2026,3
A,half,large_premarket & green_bar,15pt_pullback,15pt_stop,25pt_target,no_be,256,28.44,0.55,144,112,0,0.5625,4.3927,22.01,25.0,5633.5,115.0,7.34,1.0,8,8,2018,2026,3
A,half,CORE_ONLY,15pt_pullback,25pt_stop,20pt_target,be_after_15,484,53.78,1.03,272,73,139,0.562,6.8698,21.56,20.0,10433.5,472.0,7.98,0.875,7,8,2018,2026,3
A,half,large_premarket,15pt_pullback,20pt_stop,20pt_target,be_after_15,358,39.78,0.76,201,60,97,0.5615,8.0609,23.09,20.0,8264.75,320.0,8.1,0.875,7,8,2018,2026,3
A,half,CORE_ONLY,10pt_pullback,25pt_stop,30pt_target,no_be,484,53.78,1.03,271,213,0,0.5599,2.2602,13.82,30.0,6689.0,325.0,5.08,0.875,7,8,2018,2026,3
A,half,below_vwap & green_bar,15pt_pullback,20pt_stop,30pt_target,no_be,234,26.0,0.5,131,103,0,0.5598,3.3286,20.33,30.0,4756.75,260.0,6.78,1.0,8,8,2018,2026,3
A,half,below_vwap & green_bar,10pt_pullback,20pt_stop,25pt_target,no_be,234,26.0,0.5,131,103,0,0.5598,2.4835,12.98,25.0,3037.75,210.0,5.07,1.0,8,8,2018,2026,3
A,half,large_premarket,15pt_pullback,15pt_stop,25pt_target,no_be,358,39.78,0.76,200,158,0,0.5587,4.2798,21.53,25.0,7709.25,210.0,7.24,0.875,7,8,2018,2026,3
A,half,green_bar,15pt_pullback,20pt_stop,30pt_target,no_be,352,39.11,0.75,196,156,0,0.5568,3.2839,20.05,30.0,7058.5,260.0,6.8,1.0,8,8,2018,2026,3
A,half,low_volatility,10pt_pullback,20pt_stop,25pt_target,no_be,189,21.0,0.4,105,84,0,0.5556,2.7185,15.16,25.0,2866.0,162.75,5.35,0.75,6,8,2018,2026,3
A,half,below_vwap,15pt_pullback,15pt_stop,25pt_target,no_be,344,38.22,0.74,191,153,0,0.5552,4.0881,20.49,25.0,7049.25,255.0,7.14,1.0,8,8,2018,2026,3
A,half,large_premarket & green_bar,10pt_pullback,25pt_stop,30pt_target,no_be,256,28.44,0.55,142,114,0,0.5547,2.3407,14.83,30.0,3797.75,260.0,5.06,1.0,8,8,2018,2026,3
A,half,below_vwap & large_premarket,10pt_pullback,15pt_stop,20pt_target,no_be,258,28.67,0.55,143,115,0,0.5543,3.0739,13.81,20.0,3562.5,140.0,5.35,0.875,7,8,2018,2026,3
A,half,below_vwap & large_premarket,10pt_pullback,15pt_stop,20pt_target,be_after_20,258,28.67,0.55,143,115,0,0.5543,3.0739,13.81,20.0,3562.5,140.0,5.35,0.875,7,8,2018,2026,3
A,half,below_vwap & large_premarket,5pt_pullback,25pt_stop,25pt_target,no_be,258,28.67,0.55,143,115,0,0.5543,1.6319,7.01,25.0,1809.0,375.0,3.03,0.625,5,8,2018,2026,3
A,half,green_bar,10pt_pullback,25pt_stop,30pt_target,no_be,352,39.11,0.75,195,157,0,0.554,2.2262,13.61,30.0,4791.75,260.0,4.94,0.875,7,8,2018,2026,3
A,half,CORE_ONLY,15pt_pullback,20pt_stop,20pt_target,be_after_15,484,53.78,1.03,268,80,136,0.5537,7.7243,21.82,20.0,10560.5,380.0,8.17,0.875,7,8,2018,2026,3
A,half,CORE_ONLY,15pt_pullback,20pt_stop,30pt_target,no_be,484,53.78,1.03,268,216,0,0.5537,3.2324,19.74,30.0,9555.25,400.0,6.72,1.0,8,8,2018,2026,3
A,half,CORE_ONLY,5pt_pullback,20pt_stop,25pt_target,no_be,484,53.78,1.03,267,217,0,0.5517,1.9809,8.78,25.0,4250.0,235.0,4.28,1.0,8,8,2018,2026,3
A,half,below_vwap & green_bar,10pt_pullback,25pt_stop,30pt_target,no_be,234,26.0,0.5,129,105,0,0.5513,2.1268,12.56,30.0,2938.5,265.0,4.6,0.875,7,8,2018,2026,3
A,half,green_bar,5pt_pullback,20pt_stop,25pt_target,no_be,352,39.11,0.75,194,158,0,0.5511,1.9188,8.23,25.0,2896.75,215.0,4.18,0.875,7,8,2018,2026,3
