conditions,trades,expectancy_score,sequence_score,win_15m,win_30m,win_60m,avg_15m,avg_30m,avg_60m,med_30m,std_30m
back_inside_or -> below_vwap -> red_bar -> next_tight_spread -> next_green_bar,165,13.937939393939391,12.52848484848485,0.4,0.4121212121212121,0.46060606060606063,10.257575757575758,20.496969696969696,30.954545454545453,16.25,126.30044267550912
back_inside_or -> below_vwap -> tight_spread -> red_bar -> next_tight_spread -> next_green_bar,165,13.937939393939391,12.52848484848485,0.4,0.4121212121212121,0.46060606060606063,10.257575757575758,20.496969696969696,30.954545454545453,16.25,126.30044267550912
back_inside_or -> below_vwap -> tight_spread -> green_bar,512,13.9190625,36.78849792480469,0.427734375,0.39453125,0.42578125,6.88720703125,6.890625,8.42626953125,12.625,206.09374113976943
back_inside_or -> below_vwap -> tight_spread -> green_bar -> strong_body,184,13.918233695652173,15.772211720226842,0.4782608695652174,0.40217391304347827,0.44565217391304346,22.633152173913043,18.808423913043477,20.328804347826086,14.875,128.42693026667328
large_or -> green_bar -> strong_body -> two_bar_followthrough,64,13.78265625,9.740478515625,0.609375,0.515625,0.484375,46.4296875,41.765625,35.36328125,42.125,177.03460604105376
tight_spread -> green_bar -> strong_body -> next_tight_spread,306,13.762418300653597,19.584241103848946,0.43790849673202614,0.3758169934640523,0.3888888888888889,13.915032679738562,11.967320261437909,9.556372549019608,12.25,117.4155179120969
back_inside_or -> above_vwap -> large_or,167,13.717365269461078,17.645200616730612,0.46107784431137727,0.49700598802395207,0.46107784431137727,9.281437125748504,16.526946107784433,19.42365269461078,30.0,147.99522244288414
below_vwap -> large_or -> tight_spread -> green_bar -> next_green_bar,182,13.71548076923077,16.04398623354667,0.44505494505494503,0.44505494505494503,0.44505494505494503,7.178571428571429,16.932692307692307,25.568681318681318,9.625,173.91308655166492
back_inside_or -> large_or -> green_bar -> strong_body -> next_tight_spread,124,13.66735887096774,14.73933402705515,0.5725806451612904,0.4596774193548387,0.45161290322580644,29.87298387096774,23.97782258064516,18.643145161290324,7.625,164.90583976288778
large_or -> bull_fvg -> green_bar,62,13.60375,9.03225806451613,0.5645161290322581,0.5,0.5161290322580645,32.82258064516129,43.88306451612903,18.467741935483872,29.75,153.25563743369733
back_inside_or -> large_or -> bull_fvg -> green_bar,62,13.60375,9.03225806451613,0.5645161290322581,0.5,0.5161290322580645,32.82258064516129,43.88306451612903,18.467741935483872,29.75,153.25563743369733
above_vwap -> large_or -> next_tight_spread -> two_bar_followthrough,67,13.557761194029851,11.45199376253063,0.6268656716417911,0.5373134328358209,0.5074626865671642,26.119402985074625,37.66044776119403,31.455223880597014,35.25,157.21104266127415
back_inside_or -> above_vwap -> large_or -> next_tight_spread -> two_bar_followthrough,67,13.557761194029851,11.45199376253063,0.6268656716417911,0.5373134328358209,0.5074626865671642,26.119402985074625,37.66044776119403,31.455223880597014,35.25,157.21104266127415
above_vwap -> large_or -> tight_spread -> next_green_bar -> two_bar_followthrough,47,13.539787234042551,9.886826618379356,0.6382978723404256,0.5957446808510638,0.5531914893617021,29.579787234042552,48.3563829787234,38.3936170212766,54.5,165.8592231830766
back_inside_or -> above_vwap -> large_or -> tight_spread -> next_green_bar -> two_bar_followthrough,47,13.539787234042551,9.886826618379356,0.6382978723404256,0.5957446808510638,0.5531914893617021,29.579787234042552,48.3563829787234,38.3936170212766,54.5,165.8592231830766
above_vwap -> large_or -> tight_spread -> next_tight_spread -> next_green_bar -> two_bar_followthrough,47,13.539787234042551,9.886826618379356,0.6382978723404256,0.5957446808510638,0.5531914893617021,29.579787234042552,48.3563829787234,38.3936170212766,54.5,165.8592231830766
large_or -> bull_fvg -> next_tight_spread,59,13.450593220338984,8.247629991381785,0.559322033898305,0.4915254237288136,0.5084745762711864,29.127118644067796,46.38135593220339,17.72457627118644,19.0,158.43425942705295
back_inside_or -> large_or -> bull_fvg -> next_tight_spread,59,13.450593220338984,8.247629991381785,0.559322033898305,0.4915254237288136,0.5084745762711864,29.127118644067796,46.38135593220339,17.72457627118644,19.0,158.43425942705295
tight_spread -> red_bar -> two_bar_followthrough,142,13.404137323943662,10.797857567942868,0.4507042253521127,0.44366197183098594,0.38028169014084506,13.890845070422536,21.276408450704224,25.985915492957748,16.125,106.1404241301448
back_inside_or -> below_vwap -> tight_spread -> green_bar -> strong_body -> next_tight_spread,183,13.36039617486339,15.361193227626979,0.47540983606557374,0.3989071038251366,0.4426229508196721,22.5327868852459,18.30191256830601,19.42896174863388,14.75,128.59484691431223
large_or -> tight_spread -> green_bar -> strong_body -> next_green_bar -> two_bar_followthrough,41,13.346524390243903,6.29625223081499,0.5853658536585366,0.5121951219512195,0.5121951219512195,45.853658536585364,63.55487804878049,74.23170731707317,45.25,177.9823421033945
large_or -> green_bar -> strong_body -> next_tight_spread -> next_green_bar -> two_bar_followthrough,41,13.346524390243903,6.29625223081499,0.5853658536585366,0.5121951219512195,0.5121951219512195,45.853658536585364,63.55487804878049,74.23170731707317,45.25,177.9823421033945
large_or -> green_bar -> strong_body -> next_tight_spread,129,13.336744186046511,14.55056787452677,0.5581395348837209,0.4573643410852713,0.4418604651162791,25.377906976744185,22.6046511627907,15.80232558139535,7.0,162.76400938670432
