model,trades,wins,losses,winrate,profit_factor,net_points,avg_trade,max_drawdown,avg_mfe,avg_mae,avg_bars_held,profitable_years,years_tested,profitable_years_pct
disp_reclaim_largepm,13,10,3,0.7692,4.444,155.0,11.92,-15.0,22.81,-8.87,60.54,4,5,0.8
disp_reclaim_fvg,19,13,6,0.6842,2.889,170.0,8.95,-30.0,21.31,-9.56,52.47,6,8,0.75
