label,trades,wins,losses,winrate,net_points,avg_trade,profit_factor,max_dd,first_trade,last_trade
body_lt_q60_range_gt_q40,47,22,25,46.81,189.63,4.03,1.8,-84.31,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_q30_body_q60_range_q20_hour8,35,16,19,45.71,145.65,4.16,1.8,-55.42,2018-12-06 08:34:00,2026-01-08 08:39:00
wick_q30_body_q75_range_q30_hour8,41,19,22,46.34,162.14,3.95,1.79,-86.68,2018-12-06 08:34:00,2026-01-08 08:39:00
wick_q30_body_q75_range_q25_hour8,41,19,22,46.34,162.14,3.95,1.79,-86.68,2018-12-06 08:34:00,2026-01-08 08:39:00
wick_q25_body_q70_range_q20_hour8,39,18,21,46.15,158.65,4.07,1.79,-55.42,2018-12-06 08:34:00,2026-01-08 08:39:00
body_lt_q60_range_gt_q30_hour8,37,17,20,45.95,151.08,4.08,1.79,-77.8,2018-12-06 08:34:00,2026-01-08 08:39:00
wick_q10_body_q60_range_q30_hour8,37,17,20,45.95,151.08,4.08,1.79,-77.8,2018-12-06 08:34:00,2026-01-08 08:39:00
wick_q20_body_q60_range_q30_hour8,37,17,20,45.95,151.08,4.08,1.79,-77.8,2018-12-06 08:34:00,2026-01-08 08:39:00
wick_q20_body_q60_range_q25_hour8,37,17,20,45.95,151.08,4.08,1.79,-77.8,2018-12-06 08:34:00,2026-01-08 08:39:00
wick_q25_body_q75_rel_q20_hour10,21,10,11,47.62,75.23,3.58,1.79,-23.82,2020-04-16 10:18:00,2026-05-05 10:32:00
wick_q30_body_q80_rel_q20_hour10,21,10,11,47.62,75.17,3.58,1.79,-23.82,2020-04-16 10:18:00,2026-05-05 10:32:00
wick_q25_body_q80_rel_q25_hour10,21,10,11,47.62,75.17,3.58,1.79,-23.82,2020-04-16 10:18:00,2026-02-10 10:23:00
wick_q20_body_q75_range_q25_hour10,21,10,11,47.62,74.48,3.55,1.79,-21.32,2020-04-03 10:33:00,2026-05-05 10:32:00
wick_gt_q30_relvol_gt_q30_hour10,20,10,10,50.0,69.92,3.5,1.79,-24.94,2020-04-16 10:18:00,2026-02-10 10:23:00
wick_gt_q30_range_gt_q25,68,31,37,45.59,260.67,3.83,1.78,-117.25,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_q30_body_q80_range_q25,63,29,34,46.03,241.24,3.83,1.78,-105.69,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_q20_body_q80_rel_q30_hour10,21,10,11,47.62,74.42,3.54,1.78,-31.44,2020-04-16 10:18:00,2026-02-10 10:23:00
wick_q25_body_q80_range_q30,63,29,34,46.03,238.68,3.79,1.77,-105.69,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_q30_body_q60_range_q20,54,25,29,46.3,204.52,3.79,1.77,-74.43,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_q30_body_q70_range_q30_hour8,37,17,20,45.95,146.08,3.95,1.77,-77.8,2018-12-06 08:34:00,2026-01-08 08:39:00
wick_q30_body_q70_range_q25_hour8,37,17,20,45.95,146.08,3.95,1.77,-77.8,2018-12-06 08:34:00,2026-01-08 08:39:00
wick_gt_q30_relvol_gt_q20_hour10,23,11,12,47.83,79.29,3.45,1.77,-24.63,2020-04-16 10:18:00,2026-05-05 10:32:00
wick_gt_q25_relvol_gt_q25_hour10,23,11,12,47.83,79.29,3.45,1.77,-24.63,2020-04-16 10:18:00,2026-02-10 10:23:00
wick_q25_body_q60_range_q20,56,26,30,46.43,209.71,3.74,1.76,-74.43,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_gt_q40_range_gt_q30,57,26,31,45.61,212.62,3.73,1.75,-119.94,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_q25_body_q80_range_q25,66,30,36,45.45,239.93,3.64,1.74,-105.69,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_q30_body_q70_range_q25,54,25,29,46.3,198.07,3.67,1.74,-96.81,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_q25_body_q75_range_q25_hour8,42,19,23,45.24,152.33,3.63,1.71,-86.68,2018-12-06 08:34:00,2026-01-08 08:39:00
wick_q25_body_q75_range_q30_hour8,42,19,23,45.24,152.33,3.63,1.71,-86.68,2018-12-06 08:34:00,2026-01-08 08:39:00
wick_q25_body_q60_range_q20_hour8,36,16,20,44.44,135.84,3.77,1.71,-55.42,2018-12-06 08:34:00,2026-01-08 08:39:00
wick_q25_body_q70_range_q25,57,26,31,45.61,196.76,3.45,1.69,-96.81,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_q30_body_q70_range_q30,53,24,29,45.28,181.57,3.43,1.68,-96.81,2018-12-06 08:34:00,2026-05-05 10:32:00
