year,trades,wins,net_points,avg_rr,win_rate
2018,4,2,15.950000000000001,0.5,50.0
2019,9,5,25.950000000000003,0.6666666666666666,55.56
2020,9,2,-10.5,-0.3333333333333333,22.22
2021,11,3,16.29999999999999,-0.18181818181818182,27.27
2022,8,4,53.8,0.5,50.0
2023,21,4,-150.0,-0.42857142857142855,19.05
2024,9,4,59.099999999999994,0.3333333333333333,44.44
2025,15,3,-52.349999999999994,-0.4,20.0
2026,4,0,-57.55,-1.0,0.0
