year,trades,wins,losses,net_points,avg_trade,winrate
2018,170,52,118,-124.5,-0.73,30.59
2019,88,26,62,-191.75,-2.18,29.55
2020,261,92,169,388.5,1.49,35.25
2021,269,92,177,149.5,0.56,34.2
2022,453,142,311,-2.0,-0.0,31.35
2023,297,98,199,-170.5,-0.57,33.0
2024,246,78,168,72.0,0.29,31.71
2025,285,79,206,-81.25,-0.29,27.72
2026,113,33,80,-32.5,-0.29,29.2
