entry_time,result_points,risk_points,hour,minute,lower_wick_pct,body_pct,range_expansion_20,rel_vol_20,dist_pdh,dist_pdl,dist_dol,dist_vwap,dist_or_low_30m,dist_or_high_30m,liquidity_sweep_reclaim_count_last_30m,has_high_impact_usd_event
2018-10-12T10:09:00.000000,13.62,6.81,10,9,0.04477611940298507,0.7313432835820896,1.606714628297362,1.5347611957393195,-45.25,185.0,23.75,-41.548547246390626,-26.25,-76.75,1,false
2020-02-21T08:50:00.000000,17.12,8.56,8,50,0.030612244897959183,0.826530612244898,1.6940363007778738,1.597972899493225,-259.5,-13.5,-113.75,-63.30763026211753,21.75,-101.25,2,true
2020-03-20T10:10:00.000000,21.25,10.62,10,10,0.07407407407407407,0.8740740740740741,1.5168539325842696,1.7591644480851936,-273.75,354.5,85.0,-171.7072900754065,-152.0,-249.0,1,true
2020-04-16T10:37:00.000000,17.0,8.5,10,37,0.0,0.6438356164383562,1.2056151940545006,1.0566280566280566,-76.75,132.5,78.25,-48.26307590174838,-23.5,-95.0,4,true
2020-12-02T08:41:00.000000,19.88,9.94,8,41,0.1792452830188679,0.7641509433962265,2.206035379812695,1.7716377628730993,-160.0,40.25,-104.0,-47.81732368099438,39.75,-45.5,1,true
2021-11-09T10:14:00.000000,18.0,9.0,10,14,0.0,0.8876404494382022,1.5949820788530467,1.275405121828003,-162.25,-24.25,-83.75,-55.70672001453386,34.0,-160.0,1,true
2021-11-10T08:38:00.000000,16.88,8.44,8,38,0.08333333333333333,0.4880952380952381,1.2209302325581395,1.2283634933123526,-296.5,-64.75,-106.0,-37.74443813847938,53.5,-84.0,2,false
2021-12-01T08:33:00.000000,13.12,6.56,8,33,0.14705882352941177,0.29411764705882354,1.820615796519411,2.6621099818028493,-149.75,237.75,67.75,-27.42231392418398,36.0,-47.25,1,true
2021-12-16T08:34:00.000000,21.0,10.5,8,34,0.08256880733944955,0.8348623853211009,2.0055197792088317,2.168812808070001,10.5,570.25,22.5,-47.87874412038218,143.75,-31.5,2,false
2021-12-17T10:47:00.000000,21.38,10.69,10,47,0.025210084033613446,0.7058823529411765,1.5384615384615385,1.1601021982747717,-670.75,-6.75,-91.75,5.6691907152981,129.25,-56.75,4,false
