trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,median_risk,median_mfe,median_mae,max_dd_1R,max_dd_1_5R,max_dd_2R,test_type,feature_set,quality_score
72,65.28,54.17,40.28,0.306,0.354,0.208,1.88,1.773,1.349,9.74,27.46,-8.78,10.38,13.75,-8.56,-3.0,-7.0,-9.0,triple_inside_v,vwap_aligned + fib_50 + risk_le_15,279.38
288,63.89,51.04,42.71,0.278,0.276,0.281,1.769,1.564,1.491,17.82,45.23,-16.0,16.25,22.38,-12.81,-10.0,-16.0,-22.0,pair_inside_v,rel_vol_ge_1_25 + body_lt_60,273.59
99,64.65,51.52,39.39,0.293,0.288,0.182,1.829,1.594,1.3,11.91,30.38,-11.21,12.12,18.38,-11.0,-4.0,-7.5,-12.0,triple_inside_v,vwap_aligned + fib_50 + risk_le_20,270.85
529,61.44,49.53,38.19,0.229,0.238,0.146,1.593,1.472,1.235,18.89,40.39,-18.14,17.62,23.26,-15.57,-11.0,-22.0,-34.0,single_inside_v,vwap_aligned,267.14
420,60.95,48.81,37.38,0.219,0.22,0.121,1.561,1.43,1.194,19.48,39.61,-18.8,18.52,23.71,-16.16,-8.0,-18.0,-27.0,pair_inside_v,vwap_aligned + has_liq_sweep,266.95
158,62.66,50.0,38.61,0.253,0.25,0.158,1.678,1.5,1.258,9.41,26.29,-8.41,9.79,12.25,-7.79,-6.0,-8.0,-17.0,triple_inside_v,vwap_aligned + risk_le_15 + body_lt_60,266.76
369,61.25,49.05,40.92,0.225,0.226,0.228,1.58,1.444,1.385,17.82,43.74,-16.62,16.84,20.2,-13.0,-10.0,-12.5,-18.0,single_inside_v,rel_vol_ge_1_25,266.75
135,64.44,53.33,45.93,0.289,0.333,0.378,1.812,1.714,1.699,10.76,33.59,-8.89,10.62,13.11,-7.45,-7.0,-10.0,-13.0,triple_inside_v,vwap_aligned + risk_le_20 + rel_vol_ge_1_25,264.04
215,62.33,50.23,39.53,0.247,0.256,0.186,1.654,1.514,1.308,11.53,30.14,-10.64,11.56,15.32,-10.31,-7.0,-9.0,-21.0,triple_inside_v,vwap_aligned + risk_le_20 + body_lt_60,261.93
61,63.93,50.82,44.26,0.279,0.27,0.328,1.773,1.55,1.588,7.71,24.19,-9.34,7.54,9.44,-6.94,-5.0,-4.5,-7.0,triple_inside_v,fib_618 + risk_le_15 + rel_vol_ge_1_25,261.63
77,63.64,53.25,46.75,0.273,0.331,0.403,1.75,1.708,1.756,9.7,29.33,-10.66,8.98,12.21,-8.49,-5.0,-4.5,-8.0,triple_inside_v,fib_618 + risk_le_20 + rel_vol_ge_1_25,258.44
303,60.07,47.85,38.28,0.201,0.196,0.149,1.504,1.377,1.241,11.67,29.01,-11.32,11.75,15.17,-10.55,-9.0,-19.0,-31.0,pair_inside_v,vwap_aligned + risk_le_20,257.07
82,63.41,54.88,46.34,0.268,0.372,0.39,1.733,1.824,1.727,13.8,43.44,-14.02,11.84,17.02,-10.2,-5.0,-7.5,-9.0,triple_inside_v,fib_618 + rel_vol_ge_1_25 + has_liq_sweep,256.01
217,61.75,48.85,38.25,0.235,0.221,0.147,1.614,1.432,1.239,9.37,25.26,-8.86,9.74,12.18,-8.38,-8.0,-8.5,-19.0,pair_inside_v,vwap_aligned + risk_le_15,254.65
217,61.75,48.85,38.25,0.235,0.221,0.147,1.614,1.432,1.239,9.37,25.26,-8.86,9.74,12.18,-8.38,-8.0,-8.5,-19.0,triple_inside_v,vwap_aligned + risk_le_20 + risk_le_15,254.65
662,60.27,48.19,37.46,0.205,0.205,0.124,1.517,1.395,1.198,18.54,41.51,-17.63,17.25,21.35,-15.31,-12.0,-27.0,-44.0,single_inside_v,body_lt_60,254.47
106,63.21,51.89,42.45,0.264,0.297,0.274,1.718,1.618,1.475,10.61,31.42,-11.76,10.12,14.14,-10.0,-5.0,-10.0,-11.0,triple_inside_v,fib_618 + risk_le_20 + has_liq_sweep,253.91
125,63.2,55.2,45.6,0.264,0.38,0.368,1.717,1.848,1.676,18.07,49.57,-15.69,17.75,25.62,-12.88,-6.0,-7.0,-9.0,pair_inside_v,fib_50 + rel_vol_ge_1_25,252.3
104,63.46,51.92,43.27,0.269,0.298,0.298,1.737,1.62,1.525,8.74,27.82,-7.3,8.56,9.93,-6.31,-8.0,-8.5,-11.0,triple_inside_v,vwap_aligned + risk_le_15 + rel_vol_ge_1_25,252.06
95,63.16,53.68,44.21,0.263,0.342,0.326,1.714,1.739,1.585,18.56,49.04,-16.34,18.0,26.62,-14.12,-6.0,-7.5,-10.0,triple_inside_v,fib_50 + rel_vol_ge_1_25 + has_liq_sweep,251.86
233,62.23,48.93,40.77,0.245,0.223,0.223,1.648,1.437,1.377,18.06,45.06,-16.34,17.0,24.17,-13.38,-15.0,-22.0,-23.0,triple_inside_v,rel_vol_ge_1_25 + body_lt_60 + has_liq_sweep,249.03
83,62.65,49.4,39.76,0.253,0.235,0.193,1.677,1.464,1.32,8.7,23.85,-10.77,8.69,11.74,-9.43,-5.0,-8.0,-10.0,triple_inside_v,fib_618 + risk_le_15 + has_liq_sweep,248.15
172,61.05,51.16,37.79,0.221,0.279,0.134,1.567,1.571,1.215,18.48,44.48,-16.98,17.38,22.75,-14.75,-9.0,-8.5,-11.0,triple_inside_v,fib_50 + body_lt_60 + has_liq_sweep,246.35
212,60.85,51.89,38.68,0.217,0.297,0.16,1.554,1.618,1.262,17.78,43.04,-16.21,16.5,21.38,-14.12,-10.0,-8.5,-14.0,pair_inside_v,fib_50 + body_lt_60,242.95
178,60.67,48.31,42.13,0.213,0.208,0.264,1.543,1.402,1.456,11.06,28.91,-10.41,11.12,12.42,-9.53,-11.0,-14.5,-19.0,triple_inside_v,risk_le_20 + rel_vol_ge_1_25 + body_lt_60,239.77
160,60.0,46.88,36.88,0.2,0.172,0.106,1.5,1.324,1.168,9.47,22.93,-9.2,9.86,12.04,-9.01,-7.0,-7.5,-14.0,triple_inside_v,vwap_aligned + risk_le_15 + has_liq_sweep,239.5
380,58.95,45.53,35.79,0.179,0.138,0.074,1.436,1.254,1.115,9.58,22.47,-10.07,9.86,11.03,-9.72,-15.0,-17.5,-26.0,pair_inside_v,risk_le_20 + risk_le_15,237.95
380,58.95,45.53,35.79,0.179,0.138,0.074,1.436,1.254,1.115,9.58,22.47,-10.07,9.86,11.03,-9.72,-15.0,-17.5,-26.0,single_inside_v,risk_le_15,237.95
391,58.57,46.29,37.08,0.171,0.157,0.113,1.414,1.293,1.179,11.77,27.68,-11.56,11.88,13.37,-11.0,-13.0,-22.5,-32.0,pair_inside_v,risk_le_20 + body_lt_60,237.57
530,59.25,47.36,36.6,0.185,0.184,0.098,1.454,1.349,1.155,19.1,42.23,-18.19,17.96,22.25,-15.91,-18.0,-23.5,-37.0,pair_inside_v,body_lt_60 + has_liq_sweep,236.15
135,61.48,48.15,40.74,0.23,0.204,0.222,1.596,1.393,1.375,8.99,25.33,-8.35,8.98,10.75,-7.45,-9.0,-10.0,-15.0,triple_inside_v,risk_le_15 + rel_vol_ge_1_25 + body_lt_60,230.58
282,59.93,46.45,36.17,0.199,0.161,0.085,1.496,1.301,1.133,9.59,23.86,-9.35,9.86,11.39,-9.4,-13.0,-20.0,-25.0,pair_inside_v,risk_le_15 + body_lt_60,229.93
282,59.93,46.45,36.17,0.199,0.161,0.085,1.496,1.301,1.133,9.59,23.86,-9.35,9.86,11.39,-9.4,-13.0,-20.0,-25.0,triple_inside_v,risk_le_20 + risk_le_15 + body_lt_60,229.93
58,60.34,51.72,43.1,0.207,0.293,0.293,1.522,1.607,1.515,9.2,24.57,-9.45,9.06,10.94,-8.25,-5.0,-5.5,-7.0,triple_inside_v,fib_50 + risk_le_15 + rel_vol_ge_1_25,225.74
293,59.39,46.76,38.91,0.188,0.169,0.167,1.462,1.317,1.274,18.04,42.7,-16.88,17.0,20.82,-13.62,-13.0,-21.0,-22.0,pair_inside_v,rel_vol_ge_1_25 + has_liq_sweep,224.89
171,58.48,45.61,38.6,0.17,0.14,0.158,1.408,1.258,1.257,8.73,22.04,-9.48,8.62,8.88,-7.75,-8.0,-9.5,-15.0,triple_inside_v,risk_le_20 + risk_le_15 + rel_vol_ge_1_25,224.28
171,58.48,45.61,38.6,0.17,0.14,0.158,1.408,1.258,1.257,8.73,22.04,-9.48,8.62,8.88,-7.75,-8.0,-9.5,-15.0,pair_inside_v,risk_le_15 + rel_vol_ge_1_25,224.28
224,58.48,46.43,40.62,0.17,0.161,0.219,1.409,1.3,1.368,10.84,27.55,-11.07,10.5,10.94,-9.52,-9.0,-15.0,-17.0,pair_inside_v,risk_le_20 + rel_vol_ge_1_25,222.88
230,58.26,46.09,36.96,0.165,0.152,0.109,1.396,1.282,1.172,11.92,26.64,-11.85,12.09,15.3,-11.16,-8.0,-11.5,-21.0,triple_inside_v,vwap_aligned + risk_le_20 + has_liq_sweep,222.36
537,56.8,44.69,35.94,0.136,0.117,0.078,1.315,1.212,1.122,11.89,26.66,-12.3,12.05,12.81,-11.49,-15.0,-27.0,-43.0,single_inside_v,risk_le_20,219.4
59,59.32,45.76,37.29,0.186,0.144,0.119,1.458,1.266,1.189,9.26,22.5,-10.09,9.73,11.9,-8.98,-4.0,-8.5,-10.0,triple_inside_v,vwap_aligned + risk_le_15 + body_ge_60,217.72
282,57.8,49.29,37.23,0.156,0.232,0.117,1.37,1.458,1.186,18.11,41.48,-17.46,17.31,20.31,-15.06,-10.0,-14.5,-21.0,single_inside_v,fib_50,215.4
76,59.21,51.32,44.74,0.184,0.283,0.342,1.452,1.581,1.619,11.36,31.71,-11.06,11.38,12.31,-9.88,-5.0,-6.0,-8.0,triple_inside_v,fib_50 + risk_le_20 + rel_vol_ge_1_25,215.31
223,57.4,47.98,36.32,0.148,0.2,0.09,1.347,1.384,1.141,18.97,41.94,-18.51,17.88,21.0,-16.5,-10.0,-14.0,-20.0,pair_inside_v,fib_50 + has_liq_sweep,211.9
300,55.33,43.33,35.0,0.107,0.083,0.05,1.239,1.147,1.077,12.02,25.45,-11.94,12.09,12.23,-11.56,-16.0,-22.5,-30.0,triple_inside_v,risk_le_20 + body_lt_60 + has_liq_sweep,205.93
733,56.75,44.75,35.33,0.135,0.119,0.06,1.312,1.215,1.093,19.31,40.2,-19.03,18.12,20.03,-16.88,-28.0,-38.5,-61.0,single_inside_v,has_liq_sweep,199.45
212,56.13,42.45,33.49,0.123,0.061,0.005,1.28,1.107,1.007,9.78,21.62,-9.84,10.45,10.69,-10.24,-13.0,-20.0,-27.0,triple_inside_v,risk_le_15 + body_lt_60 + has_liq_sweep,196.93
99,57.58,47.47,36.36,0.152,0.187,0.091,1.357,1.356,1.143,9.78,22.94,-9.75,10.5,11.12,-10.38,-8.0,-11.5,-14.0,triple_inside_v,fib_50 + risk_le_15 + body_lt_60,196.48
176,55.11,45.45,34.66,0.102,0.136,0.04,1.228,1.25,1.061,12.17,26.5,-12.49,12.31,13.0,-12.25,-9.0,-14.5,-19.0,pair_inside_v,fib_50 + risk_le_20,194.61
283,55.48,41.34,33.57,0.11,0.034,0.007,1.246,1.057,1.011,9.79,20.52,-10.78,10.12,10.51,-10.38,-14.0,-22.5,-27.0,pair_inside_v,risk_le_15 + has_liq_sweep,190.08
283,55.48,41.34,33.57,0.11,0.034,0.007,1.246,1.057,1.011,9.79,20.52,-10.78,10.12,10.51,-10.38,-14.0,-22.5,-27.0,triple_inside_v,risk_le_20 + risk_le_15 + has_liq_sweep,190.08
124,56.45,47.58,35.48,0.129,0.19,0.065,1.296,1.362,1.1,9.82,22.66,-10.26,10.62,11.06,-10.56,-8.0,-11.5,-13.0,triple_inside_v,fib_50 + risk_le_20 + risk_le_15,186.95
124,56.45,47.58,35.48,0.129,0.19,0.065,1.296,1.362,1.1,9.82,22.66,-10.26,10.62,11.06,-10.56,-8.0,-11.5,-13.0,pair_inside_v,fib_50 + risk_le_15,186.95
98,56.12,42.86,34.69,0.122,0.071,0.041,1.279,1.125,1.062,9.53,18.45,-12.13,9.84,9.93,-10.65,-8.0,-10.5,-14.0,triple_inside_v,risk_le_20 + risk_le_15 + body_ge_60,184.22
98,56.12,42.86,34.69,0.122,0.071,0.041,1.279,1.125,1.062,9.53,18.45,-12.13,9.84,9.93,-10.65,-8.0,-10.5,-14.0,pair_inside_v,risk_le_15 + body_ge_60,184.22
411,53.77,41.61,34.06,0.075,0.04,0.022,1.163,1.069,1.033,12.2,24.53,-12.98,12.36,12.18,-12.16,-23.0,-41.0,-48.0,pair_inside_v,risk_le_20 + has_liq_sweep,183.07
