direction,trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,avg_rel_vol,avg_body_pct,max_dd_1R,max_dd_1_5R,max_dd_2R
long,455,59.34,46.59,35.6,0.187,0.165,0.068,1.459,1.309,1.106,18.57,36.33,-18.4,1.577,0.431,-21.0,-27.5,-44.0
short,465,56.56,45.59,36.77,0.131,0.14,0.103,1.302,1.257,1.163,18.84,43.79,-18.27,1.231,0.469,-21.0,-25.0,-33.0
