candidate_number,take_trade,skip_reason,fvg_ts,entry_ts,direction,symbol,gap_low,gap_high,gap_mid,gap_width,entry_price,stop_price,risk_points
61,true,"",2026-02-23T04:00:00.000000,2026-02-23T07:16:00.000000,bear,NQH6,24914.75,24936.5,24925.625,21.75,24914.75,24936.5,21.75
60,true,"",2026-02-23T00:00:00.000000,2026-02-23T09:08:00.000000,bear,NQH6,24971.0,25014.25,24992.625,43.25,24971.0,25014.25,43.25
62,true,"",2026-02-23T16:00:00.000000,2026-02-23T18:23:00.000000,bear,NQH6,24820.25,24877.5,24848.875,57.25,24820.25,24877.5,57.25
63,true,"",2026-02-24T16:00:00.000000,2026-02-24T16:34:00.000000,bull,NQH6,24865.5,24969.25,24917.375,103.75,24969.25,24865.5,103.75
64,true,"",2026-02-25T12:00:00.000000,2026-02-25T12:13:00.000000,bull,NQH6,25067.75,25105.0,25086.375,37.25,25105.0,25067.75,37.25
65,true,"",2026-02-25T16:00:00.000000,2026-02-25T16:17:00.000000,bull,NQH6,25128.5,25282.75,25205.625,154.25,25282.75,25128.5,154.25
66,true,"",2026-02-26T08:00:00.000000,2026-02-26T08:47:00.000000,bull,NQH6,25341.5,25343.25,25342.375,1.75,25343.25,25341.5,1.75
67,true,"",2026-02-26T16:00:00.000000,2026-02-26T19:55:00.000000,bear,NQH6,25099.0,25343.25,25221.125,244.25,25099.0,25343.25,244.25
68,true,"",2026-03-01T20:00:00.000000,2026-03-01T23:12:00.000000,bear,NQH6,24815.0,24873.0,24844.0,58.0,24815.0,24873.0,58.0
69,true,"",2026-03-02T16:00:00.000000,2026-03-02T16:28:00.000000,bull,NQH6,24729.0,24852.0,24790.5,123.0,24852.0,24729.0,123.0
70,true,"",2026-03-03T04:00:00.000000,2026-03-03T04:01:00.000000,bear,NQH6,24864.0,24944.25,24904.125,80.25,24864.0,24944.25,80.25
71,true,"",2026-03-03T08:00:00.000000,2026-03-03T08:10:00.000000,bear,NQH6,24694.5,24804.25,24749.375,109.75,24694.5,24804.25,109.75
72,true,"",2026-03-03T12:00:00.000000,2026-03-03T14:39:00.000000,bear,NQH6,24661.25,24668.5,24664.875,7.25,24661.25,24668.5,7.25
73,true,"",2026-03-03T20:00:00.000000,2026-03-03T23:06:00.000000,bull,NQH6,24661.25,24669.75,24665.5,8.5,24669.75,24661.25,8.5
74,true,"",2026-03-04T12:00:00.000000,2026-03-04T12:31:00.000000,bull,NQH6,24677.75,24720.5,24699.125,42.75,24720.5,24677.75,42.75
75,true,"",2026-03-04T16:00:00.000000,2026-03-04T16:24:00.000000,bull,NQH6,24895.0,25051.0,24973.0,156.0,25051.0,24895.0,156.0
76,true,"",2026-03-06T04:00:00.000000,2026-03-06T07:13:00.000000,bull,NQH6,25070.0,25091.75,25080.875,21.75,25091.75,25070.0,21.75
77,true,"",2026-03-06T12:00:00.000000,2026-03-06T13:30:00.000000,bear,NQH6,24908.75,25091.75,25000.25,183.0,24908.75,25091.75,183.0
78,true,"",2026-03-08T20:00:00.000000,2026-03-08T22:00:00.000000,bear,NQH6,24473.0,24744.25,24608.625,271.25,24473.0,24744.25,271.25
79,true,"",2026-03-09T00:00:00.000000,2026-03-09T00:05:00.000000,bear,NQH6,24238.75,24601.0,24419.875,362.25,24238.75,24601.0,362.25
80,true,"",2026-03-09T16:00:00.000000,2026-03-09T17:43:00.000000,bull,NQH6,24495.75,24575.75,24535.75,80.0,24575.75,24495.75,80.0
81,true,"",2026-03-09T20:00:00.000000,2026-03-09T23:52:00.000000,bull,NQH6,24659.25,24858.0,24758.625,198.75,24858.0,24659.25,198.75
82,true,"",2026-03-12T00:00:00.000000,2026-03-12T01:43:00.000000,bear,NQH6,24842.25,24873.5,24857.875,31.25,24842.25,24873.5,31.25
83,true,"",2026-03-12T16:00:00.000000,2026-03-12T16:22:00.000000,bear,NQH6,24735.25,24813.0,24774.125,77.75,24735.25,24813.0,77.75
85,true,"",2026-03-16T04:00:00.000000,2026-03-16T07:39:00.000000,bull,NQM6,24496.75,24716.0,24606.375,219.25,24716.0,24496.75,219.25
