direction,trades_taken,wins,losses_or_breakeven,net_contract_points,net_profit_3_mnq_dollars,biggest_loss_contract_points,biggest_loss_dollars,win_rate_pct
bear,61,58,3,6357.25,12714.5,-558.75,-1117.5,95.08196721311475
bull,79,71,8,8123.25,16246.5,-222.0,-444.0,89.87341772151899
