model,trades,wins,winrate,net_points,avg_trade,profit_factor,max_dd
10ct_low_mae,17,17,100.0,332.52,19.56,,0.0
10ct_combo,20,18,90.0,335.7,16.79,19.58,-18.07
10ct_high_mfe,15,11,73.33,203.31,13.55,5.22,-25.32
10ct_elite,28,19,67.86,297.81,10.64,4.24,-25.32
10ct_fill2,28,19,67.86,297.81,10.64,4.24,-25.32
risk_6_20,98,61,62.24,986.23,10.06,3.66,-42.75
8_10_fill2,75,47,62.67,761.14,10.15,3.64,-31.56
