direction,trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,median_mfe,median_mae,max_dd_r_1R,max_dd_r_1_5R,max_dd_r_2R,audit_group,fib,hour,risk_bucket,orb_range_bucket,body_pct_bucket,rel_vol_bucket,vwap_dist_bucket,liq_sweep_bucket,vwap_aligned,directional_displacement,directional_recent_fvg,directional_v_reversal
,2605,50.71,40.08,31.21,0.014,0.002,-0.064,1.029,1.003,0.907,18.94,33.34,-18.44,17.13,-16.28,-40.0,-93.0,-230.0,hour,,9,,,,,,,,,,
,837,50.18,39.78,31.3,0.004,-0.005,-0.061,1.007,0.991,0.911,17.24,30.82,-16.94,14.09,-14.58,-40.0,-47.5,-67.0,liq_sweep_bucket,,,,,,,,0,,,,
short,818,49.02,40.34,32.15,-0.02,0.009,-0.035,0.962,1.014,0.948,19.3,36.02,-18.87,17.62,-16.25,-40.0,-50.5,-73.0,direction_fib,0.5,,,,,,,,,,,
long,302,45.03,36.09,26.16,-0.099,-0.098,-0.215,0.819,0.847,0.709,23.1,30.22,-22.52,19.02,-20.43,-40.0,-46.5,-69.0,direction_fib_vwap,0.382,,,,,,,,false,,,
short,252,43.25,32.94,28.97,-0.135,-0.177,-0.131,0.762,0.737,0.816,10.11,15.52,-10.16,6.65,-10.17,-40.0,-50.0,-41.0,direction_fib_risk,0.382,,<=15,,,,,,,,,
,1382,54.27,42.91,33.72,0.085,0.073,0.012,1.187,1.127,1.017,25.47,45.26,-24.53,30.1,-25.51,-41.0,-42.5,-90.0,orb_range_bucket,,,,40-60,,,,,,,,
,1521,49.97,40.04,33.0,-0.001,0.001,-0.01,0.999,1.002,0.985,16.3,32.59,-17.82,13.85,-15.07,-42.0,-43.0,-68.0,fib,0.618,,,,,,,,,,,
,1567,49.59,37.4,28.4,-0.008,-0.065,-0.148,0.984,0.896,0.793,21.37,32.41,-20.1,18.66,-18.07,-42.0,-121.0,-238.0,fib,0.382,,,,,,,,,,,
short,792,48.74,37.37,28.79,-0.025,-0.066,-0.136,0.951,0.895,0.809,21.12,34.44,-19.77,18.38,-17.81,-42.0,-68.5,-125.0,direction_fib,0.382,,,,,,,,,,,
long,366,48.36,38.8,31.15,-0.033,-0.03,-0.066,0.937,0.951,0.905,9.26,16.88,-11.33,8.01,-10.28,-42.0,-42.5,-43.0,direction_fib_risk,0.618,,<=15,,,,,,,,,
,750,48.0,35.07,26.13,-0.04,-0.123,-0.216,0.923,0.81,0.708,15.38,22.52,-15.07,10.92,-11.73,-43.0,-111.0,-178.0,vwap_dist_bucket,,,,,,,near,,,,,
short,315,43.81,34.6,29.52,-0.124,-0.135,-0.114,0.78,0.794,0.838,9.63,17.81,-10.1,7.0,-9.5,-44.0,-52.5,-50.0,direction_fib_risk,0.5,,<=15,,,,,,,,,
,2271,51.7,40.95,32.5,0.034,0.024,-0.025,1.07,1.04,0.963,19.38,34.3,-19.1,17.75,-16.66,-46.0,-91.5,-146.0,vwap_aligned,,,,,,,,,true,,,
,787,48.54,40.28,31.77,-0.029,0.007,-0.047,0.943,1.012,0.931,17.51,32.72,-18.54,17.27,-18.77,-46.0,-49.0,-90.0,risk_bucket,,,15-20,,,,,,,,,
,2185,52.72,41.19,33.0,0.054,0.03,-0.01,1.115,1.051,0.985,19.64,35.72,-19.31,19.29,-17.46,-47.0,-86.5,-129.0,rel_vol_bucket,,,,,,normal,,,,,,
long,733,49.39,40.11,32.2,-0.012,0.003,-0.034,0.976,1.005,0.95,16.43,30.8,-18.62,13.46,-15.66,-47.0,-33.5,-46.0,direction_fib,0.618,,,,,,,,,,,
,761,47.31,37.98,28.78,-0.054,-0.051,-0.137,0.898,0.918,0.808,17.79,28.42,-18.47,11.75,-14.62,-61.0,-64.0,-126.0,rel_vol_bucket,,,,,,extreme,,,,,,
long,2273,50.29,39.38,30.62,0.006,-0.016,-0.081,1.012,0.974,0.883,19.21,30.85,-19.58,16.0,-17.13,-62.0,-94.5,-225.0,direction,,,,,,,,,,,,
,821,49.21,38.86,30.69,-0.016,-0.029,-0.079,0.969,0.953,0.886,17.97,31.37,-18.9,16.64,-18.42,-66.0,-89.0,-103.0,orb_range_bucket,,,,30-40,,,,,,,,
,4671,49.84,39.31,31.11,-0.003,-0.017,-0.067,0.994,0.971,0.903,19.04,32.94,-19.07,16.32,-16.74,-79.0,-176.5,-403.0,directional_recent_fvg,,,,,,,,,,,true,
,1544,48.77,38.99,32.32,-0.025,-0.025,-0.03,0.952,0.959,0.955,19.12,33.36,-20.4,16.09,-17.69,-79.0,-108.5,-140.0,hour,,8,,,,,,,,,,
,4653,49.75,39.2,30.99,-0.005,-0.02,-0.07,0.99,0.967,0.898,19.04,32.84,-19.09,16.29,-16.75,-86.0,-184.5,-415.0,directional_displacement,,,,,,,,,,false,,
,1675,47.76,38.27,30.27,-0.045,-0.043,-0.092,0.914,0.93,0.868,18.37,30.54,-18.87,15.01,-16.62,-89.0,-96.5,-175.0,liq_sweep_bucket,,,,,,,,1,,,,
short,2398,49.42,39.24,31.57,-0.012,-0.019,-0.053,0.977,0.969,0.923,18.87,34.92,-18.58,16.63,-16.25,-92.0,-133.0,-221.0,direction,,,,,,,,,,,,
,1374,46.87,37.26,29.91,-0.063,-0.068,-0.103,0.882,0.891,0.854,19.1,32.23,-19.27,14.13,-17.03,-97.0,-102.0,-156.0,rel_vol_bucket,,,,,,high,,,,,,
,1583,47.13,37.65,29.82,-0.057,-0.059,-0.105,0.891,0.906,0.85,18.49,31.17,-18.62,14.21,-16.38,-100.0,-109.0,-180.0,body_pct_bucket,,,,,50-75,,,,,,,
,850,45.29,36.35,28.94,-0.094,-0.091,-0.132,0.828,0.857,0.815,18.76,29.63,-19.36,15.68,-17.01,-102.0,-107.0,-143.0,vwap_dist_bucket,,,,,,,below,,,,,
,1858,47.95,37.41,30.95,-0.041,-0.065,-0.072,0.921,0.896,0.896,9.58,17.6,-10.37,8.0,-10.02,-104.0,-155.0,-165.0,risk_bucket,,,<=15,,,,,,,,,
,2400,48.08,37.75,29.79,-0.038,-0.056,-0.106,0.926,0.91,0.849,18.71,31.65,-19.03,15.01,-16.74,-118.0,-184.0,-301.0,vwap_aligned,,,,,,,,,false,,,
,888,44.37,35.02,27.93,-0.113,-0.124,-0.162,0.798,0.808,0.775,12.68,21.61,-13.46,10.07,-13.4,-119.0,-134.0,-177.0,orb_range_bucket,,,,20-30,,,,,,,,
,3751,47.85,37.64,29.86,-0.043,-0.059,-0.104,0.918,0.906,0.851,19.12,31.18,-19.25,15.56,-16.85,-167.0,-231.5,-412.0,directional_v_reversal,,,,,,,,,,,,false
,1330,43.01,34.29,26.62,-0.14,-0.143,-0.202,0.755,0.783,0.725,19.49,27.68,-21.13,11.71,-18.22,-196.0,-204.0,-283.0,body_pct_bucket,,,,,>75,,,,,,,
