trades,wr_1R,avg_r_1R,pf_1R,wr_2R,avg_r_2R,pf_2R,avg_risk,avg_mfe,avg_mae,feature,side,threshold,max_dd_r_1R,max_dd_r_2R
1402,51.14,0.023,1.047,32.95,-0.011,0.983,19.33,36.56,-19.41,dist_vwap,>=,19.5299,-39.0,-77.0
2808,51.03,0.021,1.042,31.16,-0.065,0.905,25.3,43.07,-24.78,risk_points,>=,15.125,-41.0,-247.0
3270,50.98,0.02,1.04,31.53,-0.054,0.921,19.2,33.99,-19.07,rel_vol_20,<=,1.4615,-51.0,-256.0
4205,50.94,0.019,1.038,31.84,-0.045,0.934,18.95,33.83,-18.76,body_pct,<=,0.8846,-48.0,-320.0
935,50.91,0.018,1.037,34.55,0.036,1.056,19.81,40.11,-19.88,dist_vwap,>=,34.5422,-44.0,-60.0
1402,50.86,0.017,1.035,31.38,-0.058,0.915,19.11,34.7,-19.05,rel_vol_20,<=,1.0112,-44.0,-117.0
3737,50.87,0.017,1.035,31.74,-0.048,0.93,19.27,34.06,-19.01,rel_vol_20,<=,1.6371,-55.0,-262.0
2804,50.78,0.016,1.032,32.85,-0.015,0.978,24.07,42.86,-24.43,atr_14,>=,7.7679,-60.0,-143.0
469,50.75,0.015,1.03,31.98,-0.041,0.94,30.34,56.32,-32.99,atr_14,>=,16.875,-17.0,-42.0
1869,50.72,0.014,1.029,31.19,-0.064,0.907,19.25,34.29,-19.27,rel_vol_20,<=,1.0997,-54.0,-167.0
1403,50.68,0.014,1.027,29.51,-0.115,0.837,31.03,49.46,-29.61,risk_points,>=,24.375,-38.0,-185.0
959,50.68,0.014,1.027,32.43,-0.027,0.96,7.2,13.16,-7.48,orb_range,<=,20.25,-32.0,-57.0
3270,50.67,0.013,1.027,32.02,-0.039,0.942,22.98,40.22,-23.26,atr_14,>=,6.4286,-54.0,-221.0
2339,50.62,0.012,1.025,33.35,0.0,1.001,25.17,45.43,-25.88,atr_14,>=,9.0357,-69.0,-112.0
1409,50.53,0.011,1.022,30.59,-0.082,0.881,29.88,49.45,-28.96,orb_range,>=,49.25,-50.0,-153.0
3288,50.49,0.01,1.02,31.05,-0.068,0.901,23.45,40.24,-23.31,orb_range,>=,25.25,-49.0,-292.0
3273,50.47,0.009,1.019,30.98,-0.071,0.898,23.67,40.37,-23.39,risk_points,>=,12.5105,-50.0,-301.0
2803,50.37,0.007,1.015,30.47,-0.086,0.876,17.74,30.87,-17.62,dist_vwap,>=,-2.3881,-60.0,-295.0
4209,50.15,0.003,1.006,31.24,-0.063,0.909,17.54,30.48,-17.61,orb_range,<=,63.75,-64.0,-357.0
