year,trades,wins,net_points,avg_rr,win_rate
2018,26,9,112.75,0.04807692307692308,34.62
2019,26,7,-15.0,-0.16769230769230767,26.92
2020,27,11,206.25,0.12555555555555556,40.74
2021,28,10,74.5,0.01607142857142857,35.71
2022,22,6,-436.5,-0.17909090909090908,27.27
2023,30,10,-133.25,-0.12399999999999999,33.33
2024,21,7,-106.0,-0.19380952380952382,33.33
2025,27,14,568.75,0.522962962962963,51.85
2026,16,3,-404.5,-0.4375,18.75
