signal_time,entry_time,trade_date,year,month,hour,minute,side,entry_price,stop_price,target_price,risk_points,result_points,result_rr,exit_reason,bars_held,fill_bars,mfe_points,mae_points,signal_high,signal_low,signal_close,range_expansion,rel_volume,day_of_week,trade_date_ct,hour_ct,minute_ct,open,high,low,close,volume,vwap,vwap_day,dist_vwap,dist_vwap_day,ema_20,ema_50,dist_ema_20,dist_ema_50,atr_14,atr_50,rel_vol_20,rel_vol_50,bar_range,body,body_abs,body_pct,upper_wick,lower_wick,upper_wick_pct,lower_wick_pct,range_expansion_20,body_expansion_20,bear_displacement,bear_fvg,bear_fvg_size,bear_fvg_min_2pt,bull_fvg,bull_fvg_size,bull_fvg_min_2pt,pdh,pdl,dol,ny_open,dist_dol,dist_pdh,dist_pdl,dist_ny_open,dist_asia_high,dist_asia_low,dist_london_high,dist_london_low,dist_or_high_30m,dist_or_low_30m,pdh_sweep_reclaim_last_30m,pdl_sweep_reclaim_last_30m,pmh_sweep_reclaim_last_30m,pml_sweep_reclaim_last_30m,asia_high_sweep_reclaim_last_30m,asia_low_sweep_reclaim_last_30m,london_high_sweep_reclaim_last_30m,london_low_sweep_reclaim_last_30m,any_liquidity_sweep_reclaim_last_30m,liquidity_sweep_reclaim_count_last_30m,recent_bear_fvg_last_120m,inside_bear_fvg_current_bar,bear_ifvg_proxy_fast,any_ifvg_proxy_fast,has_high_impact_usd_event,has_cpi,has_fomc,has_nfp,has_ppi,has_pmi_ism,has_jobs,has_fed_speech,outcome,equity_points,peak_points,drawdown_points
2019-08-29T08:37:00.000000,2019-08-29T08:38:00.000000,2019-08-29,2019,2019-08,8,38,short,7682.44,7693.5,7660.31,11.06,22.12,2.0,target,1,1,26.19,-2.06,7691.5,7655.25,7660.5,5.9184,8.1109,4,2019-08-29,8,38,7660.0,7684.5,7656.25,7683.75,3446,7669.677717700065,7669.677717700065,14.072282299935068,14.072282299935068,7697.351219050891,7701.372134387251,-13.601219050890904,-17.622134387251208,8.785714285714286,6.22,2.4544159544159543,2.6508507954090894,28.25,23.75,23.75,0.8407079646017699,0.75,3.75,0.02654867256637168,0.13274336283185842,3.824027072758037,4.75,false,true,5.75,true,false,,false,7605.75,7504.25,7587.75,7587.75,96.0,78.0,179.5,96.0,96.0,135.25,-19.0,120.0,-26.0,28.5,false,false,false,true,false,false,true,false,true,2,true,false,false,true,true,false,false,false,false,false,false,false,WIN,22.12,22.12,0.0
2020-03-04T08:37:00.000000,2020-03-04T08:38:00.000000,2020-03-04,2020,2020-03,8,38,short,8715.56,8724.75,8697.19,9.19,18.38,2.0,target,1,1,28.56,-0.94,8722.75,8694.0,8700.25,2.0852,2.4222,3,2020-03-04,8,38,8700.25,8716.5,8687.0,8694.0,5121,8716.947333457298,8716.947333457298,-22.947333457297646,-22.947333457297646,8740.275211713233,8746.385388281335,-46.27521171323315,-52.3853882813346,18.25,11.68,2.1668852875216857,4.067126246902599,29.5,-6.25,6.25,0.211864406779661,16.25,7.0,0.5508474576271186,0.23728813559322035,1.9568822553897183,0.8928571428571429,false,false,,false,false,,false,9002.5,8511.0,8557.5,8557.5,136.5,-308.5,183.0,136.5,-23.75,185.75,-115.0,11.25,-88.5,28.75,false,false,true,true,true,false,false,false,true,3,true,false,true,true,true,false,false,true,false,true,true,false,WIN,40.5,40.5,0.0
2020-03-20T10:09:00.000000,2020-03-20T10:10:00.000000,2020-03-20,2020,2020-03,10,10,short,7222.12,7232.75,7200.88,10.62,21.25,2.0,target,1,1,25.38,-8.38,7230.75,7196.25,7198.0,1.5629,1.6994,5,2020-03-20,10,10,7199.25,7230.5,7196.75,7228.75,1718,7400.4572900754065,7400.4572900754065,-171.7072900754065,-171.7072900754065,7276.127810719411,7315.411958756961,-47.37781071941117,-86.66195875696121,23.410714285714285,24.015,1.7591644480851936,1.575279662571062,33.75,29.5,29.5,0.8740740740740741,1.75,2.5,0.05185185185185185,0.07407407407407407,1.5168539325842696,2.334322453016815,false,false,,false,false,,false,7502.5,6874.25,7143.75,7143.75,85.0,-273.75,354.5,85.0,-141.25,102.5,-420.25,-76.5,-249.0,-152.0,false,false,false,false,false,false,false,true,true,1,true,false,false,true,true,false,false,false,false,false,false,false,WIN,61.75,61.75,0.0
2020-11-09T08:34:00.000000,2020-11-09T08:35:00.000000,2020-11-09,2020,2020-11,8,35,short,12115.0,12126.25,12092.5,11.25,22.5,2.0,target,1,1,43.25,-3.5,12124.25,12087.25,12093.75,1.5164,2.4793,1,2020-11-09,8,35,12092.75,12118.5,12071.75,12103.25,3130,12224.235561591498,12224.235561591498,-120.98556159149848,-120.98556159149848,12162.117643712121,12170.830929703248,-58.86764371212121,-67.58092970324833,31.589285714285715,22.905,2.1881991051454137,3.0678454511595086,46.75,10.5,10.5,0.22459893048128343,15.25,21.0,0.32620320855614976,0.44919786096256686,1.7826501429933268,0.6516679596586501,false,false,,false,false,,false,12109.0,11868.25,12139.25,12139.25,-36.0,-5.75,235.0,-36.0,-305.5,-18.75,-281.25,164.0,-108.75,61.25,true,false,false,false,false,true,false,false,true,2,true,false,false,true,false,false,true,false,false,false,false,false,WIN,84.25,84.25,0.0
2020-12-02T08:40:00.000000,2020-12-02T08:41:00.000000,2020-12-02,2020,2020-12,8,41,short,12352.56,12362.5,12332.69,9.94,19.88,2.0,target,1,1,25.31,-1.19,12360.5,12328.75,12332.0,2.816,2.8289,3,2020-12-02,8,41,12332.0,12353.75,12327.25,12352.25,3315,12400.067323680994,12400.067323680994,-47.81732368099438,-47.81732368099438,12365.926995310172,12380.174466230299,-13.67699531017206,-27.924466230299004,15.142857142857142,7.37,1.7716377628730993,3.577132251381215,26.5,20.25,20.25,0.7641509433962265,1.5,4.75,0.05660377358490566,0.1792452830188679,2.206035379812695,3.195266272189349,false,false,,false,false,,false,12512.25,12312.0,12456.25,12456.25,-104.0,-160.0,40.25,-104.0,-121.25,-53.25,-105.75,-40.0,-45.5,39.75,false,false,false,false,false,false,false,true,true,1,true,false,false,true,true,false,true,true,false,false,false,true,WIN,104.13,104.13,0.0
2021-01-27T08:32:00.000000,2021-01-27T08:33:00.000000,2021-01-27,2021,2021-01,8,33,short,13303.06,13322.0,13265.19,18.94,37.88,2.0,target,1,1,41.06,-1.44,13320.0,13252.25,13267.5,4.6604,5.0893,3,2021-01-27,8,33,13267.75,13304.5,13262.0,13270.5,5921,13433.200922687367,13433.200922687367,-162.70092268736698,-162.70092268736698,13353.42955399222,13369.3736947287,-82.92955399222046,-98.87369472869977,20.839285714285715,10.635,3.672849078841263,7.035408745247148,42.5,2.75,2.75,0.06470588235294118,34.0,5.75,0.8,0.13529411764705881,2.577710386656558,0.2906208718626156,false,true,8.5,true,false,,false,13599.75,13380.25,13551.0,13551.0,-280.5,-329.25,-109.75,-280.5,-316.0,-264.75,-302.5,-81.5,-119.0,99.25,false,true,false,false,false,false,false,false,true,1,true,false,false,true,true,false,true,false,false,false,true,false,WIN,142.01,142.01,0.0
2021-02-24T08:36:00.000000,2021-02-24T08:37:00.000000,2021-02-24,2021,2021-02,8,37,short,13042.19,13056.0,13014.56,13.81,27.62,2.0,target,1,1,40.19,-5.81,13054.0,13006.75,13013.25,1.9276,2.4653,3,2021-02-24,8,37,13013.25,13048.0,13002.0,13041.0,4397,13152.607862441178,13152.607862441178,-111.60786244117844,-111.60786244117844,13068.171023031051,13097.430284396696,-27.171023031050936,-56.43028439669615,30.553571428571427,22.84,1.9121963947900587,2.736665214414639,46.0,27.75,27.75,0.6032608695652174,7.0,11.25,0.15217391304347827,0.24456521739130435,1.7734939759036144,2.505643340857788,false,false,,false,false,,false,13335.75,12757.25,13170.75,13170.75,-129.75,-294.75,283.75,-129.75,-222.0,-28.0,-254.5,14.0,-80.25,39.0,false,false,false,true,false,true,false,true,true,3,true,false,false,true,true,false,true,false,false,false,true,true,WIN,169.63,169.63,0.0
2021-11-10T08:37:00.000000,2021-11-10T08:38:00.000000,2021-11-10,2021,2021-11,8,38,short,16101.81,16110.25,16084.94,8.44,16.88,2.0,target,1,1,18.56,-2.44,16108.25,16082.5,16085.0,1.5535,1.3609,3,2021-11-10,8,38,16085.0,16104.25,16083.25,16095.25,2498,16132.99443813848,16132.99443813848,-37.74443813847938,-37.74443813847938,16094.674341969403,16103.444042747327,0.5756580305969692,-8.19404274732733,22.125,11.13,1.2283634933123526,2.3906136354936263,21.0,10.25,10.25,0.4880952380952381,9.0,1.75,0.42857142857142855,0.08333333333333333,1.2209302325581395,1.1310344827586207,false,false,,false,false,,false,16391.75,16160.0,16201.25,16201.25,-106.0,-296.5,-64.75,-106.0,-106.0,-37.25,-147.75,-17.0,-84.0,53.5,false,false,false,true,false,false,false,true,true,2,true,false,false,true,false,false,false,false,false,false,false,false,WIN,186.51,186.51,0.0
2021-12-16T08:33:00.000000,2021-12-16T08:34:00.000000,2021-12-16,2021,2021-12,8,34,short,16310.75,16321.25,16289.75,10.5,21.0,2.0,target,1,1,25.25,-2.0,16319.25,16285.25,16287.75,2.7227,3.2409,4,2021-12-16,8,34,16287.75,16312.75,16285.5,16310.5,2838,16358.378744120382,16358.378744120382,-47.87874412038218,-47.87874412038218,16318.36125116769,16330.311358061042,-7.861251167689261,-19.811358061042483,14.714285714285714,10.76,2.168812808070001,3.24224283690536,27.25,22.75,22.75,0.8348623853211009,2.25,2.25,0.08256880733944955,0.08256880733944955,2.0055197792088317,2.7002967359050443,false,false,,false,false,,false,16300.0,15740.25,16288.0,16288.0,22.5,10.5,570.25,22.5,-45.75,33.25,-146.5,-40.0,-31.5,143.75,true,false,false,true,false,false,false,false,true,2,true,false,false,true,false,false,false,false,false,true,false,false,WIN,207.51,207.51,0.0
2021-12-28T08:31:00.000000,2021-12-28T08:32:00.000000,2021-12-28,2021,2021-12,8,32,short,16583.56,16592.25,16566.19,8.69,17.38,2.0,target,1,1,22.56,-0.69,16590.25,16563.5,16567.25,3.2229,4.4114,2,2021-12-28,8,32,16566.75,16584.25,16561.0,16571.0,2270,16594.809095456792,16594.809095456792,-23.80909545679242,-23.80909545679242,16593.19691966493,16605.05207932298,-22.196919664929737,-34.05207932298072,11.392857142857142,7.19,3.3404458833051285,5.120685765847056,23.25,4.25,4.25,0.1827956989247312,13.25,5.75,0.5698924731182796,0.24731182795698925,2.5237449118046134,0.947075208913649,false,false,,false,false,,false,16580.75,16304.25,16565.75,16565.75,5.25,-9.75,266.75,5.25,-0.75,38.0,-88.5,29.0,-37.5,50.0,true,false,false,true,true,false,false,false,true,3,true,false,false,true,false,false,false,false,false,false,false,false,WIN,224.89,224.89,0.0
