year,trades,wins,losses,net_points,avg_trade,winrate
2019,1,1,0,22.12,22.12,100.0
2020,4,4,0,82.01,20.5,100.0
2021,5,5,0,120.76,24.15,100.0
2022,4,4,0,84.63,21.16,100.0
2023,1,1,0,23.5,23.5,100.0
2024,4,4,0,70.37,17.59,100.0
2025,12,12,0,279.51,23.29,100.0
2026,4,4,0,90.63,22.66,100.0
