trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,max_dd_1R,max_dd_1_5R,max_dd_2R,avg_risk,avg_mfe,avg_mae,test_type,feature_set,quality_score
33154,50.4,39.93,32.86,0.008,-0.002,-0.014,1.016,0.997,0.979,-270.0,-459.0,-697.0,11.2,24.25,-13.8,pair,risk_le_20 + fvg_size_ge_2,-212.2
1395,52.11,40.72,33.41,0.042,0.018,0.002,1.088,1.03,1.003,-18.0,-39.5,-61.0,12.49,26.94,-14.67,triple,directional_displacement + directional_v_reversal + vwap_aligned,178.11
1843,49.59,38.2,31.14,-0.008,-0.045,-0.066,0.984,0.927,0.905,-68.0,-133.0,-161.0,12.87,27.38,-15.26,triple,directional_displacement + directional_v_reversal + has_liq_sweep,85.19
285,82.46,68.77,56.84,0.649,0.719,0.705,4.7,3.303,2.634,-3.0,-4.0,-11.0,12.01,43.08,-11.44,triple,directional_displacement + directional_v_reversal + ifvg_proxy,612.86
1248,64.1,49.6,40.46,0.282,0.24,0.214,1.786,1.476,1.359,-8.0,-15.0,-25.0,12.27,33.06,-13.51,triple,directional_displacement + directional_v_reversal + body_lt_60,298.9
966,45.45,34.58,27.95,-0.091,-0.136,-0.161,0.833,0.793,0.776,-108.0,-153.0,-177.0,12.26,24.36,-16.29,triple,directional_displacement + directional_v_reversal + rel_vol_ge_1_25,-2.35
2200,50.55,38.73,31.73,0.011,-0.032,-0.048,1.022,0.948,0.929,-44.0,-122.0,-158.0,9.97,21.86,-12.4,triple,directional_displacement + directional_v_reversal + risk_le_20,127.85
1687,49.5,37.76,30.88,-0.01,-0.056,-0.074,0.98,0.91,0.894,-62.0,-113.0,-148.0,13.83,29.5,-16.22,triple,directional_displacement + directional_v_reversal + fvg_size_ge_2,93.5
1024,50.59,40.04,33.59,0.012,0.001,0.008,1.024,1.002,1.012,-28.0,-37.0,-39.0,12.88,28.25,-15.0,triple,directional_displacement + vwap_aligned + has_liq_sweep,152.19
169,85.8,71.01,60.36,0.716,0.775,0.811,6.042,3.673,3.045,-4.0,-4.0,-5.0,11.96,46.72,-11.08,triple,directional_displacement + vwap_aligned + ifvg_proxy,755.6
