year,trades,wins,net_points,avg_rr,win_rate
2018,233,80,17.75,0.030042918454935622,34.33
2019,160,48,-238.5,-0.094875,30.0
2020,366,137,329.5,0.12103825136612022,37.43
2021,414,141,-113.75,0.020603864734299517,34.06
2022,708,234,-1261.5,-0.011807909604519773,33.05
2023,422,135,-661.5,-0.048672985781990516,31.99
2024,457,157,-81.25,0.023194748358862146,34.35
2025,538,190,342.5,0.06031598513011153,35.32
2026,240,83,-308.25,0.039749999999999994,34.58
