year,trades,wins,losses,avg_r,net_r,win_rate
2018,8,6,2,2.25,18.0,75.0
2019,7,4,3,1.0,7.0,57.14285714285714
2020,9,6,3,2.111111111111111,19.0,66.66666666666666
2021,14,11,3,2.5,35.0,78.57142857142857
2022,10,9,1,3.3,33.0,90.0
2023,21,13,8,1.7386878616746846,36.512445095168374,61.904761904761905
2024,24,19,5,1.9187315634218287,46.04955752212389,79.16666666666666
2025,9,8,1,3.0,27.0,88.88888888888889
2026,11,7,4,2.1818181818181817,24.0,63.63636363636363
