year,trades,wins,net_points,avg_rr,win_rate
2018,9,4,82.25,0.3333333333333333,44.44
2019,7,1,-52.25,-0.5714285714285714,14.29
2020,14,6,-4.25,0.2857142857142857,42.86
2021,15,5,15.5,0.0,33.33
2022,8,3,-49.5,0.1325,37.5
2023,7,4,109.5,0.5842857142857143,57.14
2024,7,2,-25.0,-0.23142857142857146,28.57
2025,5,4,159.0,1.092,80.0
2026,1,0,-67.0,-1.0,0.0
