month,trades,wins,net_points,avg_rr,win_rate
2018-01,3,1,-23.0,0.0,33.33
2018-03,4,2,50.0,0.5,50.0
2018-12,2,1,55.25,0.5,50.0
2019-02,2,0,-26.25,-1.0,0.0
2019-03,1,0,-11.25,-1.0,0.0
2019-05,1,0,-11.75,-1.0,0.0
2019-06,1,0,-7.25,-1.0,0.0
2019-07,1,1,11.5,2.0,100.0
2019-12,1,0,-7.25,-1.0,0.0
2020-01,4,2,9.25,0.5,50.0
2020-02,1,1,34.5,2.0,100.0
2020-06,1,0,-34.25,-1.0,0.0
2020-08,2,1,0.25,0.5,50.0
2020-11,2,0,-49.25,-1.0,0.0
2020-12,4,2,35.25,0.5,50.0
2021-01,4,2,125.75,0.5,50.0
2021-02,2,1,4.25,0.5,50.0
2021-03,1,0,-31.75,-1.0,0.0
2021-05,1,1,41.5,2.0,100.0
2021-12,7,1,-124.25,-0.5714285714285714,14.29
2022-01,2,0,-109.5,-1.0,0.0
2022-02,2,1,48.5,0.5,50.0
2022-03,1,0,-26.25,-1.0,0.0
2022-07,1,1,59.5,2.0,100.0
2022-10,1,0,-42.25,-0.94,0.0
2022-12,1,1,20.5,2.0,100.0
2023-01,3,1,59.0,0.0,33.33
2023-02,1,1,48.5,2.0,100.0
2023-04,1,1,27.5,2.0,100.0
2023-05,1,1,6.25,1.09,100.0
2023-08,1,0,-31.75,-1.0,0.0
2024-06,1,0,-4.0,-1.0,0.0
2024-07,1,0,-1.0,-0.03,0.0
2024-09,1,0,-24.25,-1.0,0.0
2024-11,1,1,19.75,0.41,100.0
2024-12,3,1,-15.5,0.0,33.33
2025-01,1,0,-40.5,-1.0,0.0
2025-02,1,1,72.5,2.0,100.0
2025-03,1,1,89.0,2.0,100.0
2025-07,1,1,15.0,2.0,100.0
2025-12,1,1,23.0,0.46,100.0
2026-03,1,0,-67.0,-1.0,0.0
