year,trades,wins,net_points,avg_rr,win_rate
2018,460,131,-232.45000000000002,-0.02165217391304348,28.48
2019,374,110,-147.85999999999999,-0.006042780748663101,29.41
2020,431,130,250.71,0.04589327146171694,30.16
2021,424,109,-775.2199999999999,-0.12014150943396226,25.71
2022,336,115,1596.94,0.17291666666666666,34.23
2023,396,101,-843.85,-0.13075757575757577,25.51
2024,362,103,54.65999999999994,-0.0412707182320442,28.45
2025,340,106,1336.54,0.07652941176470589,31.18
2026,88,23,-143.62,-0.08522727272727272,26.14
