fvg_id,side,fvg_time,trade_date,entry_time,exit_time,exit_reason,fvg_low,fvg_high,fvg_mid,fvg_size,entry,stop_initial,tp1,tp2,tp3,final_exit_price,initial_risk_points,initial_risk_dollars,tp1_hit,tp2_hit,tp3_hit,tp1_time,tp2_time,tp3_time,gross_points_3_contracts,pnl_dollars,mfe_points_from_entry,mae_points_from_entry,r_multiple,win,loss,breakeven
220,LONG,2026-03-02T11:00:00.000000,2026-03-02,2026-03-02T11:13:00.000000,2026-03-02T11:33:00.000000,STOP,24958.5,25007.5,24983.0,49.0,25007.5,24957.25,25032.5,25057.5,25082.5,25032.5,50.25,301.5,true,true,false,2026-03-02T11:14:00.000000,2026-03-02T11:15:00.000000,,100.0,200.0,69.0,0.0,0.6633,true,false,false
229,LONG,2026-03-04T10:00:00.000000,2026-03-04,2026-03-04T10:24:00.000000,2026-03-04T10:33:00.000000,TP3,24970.25,25051.0,25010.62,80.75,25051.0,24969.0,25076.0,25101.0,25126.0,25126.0,82.0,492.0,true,true,true,2026-03-04T10:25:00.000000,2026-03-04T10:26:00.000000,2026-03-04T10:33:00.000000,150.0,300.0,77.75,0.0,0.6098,true,false,false
233,SHORT,2026-03-05T07:00:00.000000,2026-03-05,2026-03-05T08:33:00.000000,2026-03-05T08:34:00.000000,STOP,25076.0,25085.25,25080.62,9.25,25076.0,25086.5,25051.0,25026.0,25001.0,25076.0,10.5,63.0,true,false,false,2026-03-05T08:33:00.000000,,,25.0,50.0,28.5,19.0,0.7937,true,false,false
240,SHORT,2026-03-06T08:00:00.000000,2026-03-06,2026-03-06T08:51:00.000000,2026-03-06T08:52:00.000000,STOP,24742.5,24805.5,24774.0,63.0,24742.5,24806.75,24717.5,24692.5,24667.5,24717.5,64.25,385.5,true,true,false,2026-03-06T08:51:00.000000,2026-03-06T08:51:00.000000,,100.0,200.0,57.25,0.0,0.5188,true,false,false
241,LONG,2026-03-06T10:00:00.000000,2026-03-06,2026-03-06T10:23:00.000000,2026-03-06T10:26:00.000000,STOP,24742.5,24790.0,24766.25,47.5,24790.0,24741.25,24815.0,24840.0,24865.0,24815.0,48.75,292.5,true,true,false,2026-03-06T10:24:00.000000,2026-03-06T10:25:00.000000,,100.0,200.0,55.0,0.0,0.6838,true,false,false
249,LONG,2026-03-09T10:00:00.000000,2026-03-09,2026-03-09T10:01:00.000000,2026-03-09T10:26:00.000000,TP3,24585.5,24631.25,24608.38,45.75,24631.25,24584.25,24656.25,24681.25,24706.25,24706.25,47.0,282.0,true,true,true,2026-03-09T10:03:00.000000,2026-03-09T10:24:00.000000,2026-03-09T10:26:00.000000,150.0,300.0,96.5,0.0,1.0638,true,false,false
255,LONG,2026-03-10T09:00:00.000000,2026-03-10,2026-03-10T09:34:00.000000,2026-03-10T09:47:00.000000,STOP,25081.75,25109.75,25095.75,28.0,25109.75,25080.5,25134.75,25159.75,25184.75,25134.75,29.25,175.5,true,true,false,2026-03-10T09:37:00.000000,2026-03-10T09:42:00.000000,,100.0,200.0,62.5,0.0,1.1396,true,false,false
270,LONG,2026-03-13T04:00:00.000000,2026-03-13,2026-03-13T08:56:00.000000,2026-03-13T08:56:00.000000,STOP,24524.25,24525.25,24524.75,1.0,24525.25,24523.0,24550.25,24575.25,24600.25,24523.0,2.25,13.5,false,false,false,,,,-6.75,-13.5,5.75,30.25,-1.0,false,true,false
273,SHORT,2026-03-13T09:00:00.000000,2026-03-13,2026-03-13T09:14:00.000000,2026-03-13T09:24:00.000000,TP3,24569.25,24611.0,24590.12,41.75,24569.25,24612.25,24544.25,24519.25,24494.25,24494.25,43.0,258.0,true,true,true,2026-03-13T09:15:00.000000,2026-03-13T09:20:00.000000,2026-03-13T09:24:00.000000,150.0,300.0,91.5,0.0,1.1628,true,false,false
296,SHORT,2026-03-23T10:00:00.000000,2026-03-23,2026-03-23T10:12:00.000000,2026-03-23T10:20:00.000000,TP3,24465.5,24527.5,24496.5,62.0,24465.5,24528.75,24440.5,24415.5,24390.5,24390.5,63.25,379.5,true,true,true,2026-03-23T10:12:00.000000,2026-03-23T10:17:00.000000,2026-03-23T10:20:00.000000,150.0,300.0,76.5,0.0,0.7905,true,false,false
305,SHORT,2026-03-26T11:00:00.000000,2026-03-26,2026-03-26T11:01:00.000000,2026-03-26T11:24:00.000000,TP3,24018.0,24051.25,24034.62,33.25,24018.0,24052.5,23993.0,23968.0,23943.0,23943.0,34.5,207.0,true,true,true,2026-03-26T11:04:00.000000,2026-03-26T11:14:00.000000,2026-03-26T11:24:00.000000,150.0,300.0,78.0,0.0,1.4493,true,false,false
316,LONG,2026-03-29T21:00:00.000000,2026-03-30,2026-03-30T11:13:00.000000,2026-03-30T11:22:00.000000,STOP,23210.0,23250.25,23230.12,40.25,23250.25,23208.75,23275.25,23300.25,23325.25,23208.75,41.5,249.0,false,false,false,,,,-124.5,-249.0,13.25,41.75,-1.0,false,true,false
330,LONG,2026-04-01T09:00:00.000000,2026-04-01,2026-04-01T09:30:00.000000,2026-04-01T09:53:00.000000,TP3,24194.75,24229.75,24212.25,35.0,24229.75,24193.5,24254.75,24279.75,24304.75,24304.75,36.25,217.5,true,true,true,2026-04-01T09:31:00.000000,2026-04-01T09:35:00.000000,2026-04-01T09:53:00.000000,150.0,300.0,76.25,0.0,1.3793,true,false,false
331,LONG,2026-04-01T10:00:00.000000,2026-04-01,2026-04-01T10:32:00.000000,2026-04-01T11:34:00.000000,STOP,24270.0,24288.25,24279.12,18.25,24288.25,24268.75,24313.25,24338.25,24363.25,24313.25,19.5,117.0,true,true,false,2026-04-01T10:35:00.000000,2026-04-01T11:03:00.000000,,100.0,200.0,60.0,0.0,1.7094,true,false,false
340,LONG,2026-04-02T09:00:00.000000,2026-04-02,2026-04-02T09:51:00.000000,2026-04-02T10:01:00.000000,TP3,23908.25,24089.0,23998.62,180.75,24089.0,23907.0,24114.0,24139.0,24164.0,24164.0,182.0,1092.0,true,true,true,2026-04-02T09:51:00.000000,2026-04-02T09:54:00.000000,2026-04-02T10:01:00.000000,150.0,300.0,77.25,0.0,0.2747,true,false,false
355,LONG,2026-04-07T11:00:00.000000,2026-04-07,2026-04-07T11:21:00.000000,2026-04-07T11:35:00.000000,TP3,24133.0,24169.75,24151.38,36.75,24169.75,24131.75,24194.75,24219.75,24244.75,24244.75,38.0,228.0,true,true,true,2026-04-07T11:26:00.000000,2026-04-07T11:34:00.000000,2026-04-07T11:35:00.000000,150.0,300.0,102.0,0.0,1.3158,true,false,false
361,SHORT,2026-04-08T08:00:00.000000,2026-04-08,2026-04-08T10:03:00.000000,2026-04-08T10:32:00.000000,STOP,25105.0,25155.0,25130.0,50.0,25105.0,25156.25,25080.0,25055.0,25030.0,25105.0,51.25,307.5,true,false,false,2026-04-08T10:14:00.000000,,,25.0,50.0,43.25,11.0,0.1626,true,false,false
363,LONG,2026-04-09T10:00:00.000000,2026-04-09,2026-04-09T10:47:00.000000,2026-04-09T11:11:00.000000,TP3,25056.0,25161.75,25108.88,105.75,25161.75,25054.75,25186.75,25211.75,25236.75,25236.75,107.0,642.0,true,true,true,2026-04-09T10:50:00.000000,2026-04-09T10:52:00.000000,2026-04-09T11:11:00.000000,150.0,300.0,76.0,0.0,0.4673,true,false,false
371,LONG,2026-04-13T11:00:00.000000,2026-04-13,2026-04-13T11:09:00.000000,2026-04-13T12:27:00.000000,STOP,25355.0,25396.75,25375.88,41.75,25396.75,25353.75,25421.75,25446.75,25471.75,25396.75,43.0,258.0,true,false,false,2026-04-13T11:16:00.000000,,,25.0,50.0,42.75,0.75,0.1938,true,false,false
