side,trades,wins,losses,breakevens,win_rate,net_dollars,net_points_3_contracts,avg_dollars,avg_initial_risk_points,avg_r_multiple,tp1_pct,tp2_pct,tp3_pct,avg_mfe_points,avg_mae_points
LONG,51,41,10,0,80.39,8425.0,4212.5,165.2,46.93,1.252,80.39,70.59,35.29,57.83,6.8
SHORT,31,29,2,0,93.55,6292.0,3146.0,202.97,65.22,1.087,93.55,77.42,48.39,63.57,6.56
