direction,touched_fvgs,reject_25_count,reject_50_count,reject_75_count,reject_100_count,reject_25_pct,reject_50_pct,reject_75_pct,reject_100_pct,avg_mfe_points,avg_mae_points,avg_touch_depth_pct,pct_gt_15m_before_25,pct_gt_30m_before_25,pct_gt_60m_before_25,pct_gt_15m_before_50,pct_gt_30m_before_50,pct_gt_60m_before_50
bearish,210,181,145,123,109,86.19,69.05,58.57,51.9,111.08,279.77,7.09,17.14,10.95,5.71,29.52,16.19,8.1
bullish,255,213,165,134,114,83.53,64.71,52.55,44.71,108.59,259.47,10.12,20.0,9.41,2.35,36.08,24.31,16.47
