direction,trades_taken,wins,losses_or_breakeven,net_contract_points,net_profit_3_mnq_dollars,biggest_loss_contract_points,biggest_loss_dollars,win_rate_pct
bear,9,9,0,2228.625,4457.25,7.25,14.5,100.0
bull,21,17,4,2870.125,5740.25,-222.0,-444.0,80.95238095238095
