signal_id,signal_time,entry_time,exit_time,year,trade_date,side,fib_entry,target_r,entry_price,stop_price,target_price,risk_points,result,pnl_points,bars_held,mfe_points,mae_points,exit_reason,orb_high,orb_low,signal_open,signal_high,signal_low,signal_close,signal_volume,body_pct,bias15,ema200,vwap
5,2018-12-19T14:00:00.000000,2018-12-19T14:10:00.000000,2018-12-19T14:10:00.000000,2018,2018-12-19,SHORT,fib382,1.0,6371.5325,6398.75,6344.3150000000005,27.217499999999745,WIN,27.217499999999745,1,30.282500000000255,-21.467499999999745,target,6541.5,6493.0,6397.5,6398.75,6327.5,6329.0,18221.0,96.14035087719299,-1,6531.615292000761,6518.03042026268
5,2018-12-19T14:00:00.000000,2018-12-19T14:10:00.000000,2018-12-19T14:20:00.000000,2018,2018-12-19,SHORT,fib382,1.5,6371.5325,6398.75,6330.706250000001,27.217499999999745,WIN,40.82624999999962,3,44.032500000000255,-22.217499999999745,target,6541.5,6493.0,6397.5,6398.75,6327.5,6329.0,18221.0,96.14035087719299,-1,6531.615292000761,6518.03042026268
5,2018-12-19T14:00:00.000000,2018-12-19T14:10:00.000000,2018-12-19T17:20:00.000000,2018,2018-12-19,SHORT,fib382,2.0,6371.5325,6398.75,6317.097500000001,27.217499999999745,WIN,10.282500000000255,24,49.782500000000255,-22.217499999999745,time_exit,6541.5,6493.0,6397.5,6398.75,6327.5,6329.0,18221.0,96.14035087719299,-1,6531.615292000761,6518.03042026268
5,2018-12-19T14:00:00.000000,2018-12-19T14:05:00.000000,2018-12-19T14:05:00.000000,2018,2018-12-19,SHORT,fib50,1.0,6363.125,6398.75,6327.5,35.625,WIN,35.625,1,61.875,-3.625,target,6541.5,6493.0,6397.5,6398.75,6327.5,6329.0,18221.0,96.14035087719299,-1,6531.615292000761,6518.03042026268
5,2018-12-19T14:00:00.000000,2018-12-19T14:05:00.000000,2018-12-19T14:05:00.000000,2018,2018-12-19,SHORT,fib50,1.5,6363.125,6398.75,6309.6875,35.625,WIN,53.4375,1,61.875,-3.625,target,6541.5,6493.0,6397.5,6398.75,6327.5,6329.0,18221.0,96.14035087719299,-1,6531.615292000761,6518.03042026268
5,2018-12-19T14:00:00.000000,2018-12-19T14:05:00.000000,2018-12-19T17:15:00.000000,2018,2018-12-19,SHORT,fib50,2.0,6363.125,6398.75,6291.875,35.625,WIN,4.125,24,61.875,-30.625,time_exit,6541.5,6493.0,6397.5,6398.75,6327.5,6329.0,18221.0,96.14035087719299,-1,6531.615292000761,6518.03042026268
6,2019-05-06T14:55:00.000000,,,2019,2019-05-06,SHORT,fib382,1.0,7782.569,7809.5,7755.638000000001,26.930999999999585,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,7764.25,7750.5,7808.75,7809.5,7739.0,7739.0,2549.0,98.93617021276596,-1,7753.536002477784,7756.098312278509
6,2019-05-06T14:55:00.000000,,,2019,2019-05-06,SHORT,fib382,1.5,7782.569,7809.5,7742.172500000001,26.930999999999585,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,7764.25,7750.5,7808.75,7809.5,7739.0,7739.0,2549.0,98.93617021276596,-1,7753.536002477784,7756.098312278509
6,2019-05-06T14:55:00.000000,,,2019,2019-05-06,SHORT,fib382,2.0,7782.569,7809.5,7728.707000000001,26.930999999999585,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,7764.25,7750.5,7808.75,7809.5,7739.0,7739.0,2549.0,98.93617021276596,-1,7753.536002477784,7756.098312278509
6,2019-05-06T14:55:00.000000,,,2019,2019-05-06,SHORT,fib50,1.0,7774.25,7809.5,7739.0,35.25,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,7764.25,7750.5,7808.75,7809.5,7739.0,7739.0,2549.0,98.93617021276596,-1,7753.536002477784,7756.098312278509
6,2019-05-06T14:55:00.000000,,,2019,2019-05-06,SHORT,fib50,1.5,7774.25,7809.5,7721.375,35.25,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,7764.25,7750.5,7808.75,7809.5,7739.0,7739.0,2549.0,98.93617021276596,-1,7753.536002477784,7756.098312278509
6,2019-05-06T14:55:00.000000,,,2019,2019-05-06,SHORT,fib50,2.0,7774.25,7809.5,7703.75,35.25,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,7764.25,7750.5,7808.75,7809.5,7739.0,7739.0,2549.0,98.93617021276596,-1,7753.536002477784,7756.098312278509
8,2020-03-02T10:10:00.000000,2020-03-02T13:40:00.000000,2020-03-02T13:45:00.000000,2020,2020-03-02,LONG,fib382,1.0,8594.1865,8565.25,8623.123,28.936499999999796,WIN,28.936499999999796,2,33.063500000000204,-20.936499999999796,target,8596.0,8485.0,8566.75,8641.0,8565.25,8636.25,15367.0,91.74917491749174,1,8478.506862949485,8521.488631844777
8,2020-03-02T10:10:00.000000,2020-03-02T13:40:00.000000,2020-03-02T13:50:00.000000,2020,2020-03-02,LONG,fib382,1.5,8594.1865,8565.25,8637.59125,28.936499999999796,WIN,43.404749999999694,3,51.563500000000204,-20.936499999999796,target,8596.0,8485.0,8566.75,8641.0,8565.25,8636.25,15367.0,91.74917491749174,1,8478.506862949485,8521.488631844777
8,2020-03-02T10:10:00.000000,2020-03-02T13:40:00.000000,2020-03-02T14:05:00.000000,2020,2020-03-02,LONG,fib382,2.0,8594.1865,8565.25,8652.0595,28.936499999999796,WIN,57.87299999999959,6,78.3135000000002,-20.936499999999796,target,8596.0,8485.0,8566.75,8641.0,8565.25,8636.25,15367.0,91.74917491749174,1,8478.506862949485,8521.488631844777
8,2020-03-02T10:10:00.000000,2020-03-02T13:40:00.000000,2020-03-02T13:50:00.000000,2020,2020-03-02,LONG,fib50,1.0,8603.125,8565.25,8641.0,37.875,WIN,37.875,3,42.625,-29.875,target,8596.0,8485.0,8566.75,8641.0,8565.25,8636.25,15367.0,91.74917491749174,1,8478.506862949485,8521.488631844777
8,2020-03-02T10:10:00.000000,2020-03-02T13:40:00.000000,2020-03-02T14:05:00.000000,2020,2020-03-02,LONG,fib50,1.5,8603.125,8565.25,8659.9375,37.875,WIN,56.8125,6,69.375,-29.875,target,8596.0,8485.0,8566.75,8641.0,8565.25,8636.25,15367.0,91.74917491749174,1,8478.506862949485,8521.488631844777
