year,fib_entry,target_r,side,trades,wins,losses,win_rate,net_points,avg_points,gross_wins,gross_losses,avg_risk,avg_mfe,avg_mae,profit_factor
2026,fib382,1.0,LONG,2,1,1,50.0,4.3,2.15,30.37,26.07,28.22,39.53,-29.47,1.16
2026,fib382,1.0,SHORT,4,4,0,100.0,117.08,29.27,117.08,0.0,29.27,64.6,-9.21,
2026,fib382,1.5,LONG,2,1,1,50.0,19.48,9.74,45.55,26.07,28.22,43.9,-29.47,1.75
2026,fib382,1.5,SHORT,4,4,0,100.0,175.62,43.91,175.62,0.0,29.27,68.98,-9.21,
2026,fib382,2.0,LONG,2,1,1,50.0,34.67,17.33,60.74,26.07,28.22,50.9,-29.47,2.33
2026,fib382,2.0,SHORT,4,4,0,100.0,189.13,47.28,189.13,0.0,29.27,73.29,-9.21,
2026,fib50,1.0,LONG,2,1,1,50.0,5.62,2.81,39.75,34.12,36.94,39.31,-23.06,1.17
2026,fib50,1.0,SHORT,4,4,0,100.0,153.25,38.31,153.25,0.0,38.31,65.69,-13.06,
2026,fib50,1.5,LONG,2,1,1,50.0,25.5,12.75,59.62,34.12,36.94,55.19,-23.06,1.75
2026,fib50,1.5,SHORT,4,4,0,100.0,188.12,47.03,188.12,0.0,38.31,74.69,-13.06,
2026,fib50,2.0,LONG,2,1,1,50.0,45.38,22.69,79.5,34.12,36.94,62.81,-23.06,2.33
2026,fib50,2.0,SHORT,4,4,0,100.0,245.0,61.25,245.0,0.0,38.31,74.69,-13.06,
