ts,symbol,open,high,low,close,volume,vwap_day,atr14
2022-01-19T00:09:00.000000,NQH2,15205.5,15207.0,15203.0,15203.0,42,15203.71198613175,6.589285714285714
2022-02-02T00:45:00.000000,NQH2,15127.25,15130.0,15126.75,15129.5,63,15129.268632092388,2.4107142857142856
2022-02-02T19:50:00.000000,NQH2,15114.5,15127.0,15108.75,15109.75,1126,15093.622085348032,14.535714285714286
2022-05-11T22:32:00.000000,NQM2,11968.25,11974.0,11968.25,11970.75,92,12226.51069363505,7.035714285714286
2022-09-16T02:52:00.000000,NQZ2,11909.5,11911.5,11909.0,11910.25,38,11916.464762681419,2.3035714285714284
2022-09-21T22:16:00.000000,NQZ2,11660.25,11660.25,11655.25,11655.5,75,11919.79954583892,4.875
2022-10-19T20:29:00.000000,NQZ2,11138.0,11143.75,11137.75,11143.75,222,11174.039416131893,5.339285714285714
2022-10-27T22:42:00.000000,NQZ2,11166.75,11169.75,11166.5,11168.25,63,11317.661637434838,4.625
2022-10-31T15:01:00.000000,NQZ2,11415.5,11425.25,11410.75,11424.25,1259,11467.677904760483,11.642857142857142
2022-11-25T07:29:00.000000,NQZ2,11911.75,11915.0,11910.75,11912.25,86,11908.719259818728,2.9642857142857144
2022-12-20T07:32:00.000000,NQH3,11102.25,11108.25,11102.25,11107.75,93,11115.276164926463,4.125
2023-01-11T17:06:00.000000,NQH3,11385.75,11386.5,11382.0,11385.5,409,11330.868206462095,5.214285714285714
2023-01-19T02:26:00.000000,NQH3,11450.75,11450.75,11449.75,11450.5,11,11459.943643434553,2.0357142857142856
2023-02-06T14:43:00.000000,NQH3,12546.0,12550.25,12517.75,12527.0,2137,12531.007600440555,20.410714285714285
2023-02-15T12:06:00.000000,NQH3,12582.5,12586.75,12582.5,12586.25,146,12565.622758784277,4.303571428571429
2023-03-08T00:24:00.000000,NQH3,12166.5,12166.5,12163.75,12164.75,91,12165.402617398,3.8035714285714284
2023-04-20T08:37:00.000000,NQM3,13054.5,13054.5,13043.75,13044.5,464,13106.480183109194,4.375
2023-05-01T13:01:00.000000,NQM3,13301.25,13303.25,13299.5,13303.25,127,13318.35826794144,2.7857142857142856
2023-05-24T13:03:00.000000,NQM3,13644.75,13644.75,13640.5,13641.25,216,13701.995701733687,3.642857142857143
2023-06-20T09:35:00.000000,NQU3,15180.0,15183.0,15179.25,15183.0,93,15220.177787684373,4.071428571428571
2023-10-23T03:27:00.000000,NQZ3,14698.25,14698.5,14696.25,14696.75,27,14700.26996779896,1.7678571428571428
2023-11-30T03:34:00.000000,NQZ3,16048.5,16049.25,16048.5,16049.25,12,16047.017005858768,1.2142857142857142
2023-12-20T00:39:00.000000,NQH4,17035.25,17036.5,17034.75,17036.5,87,17033.95294156444,1.2321428571428572
2023-12-29T17:39:00.000000,NQH4,16971.0,16971.25,16968.75,16968.75,294,17035.127925862907,6.178571428571429
2024-01-10T01:15:00.000000,NQH4,16828.75,16831.5,16827.25,16831.5,90,16840.970006016847,2.8392857142857144
2024-05-09T14:42:00.000000,NQM4,18207.0,18207.25,18195.75,18196.0,2002,18159.87709370489,9.964285714285714
2024-06-06T03:03:00.000000,NQM4,19097.5,19102.5,19097.5,19101.25,88,19089.32020236472,1.8928571428571428
2024-07-31T15:53:00.000000,NQU4,19468.0,19477.25,19467.25,19472.75,815,19349.19639303694,12.267857142857142
2024-08-13T14:45:00.000000,NQU4,18904.0,18909.75,18899.5,18909.75,855,18816.291182974015,12.946428571428571
2024-08-15T18:18:00.000000,NQU4,19573.75,19577.0,19572.5,19575.75,416,19414.759505807793,7.928571428571429
2024-09-30T12:54:00.000000,NQZ4,20174.5,20176.0,20173.25,20175.0,145,20191.38149289918,5.767857142857143
2024-10-01T05:51:00.000000,NQZ4,20264.75,20266.0,20262.25,20263.5,59,20278.72760671798,6.517857142857143
2025-02-13T20:18:00.000000,NQH5,22081.25,22088.0,22080.25,22087.75,511,21942.369954414906,6.267857142857143
2025-07-25T16:58:00.000000,NQU5,23458.0,23458.5,23455.0,23455.25,419,23400.74646040164,4.678571428571429
2025-09-16T02:56:00.000000,NQZ5,24570.25,24570.25,24568.0,24569.75,39,24554.33271768423,1.6428571428571428
2025-10-31T17:50:00.000000,NQZ5,25963.25,25972.0,25960.25,25971.25,1045,26088.330304708194,15.857142857142858
2025-12-19T06:35:00.000000,NQH6,25281.75,25287.25,25281.75,25286.0,52,25267.155782370533,5.571428571428571
2026-01-27T05:40:00.000000,NQH6,25985.25,25988.5,25984.0,25988.0,34,25948.663318244235,2.9642857142857144
2026-01-30T16:28:00.000000,NQH6,25790.5,25798.5,25786.0,25798.0,1053,25841.211749175684,22.553571428571427
2026-02-18T15:38:00.000000,NQH6,25046.25,25051.75,25041.75,25051.5,484,24891.77127883246,15.464285714285714
