ts,symbol,close,prev_symbol,prev_close,gap_minutes,close_change,symbol_changed
2018-01-02T21:30:00.000000,NQH8,6515.5,NQH8,6514.0,16.0,1.5,false
2018-01-02T23:00:00.000000,NQH8,6513.5,NQH8,6515.25,61.0,-1.75,false
2018-01-03T21:30:00.000000,NQH8,6584.5,NQH8,6583.0,16.0,1.5,false
2018-01-03T23:00:00.000000,NQH8,6584.75,NQH8,6583.75,61.0,1.0,false
2018-01-04T21:30:00.000000,NQH8,6605.25,NQH8,6604.0,16.0,1.25,false
2018-01-04T23:00:00.000000,NQH8,6607.25,NQH8,6606.75,61.0,0.5,false
2018-01-05T21:30:00.000000,NQH8,6668.25,NQH8,6668.25,16.0,0.0,false
2018-01-07T23:00:00.000000,NQH8,6672.75,NQH8,6665.75,2941.0,7.0,false
2018-01-08T21:30:00.000000,NQH8,6689.5,NQH8,6688.25,16.0,1.25,false
2018-01-08T23:00:00.000000,NQH8,6688.5,NQH8,6689.0,61.0,-0.5,false
2018-01-09T21:30:00.000000,NQH8,6684.75,NQH8,6687.0,16.0,-2.25,false
2018-01-09T23:00:00.000000,NQH8,6679.0,NQH8,6680.75,61.0,-1.75,false
2018-01-10T21:30:00.000000,NQH8,6676.0,NQH8,6677.25,16.0,-1.25,false
2018-01-10T23:00:00.000000,NQH8,6673.75,NQH8,6676.25,61.0,-2.5,false
2018-01-11T21:30:00.000000,NQH8,6726.75,NQH8,6726.75,16.0,0.0,false
2018-01-11T23:00:00.000000,NQH8,6724.0,NQH8,6723.5,61.0,0.5,false
2018-01-12T21:30:00.000000,NQH8,6776.25,NQH8,6774.75,16.0,1.5,false
2018-01-14T23:00:00.000000,NQH8,6785.75,NQH8,6772.0,2941.0,13.75,false
2018-01-15T23:00:00.000000,NQH8,6782.5,NQH8,6780.25,301.0,2.25,false
2018-01-16T21:30:00.000000,NQH8,6763.75,NQH8,6763.25,16.0,0.5,false
2018-01-16T23:00:00.000000,NQH8,6761.75,NQH8,6761.0,61.0,0.75,false
2018-01-17T21:30:00.000000,NQH8,6824.5,NQH8,6824.5,16.0,0.0,false
2018-01-17T23:00:00.000000,NQH8,6820.0,NQH8,6819.5,61.0,0.5,false
2018-01-18T21:30:00.000000,NQH8,6814.25,NQH8,6812.25,16.0,2.0,false
2018-01-18T23:00:00.000000,NQH8,6822.0,NQH8,6816.0,61.0,6.0,false
2018-01-19T21:30:00.000000,NQH8,6845.5,NQH8,6845.75,16.0,-0.25,false
2018-01-21T23:00:00.000000,NQH8,6825.0,NQH8,6850.0,2941.0,-25.0,false
2018-01-22T21:30:00.000000,NQH8,6934.75,NQH8,6931.0,16.0,3.75,false
2018-01-22T23:00:00.000000,NQH8,6930.5,NQH8,6931.75,61.0,-1.25,false
2018-01-23T21:30:00.000000,NQH8,6964.5,NQH8,6965.5,16.0,-1.0,false
2018-01-23T23:00:00.000000,NQH8,6957.25,NQH8,6960.0,61.0,-2.75,false
2018-01-24T21:30:00.000000,NQH8,6932.75,NQH8,6932.5,16.0,0.25,false
2018-01-24T23:00:00.000000,NQH8,6931.0,NQH8,6935.75,61.0,-4.75,false
2018-01-25T21:30:00.000000,NQH8,6933.25,NQH8,6930.75,16.0,2.5,false
2018-01-25T23:00:00.000000,NQH8,6936.75,NQH8,6938.5,61.0,-1.75,false
2018-01-26T21:30:00.000000,NQH8,7029.0,NQH8,7029.75,16.0,-0.75,false
2018-01-28T23:00:00.000000,NQH8,7032.0,NQH8,7031.5,2941.0,0.5,false
