direction,total_fvgs,trades_taken,wins,losses_or_breakeven,tp1_hits,tp2_hits,tp3_hits,gross_profit_contract_points,gross_loss_contract_points,net_contract_points,net_profit_3_mnq_dollars,win_rate_pct,profit_factor
bear,64,64,60,4,60,51,40,7175.5,1539.0,5636.5,11273.0,93.75,4.662443144899285
bull,85,81,73,12,71,62,55,9061.5,638.25,8423.25,16846.5,90.12345679012346,14.197414806110459
