signal_time,hour,minute,stage1_lower_wick_pct,stage1_range_expansion,stage2_body_pct,stage2_lower_wick_pct,dist_pdh,dist_vwap
2018-01-25T13:49:00.000000,13,49,0.5161290322580645,1.901840490797546,0.8275862068965517,0.034482758620689655,-82.25,-25.027417917806815
2018-01-25T13:53:00.000000,13,53,0.32142857142857145,1.4177215189873418,0.46153846153846156,0.07692307692307693,-93.5,-35.84846788852519
2018-01-25T14:41:00.000000,14,41,0.42857142857142855,1.381578947368421,0.875,0.041666666666666664,-85.5,-25.024198403265473
2018-01-29T21:59:00.000000,21,59,0.5666666666666667,2.0202020202020203,0.8125,0.125,-90.75,-26.56385233455694
2018-01-29T22:16:00.000000,22,16,0.5454545454545454,1.981981981981982,0.7714285714285715,0.14285714285714285,-112.25,-37.779140886978894
2018-01-29T23:38:00.000000,23,38,0.23076923076923078,1.8181818181818181,0.46153846153846156,0.0,-103.75,-21.99934392265186
2018-01-29T23:55:00.000000,23,55,0.25,1.3008130081300813,0.5,0.0,-104.25,-22.105758479314318
2018-02-01T08:11:00.000000,8,11,0.5142857142857142,1.8766756032171583,0.5,0.0,-82.5,-39.2500802063978
2018-02-01T15:06:00.000000,15,6,0.2191780821917808,2.3856209150326797,0.8,0.08888888888888889,-85.0,-34.27287191598316
2018-02-02T03:16:00.000000,3,16,0.21052631578947367,1.4022140221402213,0.6363636363636364,0.09090909090909091,-96.5,-33.0876570028131
2018-02-02T03:46:00.000000,3,46,0.68,1.9455252918287937,0.6,0.0,-110.25,-41.03018566483479
2018-02-02T04:02:00.000000,4,2,0.3684210526315789,1.3669064748201438,0.75,0.0,-118.25,-46.83865584070554
2018-02-02T04:11:00.000000,4,11,0.2916666666666667,1.8532818532818534,0.5,0.1,-122.25,-49.2548739364438
2018-02-02T05:04:00.000000,5,4,0.7777777777777778,1.3333333333333333,0.8235294117647058,0.058823529411764705,-120.5,-40.590670959384624
2018-02-02T05:37:00.000000,5,37,0.8181818181818182,2.1463414634146343,0.8333333333333334,0.08333333333333333,-137.5,-53.33882095919034
2018-02-02T05:57:00.000000,5,57,0.8181818181818182,1.4965986394557824,0.75,0.0,-138.5,-51.193598007617766
2018-02-02T06:01:00.000000,6,1,0.6875,1.8823529411764706,0.8,0.0,-138.75,-50.88680248007131
2018-02-02T06:35:00.000000,6,35,0.6153846153846154,1.3829787234042552,0.5,0.14285714285714285,-119.75,-28.684146827446966
2018-02-02T06:41:00.000000,6,41,0.2857142857142857,1.5469613259668507,0.8333333333333334,0.0,-117.75,-26.281046844776938
2018-02-02T07:37:00.000000,7,37,0.23076923076923078,2.047244094488189,0.7931034482758621,0.10344827586206896,-120.0,-23.505479129315063
2018-02-02T08:25:00.000000,8,25,0.25,1.8122977346278317,0.6666666666666666,0.09523809523809523,-120.25,-20.46424411780663
2018-02-02T09:06:00.000000,9,6,0.4,1.6371077762619373,0.8723404255319149,0.02127659574468085,-168.5,-53.5304458069304
2018-02-02T12:21:00.000000,12,21,0.22580645161290322,1.7270194986072425,0.5,0.16666666666666666,-161.5,-32.706287168130984
2018-02-02T12:29:00.000000,12,29,0.46153846153846156,1.2871287128712872,0.7727272727272727,0.045454545454545456,-160.25,-30.54896925968569
