year,trades,wins,losses,net_points,avg_trade,winrate
2018,522,212,310,373.0,0.71,40.61
2019,362,138,224,291.5,0.81,38.12
2020,956,371,585,616.75,0.65,38.81
2021,1007,364,643,-396.25,-0.39,36.15
2022,1382,552,830,1610.0,1.16,39.94
2023,931,321,610,-607.5,-0.65,34.48
2024,1014,377,637,137.75,0.14,37.18
2025,1227,475,752,781.25,0.64,38.71
2026,498,229,269,1359.75,2.73,45.98
