timeframe,fvg_ts,year,month,symbol,direction,displacement,gap_width,gap_low,gap_high,gap_mid,touched_10d,touch_ts,reclaimed_after_touch,reclaim_ts,width_ge_5,width_ge_10,width_ge_20,width_ge_30,width_ge_50
4h,2026-01-01T20:00:00.000000,2026,1,NQH6,bear,false,28.0,25504.0,25532.0,25518.0,true,2026-01-01T23:46:00.000000,true,2026-01-01T23:46:00.000000,true,true,true,false,false
4h,2026-01-02T04:00:00.000000,2026,1,NQH6,bull,false,108.5,25504.0,25612.5,25558.25,true,2026-01-02T05:05:00.000000,true,2026-01-02T05:05:00.000000,true,true,true,true,true
4h,2026-01-02T08:00:00.000000,2026,1,NQH6,bull,false,11.25,25625.75,25637.0,25631.375,true,2026-01-02T15:12:00.000000,true,2026-01-05T14:25:00.000000,true,true,false,false,false
4h,2026-01-02T16:00:00.000000,2026,1,NQH6,bear,false,180.0,25457.0,25637.0,25547.0,true,2026-01-02T19:40:00.000000,true,2026-01-02T19:40:00.000000,true,true,true,true,true
4h,2026-01-05T12:00:00.000000,2026,1,NQH6,bull,true,11.25,25509.0,25520.25,25514.625,true,2026-01-05T13:22:00.000000,true,2026-01-05T13:22:00.000000,true,true,false,false,false
4h,2026-01-06T04:00:00.000000,2026,1,NQH6,bull,false,7.5,25613.0,25620.5,25616.75,true,2026-01-06T08:09:00.000000,true,2026-01-06T08:09:00.000000,true,false,false,false,false
4h,2026-01-06T20:00:00.000000,2026,1,NQH6,bull,false,22.25,25779.0,25801.25,25790.125,true,2026-01-06T20:06:00.000000,true,2026-01-06T20:06:00.000000,true,true,true,false,false
4h,2026-01-07T08:00:00.000000,2026,1,NQH6,bear,false,8.75,25788.0,25796.75,25792.375,true,2026-01-07T08:22:00.000000,true,2026-01-07T08:22:00.000000,true,false,false,false,false
4h,2026-01-07T16:00:00.000000,2026,1,NQH6,bull,false,91.25,25788.0,25879.25,25833.625,true,2026-01-07T16:29:00.000000,true,2026-01-07T16:29:00.000000,true,true,true,true,true
4h,2026-01-08T00:00:00.000000,2026,1,NQH6,bear,false,34.75,25844.5,25879.25,25861.875,true,2026-01-08T01:00:00.000000,true,2026-01-08T01:00:00.000000,true,true,true,true,false
