signal_time,entry_time,trade_date,year,month,hour,minute,side,entry_price,stop_price,target_price,risk_points,result_points,result_rr,exit_reason,bars_held,fill_bars,mfe_points,mae_points,signal_high,signal_low,signal_close,range_expansion,rel_volume,day_of_week
2022-09-02T10:37:00.000000,2022-09-02T10:38:00.000000,2022-09-02,2022,2022-09,10,38,short,12268.88,12277.25,12252.12,8.38,-8.38,-1.0,stop_same_bar,1,1,17.62,-8.62,12275.25,12249.75,12252.25,1.562,1.5578,5
2022-09-08T10:07:00.000000,2022-09-08T10:08:00.000000,2022-09-08,2022,2022-09,10,8,short,12199.06,12208.75,12179.69,9.69,-9.69,-1.0,stop,1,1,13.56,-9.69,12206.75,12176.0,12185.5,2.2083,2.6655,4
2022-12-01T08:37:00.000000,2022-12-01T08:38:00.000000,2022-12-01,2022,2022-12,8,38,short,12084.56,12092.75,12068.19,8.19,-8.19,-1.0,stop_same_bar,2,1,26.06,-9.94,12090.75,12066.0,12071.25,1.988,1.6307,4
2025-07-16T08:58:00.000000,2025-07-16T08:59:00.000000,2025-07-16,2025,2025-07,8,59,short,22985.12,22994.5,22966.38,9.38,-9.38,-1.0,stop_same_bar,1,1,19.38,-9.62,22992.5,22963.0,22966.75,1.5157,1.3089,3
