hour,trades,wins,losses,net_points,avg_trade,avg_risk,avg_mfe,avg_mae,winrate
8,28,26,2,584.45,20.87,11.38,29.53,-4.27,92.86
10,20,18,2,335.7,16.78,9.75,24.66,-4.0,90.0
