stage,signal_time,entry_time,date,entry,signal_high,signal_low,signal_close,retrace_fill_bars,stop,target,exit_price,exit_time,outcome,risk_points,pnl_points,rr,mfe,mae
step1_2_deep_retrace,2025-06-25 09:32:00,2025-06-25 09:35:00,2025-06-25,22448.5,22455.0,22429.0,22430.75,3,22457.0,22431.5,22457.0,2025-06-25 09:37:00,loss,8.5,-8.5,-1.0,14.75,-10.25
step1_2_deep_retrace,2025-06-25 10:20:00,2025-06-25 10:22:00,2025-06-25,22432.19,22435.5,22422.25,22424.75,2,22437.5,22421.56,22437.5,2025-06-25 10:23:00,loss,5.31,-5.31,-1.0,7.69,-6.06
step1_2_deep_retrace,2025-06-27 11:23:00,2025-06-27 11:24:00,2025-06-27,22774.62,22777.0,22767.5,22769.5,1,22779.0,22765.88,22765.88,2025-06-27 11:30:00,win,4.38,8.75,2.0,9.12,-3.38
step1_2_deep_retrace,2025-07-01 08:58:00,2025-07-01 09:00:00,2025-07-01,22691.94,22697.75,22674.5,22676.0,2,22699.75,22676.31,22676.31,2025-07-01 09:00:00,win,7.81,15.62,2.0,15.94,-0.56
step1_2_deep_retrace,2025-07-03 10:51:00,2025-07-03 10:55:00,2025-07-03,23055.25,23058.0,23047.0,23048.25,4,23060.0,23045.75,23060.0,2025-07-03 10:56:00,loss,4.75,-4.75,-1.0,6.75,-7.25
step1_2_deep_retrace,2025-07-03 10:59:00,2025-07-03 11:00:00,2025-07-03,23068.19,23072.0,23056.75,23056.75,1,23074.0,23056.56,23056.56,2025-07-03 11:00:00,win,5.81,11.62,2.0,13.44,-2.56
step1_2_deep_retrace,2025-07-07 08:56:00,2025-07-07 09:01:00,2025-07-07,22903.94,22909.0,22888.75,22891.0,5,22911.0,22889.81,22911.0,2025-07-07 09:02:00,loss,7.06,-7.06,-1.0,10.94,-12.56
step1_2_deep_retrace,2025-07-09 08:36:00,2025-07-09 08:37:00,2025-07-09,22985.38,22993.0,22962.5,22971.25,1,22995.0,22966.12,22995.0,2025-07-09 08:38:00,loss,9.62,-9.62,-1.0,17.62,-13.12
step1_2_deep_retrace,2025-07-10 09:13:00,2025-07-10 09:15:00,2025-07-10,22956.75,22961.5,22942.5,22943.5,2,22963.5,22943.25,22963.5,2025-07-10 09:16:00,loss,6.75,-6.75,-1.0,3.75,-8.5
step1_2_deep_retrace,2025-07-11 09:14:00,2025-07-11 09:19:00,2025-07-11,22933.69,22940.25,22914.0,22915.75,5,22942.25,22916.56,22942.25,2025-07-11 09:20:00,loss,8.56,-8.56,-1.0,9.94,-18.81
step1_2_deep_retrace,2025-07-15 08:43:00,2025-07-15 08:45:00,2025-07-15,23147.81,23153.25,23131.5,23132.0,2,23155.25,23132.94,23155.25,2025-07-15 08:46:00,loss,7.44,-7.44,-1.0,9.31,-10.69
step1_2_deep_retrace,2025-07-15 09:14:00,2025-07-15 09:17:00,2025-07-15,23139.44,23144.0,23125.75,23126.5,3,23146.0,23126.31,23146.0,2025-07-15 09:20:00,loss,6.56,-6.56,-1.0,11.19,-6.81
step1_2_deep_retrace,2025-07-15 10:56:00,2025-07-15 11:00:00,2025-07-15,23119.69,23126.0,23100.75,23106.0,4,23128.0,23103.06,23103.06,2025-07-15 11:00:00,win,8.31,16.62,2.0,23.69,-1.31
step1_2_deep_retrace,2025-07-16 08:58:00,2025-07-16 08:59:00,2025-07-16,22985.12,22992.5,22963.0,22966.75,1,22994.5,22966.38,22994.5,2025-07-16 08:59:00,loss,9.38,-9.38,-1.0,19.38,-9.62
step1_2_deep_retrace,2025-07-18 11:01:00,2025-07-18 11:04:00,2025-07-18,23185.12,23188.75,23174.25,23175.25,3,23190.75,23173.88,23190.75,2025-07-18 11:05:00,loss,5.62,-5.62,-1.0,5.38,-8.38
step1_2_deep_retrace,2025-07-18 11:10:00,2025-07-18 11:12:00,2025-07-18,23186.81,23191.0,23174.25,23177.0,2,23193.0,23174.44,23193.0,2025-07-18 11:12:00,loss,6.19,-6.19,-1.0,4.31,-8.19
step1_2_deep_retrace,2025-07-23 08:34:00,2025-07-23 08:35:00,2025-07-23,23163.06,23167.25,23150.5,23151.25,1,23169.25,23150.69,23150.69,2025-07-23 08:35:00,win,6.19,12.38,2.0,12.56,-4.19
step1_2_deep_retrace,2025-07-29 09:31:00,2025-07-29 09:32:00,2025-07-29,23469.88,23474.75,23455.25,23455.75,1,23476.75,23456.12,23476.75,2025-07-29 09:32:00,loss,6.88,-6.88,-1.0,16.38,-9.12
step1_2_deep_retrace,2025-08-05 08:48:00,2025-08-05 08:53:00,2025-08-05,23167.75,23177.0,23140.0,23142.5,5,23179.0,23145.25,23179.0,2025-08-05 08:53:00,loss,11.25,-11.25,-1.0,3.75,-12.25
step1_2_deep_retrace,2025-08-07 08:30:00,2025-08-07 08:32:00,2025-08-07,23569.12,23577.5,23544.0,23549.5,2,23579.5,23548.38,23548.38,2025-08-07 08:32:00,win,10.38,20.75,2.0,24.88,-1.38
step1_2_deep_retrace,2025-08-07 08:55:00,2025-08-07 09:00:00,2025-08-07,23544.56,23552.75,23520.0,23520.5,5,23554.75,23524.19,23554.75,2025-08-07 09:00:00,loss,10.19,-10.19,-1.0,9.31,-12.69
step1_2_deep_retrace,2025-08-07 09:15:00,2025-08-07 09:16:00,2025-08-07,23522.38,23529.0,23502.5,23505.75,1,23531.0,23505.12,23531.0,2025-08-07 09:16:00,loss,8.62,-8.62,-1.0,18.38,-12.62
step1_2_deep_retrace,2025-08-07 10:46:00,2025-08-07 10:48:00,2025-08-07,23410.81,23417.75,23390.0,23391.25,2,23419.75,23392.94,23419.75,2025-08-07 10:49:00,loss,8.94,-8.94,-1.0,12.56,-18.69
step1_2_deep_retrace,2025-08-08 11:01:00,2025-08-08 11:03:00,2025-08-08,23670.19,23673.75,23659.5,23662.0,2,23675.75,23659.06,23675.75,2025-08-08 11:04:00,loss,5.56,-5.56,-1.0,6.94,-11.81
step1_2_deep_retrace,2025-08-13 08:31:00,2025-08-13 08:32:00,2025-08-13,23962.94,23968.5,23946.25,23947.25,1,23970.5,23947.81,23947.81,2025-08-13 08:32:00,win,7.56,15.12,2.0,16.94,-0.81
step1_2_deep_retrace,2025-08-13 10:50:00,2025-08-13 10:51:00,2025-08-13,23899.12,23903.5,23886.0,23889.75,1,23905.5,23886.38,23905.5,2025-08-13 10:52:00,loss,6.38,-6.38,-1.0,9.38,-8.38
step1_2_deep_retrace,2025-08-14 10:14:00,2025-08-14 10:15:00,2025-08-14,23879.75,23884.75,23864.75,23867.0,1,23886.75,23865.75,23865.75,2025-08-14 10:15:00,win,7.0,14.0,2.0,15.0,-2.25
step1_2_deep_retrace,2025-08-14 10:36:00,2025-08-14 10:39:00,2025-08-14,23909.69,23915.0,23893.75,23896.5,3,23917.0,23895.06,23895.06,2025-08-14 10:42:00,win,7.31,14.62,2.0,21.69,-3.31
step1_2_deep_retrace,2025-08-14 10:42:00,2025-08-14 10:44:00,2025-08-14,23902.81,23907.75,23888.0,23889.5,2,23909.75,23888.94,23909.75,2025-08-14 10:46:00,loss,6.94,-6.94,-1.0,6.06,-11.19
step1_2_deep_retrace,2025-08-18 08:46:00,2025-08-18 08:49:00,2025-08-18,23744.62,23749.75,23729.25,23730.5,3,23751.75,23730.38,23751.75,2025-08-18 08:50:00,loss,7.12,-7.12,-1.0,8.62,-14.38
step1_2_deep_retrace,2025-08-20 08:46:00,2025-08-20 08:47:00,2025-08-20,23074.44,23085.0,23042.75,23051.0,1,23087.0,23049.31,23087.0,2025-08-20 08:48:00,loss,12.56,-12.56,-1.0,23.69,-12.56
