year,trades,wins,losses,net_points,avg_trade,winrate
2018,707,279,428,158.25,0.22,39.46
2019,483,191,292,548.5,1.14,39.54
2020,1357,538,819,442.0,0.33,39.65
2021,1389,532,857,-90.5,-0.07,38.3
2022,2024,791,1233,1330.5,0.66,39.08
2023,1311,454,857,-761.75,-0.58,34.63
2024,1453,569,884,693.5,0.48,39.16
2025,1831,727,1104,400.0,0.22,39.71
2026,724,312,412,1014.75,1.4,43.09
