fvg_ts,fvg_available_ts,direction,gap_low,gap_high,touch_found,skip_reason
2026-02-09T16:00:00.000000,2026-02-09T20:00:00.000000,LONG,25215.25,25305.75,false,no_first_touch_in_entry_window
2026-02-12T08:00:00.000000,2026-02-12T12:00:00.000000,LONG,25320.75,25324.75,false,no_first_touch_in_entry_window
2026-02-12T16:00:00.000000,2026-02-12T20:00:00.000000,SHORT,25031.75,25324.75,false,no_first_touch_in_entry_window
2026-02-12T20:00:00.000000,2026-02-13T00:00:00.000000,SHORT,24912.75,25006.5,false,no_first_touch_in_entry_window
2026-02-16T16:00:00.000000,2026-02-16T20:00:00.000000,SHORT,24770.75,24841.0,false,no_first_touch_in_entry_window
2026-02-17T04:00:00.000000,2026-02-17T08:00:00.000000,SHORT,24663.75,24739.0,false,no_first_touch_in_entry_window
2026-02-18T08:00:00.000000,2026-02-18T12:00:00.000000,LONG,24798.75,24833.5,false,no_first_touch_in_entry_window
2026-02-23T00:00:00.000000,2026-02-23T04:00:00.000000,SHORT,24971.0,25014.25,false,no_first_touch_in_entry_window
2026-02-23T04:00:00.000000,2026-02-23T08:00:00.000000,SHORT,24914.75,24936.5,false,no_first_touch_in_entry_window
2026-02-23T16:00:00.000000,2026-02-23T20:00:00.000000,SHORT,24820.25,24877.5,false,no_first_touch_in_entry_window
2026-02-24T16:00:00.000000,2026-02-24T20:00:00.000000,LONG,24865.5,24969.25,false,no_first_touch_in_entry_window
2026-02-25T12:00:00.000000,2026-02-25T16:00:00.000000,LONG,25067.75,25105.0,false,no_first_touch_in_entry_window
2026-02-25T16:00:00.000000,2026-02-25T20:00:00.000000,LONG,25128.5,25282.75,false,no_first_touch_in_entry_window
2026-02-26T08:00:00.000000,2026-02-26T12:00:00.000000,LONG,25341.5,25343.25,false,no_first_touch_in_entry_window
2026-02-26T16:00:00.000000,2026-02-26T20:00:00.000000,SHORT,25099.0,25343.25,false,no_first_touch_in_entry_window
2026-03-01T20:00:00.000000,2026-03-02T00:00:00.000000,SHORT,24815.0,24873.0,false,no_first_touch_in_entry_window
2026-03-02T16:00:00.000000,2026-03-02T20:00:00.000000,LONG,24729.0,24852.0,false,no_first_touch_in_entry_window
2026-03-03T04:00:00.000000,2026-03-03T08:00:00.000000,SHORT,24864.0,24944.25,false,no_first_touch_in_entry_window
2026-03-03T08:00:00.000000,2026-03-03T12:00:00.000000,SHORT,24694.5,24804.25,false,no_first_touch_in_entry_window
2026-03-03T12:00:00.000000,2026-03-03T16:00:00.000000,SHORT,24661.25,24668.5,false,no_first_touch_in_entry_window
2026-03-03T20:00:00.000000,2026-03-04T00:00:00.000000,LONG,24661.25,24669.75,false,no_first_touch_in_entry_window
2026-03-04T12:00:00.000000,2026-03-04T16:00:00.000000,LONG,24677.75,24720.5,false,no_first_touch_in_entry_window
2026-03-04T16:00:00.000000,2026-03-04T20:00:00.000000,LONG,24895.0,25051.0,false,no_first_touch_in_entry_window
2026-03-06T04:00:00.000000,2026-03-06T08:00:00.000000,LONG,25070.0,25091.75,false,no_first_touch_in_entry_window
2026-03-06T12:00:00.000000,2026-03-06T16:00:00.000000,SHORT,24908.75,25091.75,false,no_first_touch_in_entry_window
2026-03-08T20:00:00.000000,2026-03-09T00:00:00.000000,SHORT,24473.0,24744.25,false,no_first_touch_in_entry_window
2026-03-09T00:00:00.000000,2026-03-09T04:00:00.000000,SHORT,24238.75,24601.0,false,no_first_touch_in_entry_window
2026-03-09T16:00:00.000000,2026-03-09T20:00:00.000000,LONG,24495.75,24575.75,false,no_first_touch_in_entry_window
2026-03-09T20:00:00.000000,2026-03-10T00:00:00.000000,LONG,24659.25,24858.0,false,no_first_touch_in_entry_window
2026-03-12T00:00:00.000000,2026-03-12T04:00:00.000000,SHORT,24842.25,24873.5,false,no_first_touch_in_entry_window
2026-03-12T16:00:00.000000,2026-03-12T20:00:00.000000,SHORT,24735.25,24813.0,false,no_first_touch_in_entry_window
2026-03-16T00:00:00.000000,2026-03-16T04:00:00.000000,LONG,24400.25,24647.0,false,no_first_touch_in_entry_window
2026-03-16T04:00:00.000000,2026-03-16T08:00:00.000000,LONG,24496.75,24716.0,false,no_first_touch_in_entry_window
2026-03-16T12:00:00.000000,2026-03-16T16:00:00.000000,LONG,24799.0,24833.25,false,no_first_touch_in_entry_window
2026-03-17T16:00:00.000000,2026-03-17T20:00:00.000000,LONG,24860.25,24946.25,false,no_first_touch_in_entry_window
2026-03-18T04:00:00.000000,2026-03-18T08:00:00.000000,LONG,25030.0,25130.5,false,no_first_touch_in_entry_window
2026-03-18T12:00:00.000000,2026-03-18T16:00:00.000000,SHORT,25119.0,25130.5,false,no_first_touch_in_entry_window
2026-03-18T16:00:00.000000,2026-03-18T20:00:00.000000,SHORT,24916.5,25097.5,false,no_first_touch_in_entry_window
2026-03-18T20:00:00.000000,2026-03-19T00:00:00.000000,SHORT,24690.0,24811.75,false,no_first_touch_in_entry_window
2026-03-20T20:00:00.000000,2026-03-21T00:00:00.000000,SHORT,24219.75,24231.25,false,no_first_touch_in_entry_window
2026-03-23T00:00:00.000000,2026-03-23T04:00:00.000000,SHORT,24091.0,24096.0,false,no_first_touch_in_entry_window
2026-03-23T12:00:00.000000,2026-03-23T16:00:00.000000,LONG,24033.75,24345.0,false,no_first_touch_in_entry_window
2026-03-26T20:00:00.000000,2026-03-27T00:00:00.000000,SHORT,24022.25,24030.25,false,no_first_touch_in_entry_window
2026-03-27T12:00:00.000000,2026-03-27T16:00:00.000000,SHORT,23667.5,23853.75,false,no_first_touch_in_entry_window
2026-03-27T16:00:00.000000,2026-03-27T20:00:00.000000,SHORT,23556.75,23608.25,false,no_first_touch_in_entry_window
2026-03-27T20:00:00.000000,2026-03-28T00:00:00.000000,SHORT,23330.5,23440.0,false,no_first_touch_in_entry_window
2026-03-29T20:00:00.000000,2026-03-30T00:00:00.000000,SHORT,23242.25,23269.0,false,no_first_touch_in_entry_window
2026-03-30T04:00:00.000000,2026-03-30T08:00:00.000000,LONG,23242.25,23288.25,false,no_first_touch_in_entry_window
2026-03-30T08:00:00.000000,2026-03-30T12:00:00.000000,LONG,23306.5,23373.25,false,no_first_touch_in_entry_window
2026-03-30T20:00:00.000000,2026-03-31T00:00:00.000000,SHORT,23147.75,23262.25,false,no_first_touch_in_entry_window
2026-03-31T04:00:00.000000,2026-03-31T08:00:00.000000,LONG,23147.75,23235.0,false,no_first_touch_in_entry_window
2026-03-31T16:00:00.000000,2026-03-31T20:00:00.000000,LONG,23398.0,23435.75,false,no_first_touch_in_entry_window
2026-03-31T20:00:00.000000,2026-04-01T00:00:00.000000,LONG,23587.75,23868.25,false,no_first_touch_in_entry_window
2026-04-02T04:00:00.000000,2026-04-02T08:00:00.000000,SHORT,23882.0,24158.0,false,no_first_touch_in_entry_window
2026-04-02T16:00:00.000000,2026-04-02T20:00:00.000000,LONG,23881.75,24057.5,false,no_first_touch_in_entry_window
2026-04-05T20:00:00.000000,2026-04-06T00:00:00.000000,SHORT,24097.0,24114.25,false,no_first_touch_in_entry_window
2026-04-06T04:00:00.000000,2026-04-06T08:00:00.000000,LONG,24097.0,24207.25,false,no_first_touch_in_entry_window
2026-04-07T04:00:00.000000,2026-04-07T08:00:00.000000,SHORT,24264.0,24298.25,false,no_first_touch_in_entry_window
2026-04-07T20:00:00.000000,2026-04-08T00:00:00.000000,LONG,24308.0,24345.75,false,no_first_touch_in_entry_window
2026-04-08T00:00:00.000000,2026-04-08T04:00:00.000000,LONG,24381.0,25007.75,false,no_first_touch_in_entry_window
2026-04-08T04:00:00.000000,2026-04-08T08:00:00.000000,LONG,25086.0,25102.5,false,no_first_touch_in_entry_window
2026-04-08T08:00:00.000000,2026-04-08T12:00:00.000000,LONG,25118.75,25134.25,false,no_first_touch_in_entry_window
2026-04-09T16:00:00.000000,2026-04-09T20:00:00.000000,LONG,25039.0,25145.0,false,no_first_touch_in_entry_window
2026-04-12T20:00:00.000000,2026-04-13T00:00:00.000000,SHORT,25019.25,25222.25,false,no_first_touch_in_entry_window
2026-04-13T00:00:00.000000,2026-04-13T04:00:00.000000,SHORT,25093.75,25276.75,false,no_first_touch_in_entry_window
2026-04-13T04:00:00.000000,2026-04-13T08:00:00.000000,LONG,25019.25,25049.5,false,no_first_touch_in_entry_window
2026-04-13T16:00:00.000000,2026-04-13T20:00:00.000000,LONG,25194.75,25282.5,false,no_first_touch_in_entry_window
2026-04-13T20:00:00.000000,2026-04-14T00:00:00.000000,LONG,25360.75,25533.5,false,no_first_touch_in_entry_window
2026-04-14T00:00:00.000000,2026-04-14T04:00:00.000000,LONG,25550.25,25560.0,false,no_first_touch_in_entry_window
2026-04-14T08:00:00.000000,2026-04-14T12:00:00.000000,LONG,25600.0,25609.75,false,no_first_touch_in_entry_window
2026-04-14T12:00:00.000000,2026-04-14T16:00:00.000000,LONG,25643.5,25651.75,false,no_first_touch_in_entry_window
2026-04-14T16:00:00.000000,2026-04-14T20:00:00.000000,LONG,25698.0,25872.0,false,no_first_touch_in_entry_window
2026-04-14T20:00:00.000000,2026-04-15T00:00:00.000000,LONG,25899.75,25972.0,false,no_first_touch_in_entry_window
2026-04-15T16:00:00.000000,2026-04-15T20:00:00.000000,LONG,26048.0,26102.25,false,no_first_touch_in_entry_window
2026-04-15T20:00:00.000000,2026-04-16T00:00:00.000000,LONG,26215.5,26330.0,false,no_first_touch_in_entry_window
2026-04-16T00:00:00.000000,2026-04-16T04:00:00.000000,LONG,26377.5,26388.75,true,
2026-04-17T12:00:00.000000,2026-04-17T16:00:00.000000,LONG,26492.25,26561.5,false,no_first_touch_in_entry_window
2026-04-17T16:00:00.000000,2026-04-17T20:00:00.000000,LONG,26568.25,26735.5,true,stop_above_75
2026-04-19T20:00:00.000000,2026-04-20T00:00:00.000000,SHORT,26682.0,26735.5,true,
2026-04-20T00:00:00.000000,2026-04-20T04:00:00.000000,SHORT,26714.75,26816.0,true,stop_above_75
2026-04-21T00:00:00.000000,2026-04-21T04:00:00.000000,LONG,26752.0,26785.0,true,
2026-04-21T16:00:00.000000,2026-04-21T20:00:00.000000,SHORT,26786.5,26797.25,false,no_first_touch_in_entry_window
2026-04-22T16:00:00.000000,2026-04-22T20:00:00.000000,LONG,26863.25,26957.25,true,stop_above_75
2026-04-22T20:00:00.000000,2026-04-23T00:00:00.000000,LONG,27008.75,27066.0,true,
2026-04-23T04:00:00.000000,2026-04-23T08:00:00.000000,SHORT,27013.5,27066.0,false,no_first_touch_in_entry_window
2026-04-24T12:00:00.000000,2026-04-24T16:00:00.000000,LONG,27114.75,27130.25,false,no_first_touch_in_entry_window
2026-04-28T08:00:00.000000,2026-04-28T12:00:00.000000,SHORT,27360.0,27386.0,true,
2026-04-28T12:00:00.000000,2026-04-28T16:00:00.000000,SHORT,27252.0,27320.0,false,no_first_touch_in_entry_window
2026-04-30T00:00:00.000000,2026-04-30T04:00:00.000000,LONG,27340.25,27386.5,true,
2026-04-30T20:00:00.000000,2026-05-01T00:00:00.000000,LONG,27550.0,27556.25,true,
2026-05-01T16:00:00.000000,2026-05-01T20:00:00.000000,LONG,27597.75,27794.75,true,stop_above_75
2026-05-05T04:00:00.000000,2026-05-05T08:00:00.000000,LONG,27789.5,27818.25,false,no_first_touch_in_entry_window
2026-05-05T08:00:00.000000,2026-05-05T12:00:00.000000,LONG,27848.5,27879.5,false,no_first_touch_in_entry_window
2026-05-05T12:00:00.000000,2026-05-05T16:00:00.000000,LONG,27926.75,27928.5,false,no_first_touch_in_entry_window
2026-05-05T16:00:00.000000,2026-05-05T20:00:00.000000,LONG,27959.0,28090.25,false,no_first_touch_in_entry_window
2026-05-06T00:00:00.000000,2026-05-06T04:00:00.000000,LONG,28188.25,28248.0,false,no_first_touch_in_entry_window
2026-05-06T20:00:00.000000,2026-05-07T00:00:00.000000,LONG,28586.75,28650.0,false,no_first_touch_in_entry_window
