year,trades,wins,losses,net_points,avg_trade,winrate
2019,1,1,0,22.12,22.12,100.0
2020,4,4,0,82.01,20.5,100.0
2021,5,5,0,120.76,24.15,100.0
2022,2,2,0,41.38,20.69,100.0
2023,1,1,0,23.5,23.5,100.0
2024,4,4,0,70.37,17.59,100.0
2025,11,11,0,262.13,23.83,100.0
2026,3,3,0,70.88,23.63,100.0
