year,trades,wins,losses,net_points,avg_trade,winrate
2020,4,4,0,75.25,18.81,100.0
2021,4,4,0,62.62,15.66,100.0
2022,1,1,0,15.0,15.0,100.0
2023,1,1,0,14.75,14.75,100.0
2024,2,2,0,32.12,16.06,100.0
2025,9,9,0,196.39,21.82,100.0
2026,2,2,0,42.38,21.19,100.0
