entry_time,result_points,bar1_body_pct,bar2_body_pct,bar3_body_pct,entry_body_pct,bar1_lower_wick_pct,bar2_lower_wick_pct,bar3_lower_wick_pct,entry_lower_wick_pct,bar1_range_expansion,bar2_range_expansion,bar3_range_expansion,entry_range_expansion,bar1_close,bar2_close,bar3_close,entry_close,bar1_open,bar2_open,bar3_open,entry_open,entry_dist_pdh,entry_dist_vwap,entry_rel_vol,entry_bear_displacement,entry_bull_fvg,entry_bear_fvg
2020-02-21T08:50:00.000000,17.12,0.8615384615384616,0.15555555555555556,0.8952380952380953,0.826530612244898,0.12307692307692308,0.2222222222222222,0.05714285714285714,0.030612244897959183,1.2392755004766443,0.8530805687203792,1.8551236749116606,1.6940363007778738,9504.5,9506.5,9483.25,9503.5,9518.5,9504.75,9506.75,9483.25,-259.5,-63.30763026211753,1.597972899493225,false,false,false
2020-03-20T10:10:00.000000,21.25,0.6078431372549019,0.7058823529411765,0.9130434782608695,0.8740740740740741,0.29411764705882354,0.11764705882352941,0.050724637681159424,0.07407407407407407,0.5695142378559465,0.793002915451895,1.5628539071347678,1.5168539325842696,7241.0,7228.75,7198.0,7228.75,7248.75,7240.75,7229.5,7199.25,-273.75,-171.7072900754065,1.7591644480851936,false,false,false
2020-04-16T10:37:00.000000,17.0,0.4888888888888889,0.4489795918367347,0.9423076923076923,0.6438356164383562,0.022222222222222223,0.12244897959183673,0.057692307692307696,0.0,0.7698887938408896,0.8305084745762712,1.7232808616404307,1.2056151940545006,8624.5,8630.75,8606.75,8619.0,8619.0,8625.25,8631.25,8607.25,-76.75,-48.26307590174838,1.0566280566280566,false,false,false
2020-12-02T08:41:00.000000,19.88,0.11627906976744186,0.8823529411764706,0.6614173228346457,0.7641509433962265,0.23255813953488372,0.11764705882352941,0.10236220472440945,0.1792452830188679,1.122715404699739,1.2781954887218046,2.8159645232815964,2.206035379812695,12363.75,12352.75,12332.0,12352.25,12365.0,12364.0,12353.0,12332.0,-160.0,-47.81732368099438,1.7716377628730993,false,false,false
2021-11-09T10:14:00.000000,18.0,0.5172413793103449,0.65625,0.7232142857142857,0.8876404494382022,0.10344827586206896,0.3333333333333333,0.044642857142857144,0.0,0.605427974947808,1.8897637795275593,2.083720930232558,1.5949820788530467,16247.75,16231.75,16211.75,16231.75,16251.5,16247.5,16232.0,16212.0,-162.25,-55.70672001453386,1.275405121828003,false,false,false
2021-11-10T08:38:00.000000,16.88,0.864406779661017,0.13186813186813187,0.8058252427184466,0.4880952380952381,0.0847457627118644,0.5384615384615384,0.0970873786407767,0.08333333333333333,3.0334190231362466,1.465378421900161,1.5535444947209653,1.2209302325581395,16103.0,16106.0,16085.0,16095.25,16064.75,16103.0,16105.75,16085.0,-296.5,-37.74443813847938,1.2283634933123526,false,false,false
2021-12-01T08:33:00.000000,13.12,0.43795620437956206,0.5,0.821917808219178,0.29411764705882354,0.13138686131386862,0.2833333333333333,0.0958904109589041,0.14705882352941177,4.559068219633943,1.8633540372670805,2.085714285714286,1.820615796519411,16324.0,16316.25,16301.5,16306.5,16339.0,16323.75,16316.5,16301.5,-149.75,-27.42231392418398,2.6621099818028493,false,false,false
2021-12-30T08:43:00.000000,14.62,0.5076923076923077,0.8369565217391305,0.8823529411764706,0.7692307692307693,0.27692307692307694,0.10869565217391304,0.023529411764705882,0.1282051282051282,1.3756613756613756,1.7881438289601554,1.5426497277676952,1.3321947053800172,16490.5,16471.75,16452.0,16466.75,16498.75,16491.0,16470.75,16451.75,-97.5,-29.54047533146877,1.2511690046760187,false,false,true
2022-09-06T10:41:00.000000,15.0,0.6865671641791045,0.3,0.7159090909090909,0.8913043478260869,0.22388059701492538,0.6333333333333333,0.07954545454545454,0.05434782608695652,1.417989417989418,0.6423982869379015,1.8106995884773662,1.8308457711442787,12041.25,12043.0,12027.0,12047.25,12052.75,12040.75,12042.75,12026.75,-135.25,-41.27975139267437,0.8983903838955205,false,false,false
2023-11-16T08:33:00.000000,14.75,0.049019607843137254,0.08620689655172414,0.9418604651162791,0.7464788732394366,0.9509803921568627,0.5517241379310345,0.03488372093023256,0.11267605633802817,3.945841392649903,2.078853046594982,2.760834670947031,2.128935532233883,15849.5,15848.75,15828.5,15841.5,15850.75,15850.0,15848.75,15828.25,-208.0,-11.57151171249825,2.216792536650378,false,false,false
2024-02-16T08:33:00.000000,14.62,0.5223880597014925,0.4342105263157895,0.9764705882352941,0.8356164383561644,0.2835820895522388,0.39473684210526316,0.023529411764705882,0.1095890410958904,2.0520673813169985,2.190201729106628,2.2606382978723403,1.8204488778054861,17918.0,17909.5,17888.5,17904.0,17926.75,17917.75,17909.25,17888.75,-64.25,-49.90101419878192,2.1879951361509264,false,false,false
2024-02-23T10:14:00.000000,17.5,0.2682926829268293,0.34210526315789475,0.8796296296296297,0.7333333333333333,0.3902439024390244,0.21052631578947367,0.046296296296296294,0.05714285714285714,0.7032590051457976,0.6666666666666666,1.7880794701986755,1.6496465043205029,17974.5,17971.25,17948.0,17966.75,17971.75,17974.5,17971.75,17947.5,-120.25,-94.10360604538073,1.1756292906178492,false,false,false
2025-01-02T08:40:00.000000,23.38,0.1417910447761194,0.46621621621621623,0.7483870967741936,0.3609467455621302,0.582089552238806,0.006756756756756757,0.08387096774193549,0.25443786982248523,1.4880621876735147,1.5611814345991561,1.5523284927391088,1.6041765543426674,21222.75,21205.0,21176.25,21192.5,21218.0,21222.25,21205.25,21177.25,-332.25,-150.6638108960069,1.4579835188964378,false,false,false
2025-02-07T10:47:00.000000,23.5,0.22807017543859648,0.20754716981132076,0.8141025641025641,0.7327586206896551,0.0,0.39622641509433965,0.07051282051282051,0.07758620689655173,0.6570605187319885,0.6261075014766686,1.808695652173913,1.3211845102505695,21652.75,21656.0,21625.0,21646.5,21656.0,21653.25,21656.75,21625.25,-235.75,-140.47518173557546,1.7064935064935065,false,false,false
2025-02-25T08:32:00.000000,24.88,0.4473684210526316,0.8064516129032258,0.874251497005988,0.49122807017543857,0.05263157894736842,0.10752688172043011,0.08383233532934131,0.03508771929824561,1.8811881188118813,2.1627906976744184,3.336663336663337,2.097516099356026,21391.5,21372.25,21335.75,21350.25,21383.0,21391.0,21372.25,21336.25,-462.75,-35.54379404525025,3.355637489189312,false,false,true
2025-02-26T08:31:00.000000,28.0,0.10294117647058823,0.15384615384615385,0.9479166666666666,0.9308510638297872,0.8970588235294118,0.5,0.010416666666666666,0.047872340425531915,1.3559322033898304,1.0058027079303675,3.2764505119453924,2.8334589299171067,21240.25,21238.25,21193.25,21238.25,21242.0,21240.25,21238.75,21194.5,-436.75,-32.330952143322065,3.744219720678219,false,false,false
2025-07-23T08:35:00.000000,12.38,0.09090909090909091,0.6739130434782609,0.9552238805970149,0.8805970149253731,0.2727272727272727,0.10869565217391304,0.04477611940298507,0.04477611940298507,0.5134189031505251,1.069767441860465,1.5005599104143337,1.5654205607476637,23175.25,23167.25,23151.25,23166.0,23175.75,23175.0,23167.25,23151.25,-201.0,-46.848733504655684,1.310494834148994,false,false,false
2025-08-14T10:15:00.000000,14.0,0.07692307692307693,0.6153846153846154,0.7,0.5072463768115942,0.46153846153846156,0.28205128205128205,0.1125,0.13043478260869565,1.447661469933185,0.8823529411764706,1.7278617710583155,1.4603174603174602,23876.0,23881.0,23867.0,23875.75,23877.25,23875.0,23881.0,23867.0,-192.75,-36.555292445307714,1.280054182187606,false,false,false
2025-09-03T10:41:00.000000,16.88,0.8,0.058823529411764705,0.9514563106796117,0.8356164383561644,0.02,0.11764705882352941,0.04854368932038835,0.0136986301369863,1.1560693641618498,0.4042806183115339,2.3303167420814477,1.609702315325248,23421.75,23422.0,23397.5,23413.25,23431.75,23421.75,23422.0,23398.0,-71.25,-10.031116706330067,1.3666156871313087,false,false,true
2025-11-04T10:41:00.000000,19.75,0.23595505617977527,0.09090909090909091,0.8492063492063492,0.7961165048543689,0.7303370786516854,0.18181818181818182,0.05555555555555555,0.10679611650485436,1.4424635332252835,0.7213114754098361,1.992094861660079,1.6081186572989852,25787.5,25786.0,25758.5,25779.0,25782.25,25787.0,25785.25,25758.5,-487.0,-18.327016321287374,1.0535593923368072,false,false,true
2025-12-04T08:35:00.000000,33.62,0.44047619047619047,0.6985645933014354,0.8818565400843882,0.6417322834645669,0.4880952380952381,0.08133971291866028,0.10970464135021098,0.2637795275590551,1.7125382262996942,3.631624674196351,3.4649122807017543,3.2050473186119874,25657.0,25619.75,25566.5,25608.25,25647.75,25656.25,25618.75,25567.5,-77.0,-41.66201237502173,2.84342458065723,false,false,true
