group,trades,wins,losses,win_rate,net_points,avg_points,avg_rr,profit_factor,avg_risk,avg_mfe,avg_mae,max_drawdown_points
2019,1,1,0,100.0,22.12,22.12,2.0,,11.06,26.19,-2.06,0.0
2020,12,8,4,66.67,122.39,10.2,1.0,4.4,9.6,22.96,-6.64,-26.5
2021,9,8,1,88.89,177.2,19.69,1.67,16.84,11.71,28.1,-4.82,-11.19
2022,11,7,4,63.64,104.37,9.49,0.91,3.68,10.04,25.77,-7.25,-18.07
2023,3,2,1,66.67,31.0,10.33,1.0,4.35,9.79,23.46,-9.04,-9.25
2024,16,7,9,43.75,56.69,3.54,0.31,1.69,9.46,20.86,-9.22,-42.75
2025,33,18,15,54.55,264.08,8.0,0.64,2.58,11.59,27.62,-10.69,-40.18
2026,13,10,3,76.92,208.38,16.03,1.31,8.72,11.13,28.43,-7.32,-9.0
