group,trades,wins,losses,win_rate,net_points,avg_points,avg_rr,profit_factor,avg_risk,avg_mfe,avg_mae,max_drawdown_points
8,47,28,19,59.57,463.33,9.86,0.79,3.36,11.19,27.09,-9.47,-51.93
9,22,14,8,63.64,233.53,10.62,0.91,4.13,10.39,24.03,-8.11,-17.31
10,28,19,9,67.86,297.81,10.64,1.04,4.24,10.24,24.98,-6.97,-25.32
11,1,0,1,0.0,-8.44,-8.44,-1.0,0.0,8.44,22.31,-8.94,0.0
