group,trades,wins,losses,win_rate,net_points,avg_points,avg_rr,profit_factor,avg_risk,avg_mfe,avg_mae,max_drawdown_points
8_CT_only,47,28,19,59.57,463.33,9.86,0.79,3.36,11.19,27.09,-9.47,-51.93
9_CT_only,22,14,8,63.64,233.53,10.62,0.91,4.13,10.39,24.03,-8.11,-17.31
10_CT_only,28,19,9,67.86,297.81,10.64,1.04,4.24,10.24,24.98,-6.97,-25.32
8_10_CT,75,47,28,62.67,761.14,10.15,0.88,3.64,10.84,26.3,-8.54,-31.56
8_9_10_CT,97,61,36,62.89,994.67,10.25,0.89,3.74,10.74,25.78,-8.44,-40.18
