year,trades,wins,losses,net_points,avg_trade,winrate
2020,6,4,2,58.37,9.73,66.67
2021,6,6,0,112.25,18.71,100.0
2022,2,1,1,8.19,4.1,50.0
2023,1,1,0,14.75,14.75,100.0
2024,3,2,1,23.68,7.89,66.67
2025,11,11,0,226.65,20.6,100.0
2026,2,2,0,42.38,21.19,100.0
