signal_time,entry_time,trade_date,year,month,day_of_week,hour,minute,side,entry_price,stop_price,target_price,risk_points,result_points,result_rr,exit_reason,bars_held,fill_bars,mfe_points,mae_points,lower_wick_pct,body_pct,range_expansion_20,rel_vol_20,atr_14,atr_50,dist_vwap,dist_vwap_day,dist_ema_20,dist_ema_50,dist_dol,dist_pdh,dist_pdl,dist_or_high_30m,dist_or_low_30m,or_range_30m,premarket_range,prior_day_range,liquidity_sweep_reclaim_count_last_30m,has_high_impact_usd_event,has_cpi,has_fomc,has_nfp,has_ppi,has_pmi_ism,has_jobs,has_fed_speech
2021-12-17T10:46:00.000000,2021-12-17T10:47:00.000000,2021-12-17,2021,2021-12,5,10,47,short,15790.56,15801.25,15769.19,10.69,21.38,2.0,target,1,1,26.06,-3.69,0.03597122302158273,0.9640287769784173,1.883468834688347,1.451861931803313,20.196428571428573,18.45,-14.803853220140809,-14.803853220140809,-71.51390870429532,-91.1876012906796,-112.25,-691.25,-27.25,-77.25,108.75,186.0,71.25,549.0,4,false,false,true,false,false,false,false,false
2021-12-30T08:42:00.000000,2021-12-30T08:43:00.000000,2021-12-30,2021,2021-12,4,8,43,short,16467.44,16474.75,16452.81,7.31,14.62,2.0,target,1,1,18.19,-1.31,0.023529411764705882,0.8823529411764706,1.5426497277676952,1.5547175181443005,16.428571428571427,8.1,-45.02103028942656,-45.02103028942656,-39.81647781375432,-47.143251946487,-32.5,-112.25,64.5,-66.0,2.75,68.75,55.75,162.0,3,false,false,false,false,false,true,true,false
2022-09-06T10:40:00.000000,2022-09-06T10:41:00.000000,2022-09-06,2022,2022-09,2,10,41,short,12041.75,12049.25,12026.75,7.5,15.0,2.0,target,1,1,16.25,-6.75,0.07954545454545454,0.7159090909090909,1.8106995884773662,1.1487444731792775,11.892857142857142,13.64,-61.61800837391638,-61.61800837391638,-19.160234116379797,-35.98487387273417,-142.5,-155.5,-27.0,-97.5,58.5,156.0,258.75,38.75,1,true,false,true,false,false,true,false,false
2022-10-20T10:21:00.000000,2022-10-20T10:22:00.000000,2022-10-20,2022,2022-10,4,10,22,short,11204.44,11211.25,11190.81,6.81,-6.81,-1.0,stop_same_bar,1,1,16.44,-9.06,0.0,0.987012987012987,1.5827338129496404,1.9771560472798186,12.642857142857142,11.45,5.044118225932834,5.044118225932834,-40.62833052628412,-63.67751775552097,91.0,-192.75,141.0,-132.75,-72.0,60.75,246.0,235.5,1,true,false,true,false,false,false,false,false
2023-11-16T08:32:00.000000,2023-11-16T08:33:00.000000,2023-11-16,2023,2023-11,4,8,33,short,15843.88,15851.25,15829.12,7.38,14.75,2.0,target,1,1,17.62,-0.12,0.03488372093023256,0.9418604651162791,2.760834670947031,2.5333660853189226,8.982142857142858,6.27,-24.8166323520054,-24.8166323520054,-21.20570170452629,-26.440565042847084,-18.25,-221.0,-3.75,-69.5,3.25,72.75,61.25,144.75,2,true,false,true,false,false,false,true,false
2024-02-16T08:32:00.000000,2024-02-16T08:33:00.000000,2024-02-16,2024,2024-02,5,8,33,short,17903.94,17911.25,17889.31,7.31,14.62,2.0,target,1,1,17.19,-1.06,0.023529411764705882,0.9764705882352941,2.2606382978723403,3.3875030470463963,10.821428571428571,8.705,-66.45926457668247,-66.45926457668247,-36.550607220044185,-46.601600004636566,-63.5,-79.75,108.0,-41.5,134.5,176.0,106.75,152.5,2,true,false,true,false,false,false,false,false
2024-02-23T10:13:00.000000,2024-02-23T10:14:00.000000,2024-02-23,2024,2024-02,5,10,14,short,17967.0,17975.75,17949.5,8.75,17.5,2.0,target,1,1,21.0,-5.25,0.046296296296296294,0.8796296296296297,1.7880794701986755,1.3393216532847487,15.803571428571429,14.18,-113.65582979240207,-113.65582979240207,-40.46006939748986,-71.67585608152876,-75.25,-139.0,272.0,-196.75,-112.75,84.0,81.25,223.0,3,false,false,true,false,false,false,false,false
2024-10-02T10:59:00.000000,2024-10-02T11:00:00.000000,2024-10-02,2024,2024-10,3,11,0,short,19997.06,20005.5,19980.19,8.44,-8.44,-1.0,stop_same_bar,1,1,22.31,-8.94,0.10679611650485436,0.8932038834951457,2.1845174973488866,2.7871886120996443,12.607142857142858,11.015,2.9934911473610555,2.9934911473610555,-40.84644691772701,-56.94817483547013,62.25,-351.25,162.5,-76.25,0.75,77.0,181.25,263.25,3,true,false,true,true,false,false,false,false
2025-01-02T08:39:00.000000,2025-01-02T08:40:00.000000,2025-01-02,2025,2025-01,4,8,40,short,21202.06,21213.75,21178.69,11.69,23.38,2.0,target,1,1,35.56,-6.69,0.08387096774193549,0.7483870967741936,1.5523284927391088,1.4741771105908277,31.178571428571427,18.94,-169.35020829871064,-169.35020829871064,-114.41256044607144,-167.08021901621032,-92.75,-348.5,-5.75,-232.75,9.75,242.5,131.5,306.5,2,true,false,false,false,false,true,true,false
2025-01-23T08:37:00.000000,2025-01-23T08:38:00.000000,2025-01-23,2025,2025-01,4,8,38,short,21898.06,21904.5,21885.19,6.44,12.88,2.0,target,1,1,16.06,-2.94,0.056338028169014086,0.6901408450704225,1.545157780195865,1.5159658552007587,14.178571428571429,7.68,-18.13221857242752,-18.13221857242752,-3.0100524817826226,-4.177520690282108,-96.0,-207.75,117.5,-32.25,19.75,52.0,43.0,191.0,1,true,false,false,false,false,true,false,false
2025-02-07T10:46:00.000000,2025-02-07T10:47:00.000000,2025-02-07,2025,2025-02,5,10,47,short,21651.5,21663.25,21628.0,11.75,23.5,2.0,target,1,1,28.5,-0.5,0.07051282051282051,0.8141025641025641,1.808695652173913,1.8376886435471662,21.75,25.67,-162.775895999559,-162.775895999559,-36.401234184646455,-58.73894834728344,-192.75,-257.25,-80.75,-343.0,-244.75,98.25,139.75,170.75,1,false,false,true,false,false,false,false,false
2025-02-12T10:22:00.000000,2025-02-12T10:23:00.000000,2025-02-12,2025,2025-02,3,10,23,short,21675.56,21684.25,21658.19,8.69,17.38,2.0,target,1,1,19.81,-4.44,0.037383177570093455,0.822429906542056,1.751227495908347,1.4245149077141506,14.785714285714286,15.79,-10.559258075616526,-10.559258075616526,-29.038889052873856,-35.5683431432808,-137.75,-215.0,-13.0,-44.5,120.25,164.75,339.25,170.75,1,true,true,true,false,true,false,true,false
2025-02-25T08:31:00.000000,2025-02-25T08:32:00.000000,2025-02-25,2025,2025-02,2,8,32,short,21363.56,21376.0,21338.69,12.44,24.88,2.0,target,1,1,28.31,-0.19,0.08383233532934131,0.874251497005988,3.336663336663337,4.750949538795442,14.892857142857142,10.795,-50.949847509320534,-50.949847509320534,-47.82438924977032,-60.45872051569677,-106.75,-477.25,-71.75,-61.75,125.0,186.75,95.0,393.0,2,true,false,true,false,false,false,false,false
2025-02-26T08:30:00.000000,2025-02-26T08:31:00.000000,2025-02-26,2025,2025-02,3,8,31,short,21228.75,21242.75,21200.75,14.0,28.0,2.0,target,1,1,36.5,-10.5,0.010416666666666666,0.9479166666666666,3.2764505119453924,5.731000731281993,16.303571428571427,11.645,-78.67814517554507,-78.67814517554507,-51.04200351150212,-69.37553095431213,-37.25,-481.75,203.25,-119.75,4.25,124.0,108.5,407.5,2,true,false,true,false,false,false,true,false
2025-07-23T08:34:00.000000,2025-07-23T08:35:00.000000,2025-07-23,2025,2025-07,3,8,35,short,23163.06,23169.25,23150.69,6.19,12.38,2.0,target,1,1,12.56,-4.19,0.04477611940298507,0.9552238805970149,1.5005599104143337,1.4039758608448705,9.964285714285714,13.94,-61.96891530054563,-61.96891530054563,-23.87409459229093,-31.934437797659484,-31.25,-215.75,43.25,-52.25,0.75,53.0,128.0,98.25,1,false,false,false,false,false,false,false,false
2025-08-14T10:14:00.000000,2025-08-14T10:15:00.000000,2025-08-14,2025,2025-08,4,10,15,short,23879.75,23886.75,23865.75,7.0,14.0,2.0,target,1,1,15.0,-2.25,0.1125,0.7,1.7278617710583155,1.109744699690098,12.303571428571429,12.985,-45.4737406263157,-45.4737406263157,-32.04446343619202,-41.5663686219923,-81.75,-201.5,-19.0,-140.75,-73.5,67.25,143.75,87.25,2,false,false,false,false,false,false,false,false
2025-09-03T10:40:00.000000,2025-09-03T10:41:00.000000,2025-09-03,2025,2025-09,3,10,41,short,23415.56,23424.0,23398.69,8.44,16.88,2.0,target,1,1,17.81,-0.44,0.04854368932038835,0.9514563106796117,2.3303167420814477,5.126650790214333,9.464285714285714,10.895,-25.817315708249225,-25.817315708249225,-30.976090621508774,-34.29874412771096,56.0,-87.0,372.25,-127.75,-34.75,93.0,102.25,359.0,1,false,false,false,false,false,false,false,false
2025-11-04T10:40:00.000000,2025-11-04T10:41:00.000000,2025-11-04,2025,2025-11,2,10,41,short,25780.38,25790.25,25760.62,9.88,19.75,2.0,target,1,1,24.62,-1.12,0.05555555555555555,0.8492063492063492,1.992094861660079,1.311795874273368,16.0,17.045,-38.87731181982599,-38.87731181982599,-13.147674471114442,-24.56383940051819,-346.0,-507.5,-254.25,-122.25,95.5,217.75,82.0,250.5,1,false,false,false,false,false,false,false,false
2025-12-04T08:34:00.000000,2025-12-04T08:35:00.000000,2025-12-04,2025,2025-12,4,8,35,short,25604.44,25621.25,25570.81,16.81,33.62,2.0,target,1,1,53.69,-9.81,0.10970464135021098,0.8818565400843882,3.4649122807017543,4.388793350530238,20.535714285714285,12.49,-85.4535655949112,-85.4535655949112,-104.38500498604117,-106.7324048954033,-83.75,-118.75,145.0,-146.5,26.25,172.75,114.25,255.25,4,false,false,false,false,false,false,false,false
2026-02-18T08:34:00.000000,2026-02-18T08:35:00.000000,2026-02-18,2026,2026-02,3,8,35,short,24799.31,24812.5,24772.94,13.19,26.38,2.0,target,1,1,43.56,-6.94,0.0446927374301676,0.7988826815642458,2.1034077555816686,1.6544065638704202,25.892857142857142,14.385,-71.41989205759091,-71.41989205759091,-45.683536079795886,-62.57887559949813,-6.0,-122.0,318.5,-190.75,15.75,206.5,113.25,440.5,2,false,false,false,false,false,false,false,false
2026-03-18T10:35:00.000000,2026-03-18T10:36:00.000000,2026-03-18,2026,2026-03,3,10,36,short,24848.75,24856.75,24832.75,8.0,16.0,2.0,target,1,1,16.75,-1.0,0.03125,0.8958333333333334,1.855072463768116,2.2199798183652875,13.553571428571429,14.235,-131.14005838797675,-131.14005838797675,-49.79069652898761,-56.30223674209992,-175.25,-285.5,251.5,-51.75,14.0,65.75,186.5,145.75,1,false,false,false,false,false,false,false,false
