label,trades,wins,losses,winrate,net_points,avg_trade,profit_factor,max_dd,first_trade,last_trade
has_high_impact_usd_event_false,27,19,8,70.37,299.5,11.09,5.57,-21.63,2018-10-12 10:09:00,2026-03-18 10:36:00
body_pct_lt_q60_0.87963,31,22,9,70.97,340.7,10.99,5.55,-15.5,2020-06-26 08:51:00,2026-03-16 08:48:00
has_fomc_false,27,19,8,70.37,307.0,11.37,5.55,-17.32,2020-03-20 10:10:00,2026-03-18 10:36:00
minute_lte_40,38,27,11,71.05,404.62,10.65,5.48,-28.44,2018-10-12 10:09:00,2026-03-18 10:36:00
prior_day_range_lt_q75_306.5,38,27,11,71.05,383.42,10.09,5.48,-23.94,2018-10-12 10:09:00,2026-03-18 10:36:00
atr_14_lt_q80_20.19643,40,29,11,72.5,388.8,9.72,5.47,-23.94,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_or_low_30m_lt_q60_19.5,31,22,9,70.97,327.86,10.58,5.44,-23.38,2018-10-12 10:09:00,2026-03-18 10:36:00
has_jobs_false,44,31,13,70.45,466.63,10.61,5.35,-23.94,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_pdl_gt_q25_-3.75,38,27,11,71.05,401.23,10.56,5.34,-23.94,2018-10-12 10:09:00,2026-03-18 10:36:00
body_pct_lt_q70_0.89524,36,25,11,69.44,391.31,10.87,5.34,-23.94,2020-06-26 08:51:00,2026-03-16 08:48:00
dist_dol_gt_q25_-103.75,38,27,11,71.05,391.36,10.3,5.33,-28.44,2018-10-12 10:09:00,2026-03-16 08:48:00
atr_50_lt_q60_12.995,31,22,9,70.97,306.62,9.89,5.28,-23.94,2018-10-12 10:09:00,2026-01-02 08:36:00
atr_14_lt_q50_14.89286,26,19,7,73.08,234.12,9.0,5.26,-20.06,2018-10-12 10:09:00,2026-03-18 10:36:00
range_expansion_20_lt_q60_1.88347,31,22,9,70.97,306.38,9.88,5.25,-23.38,2020-02-21 08:50:00,2026-03-18 10:36:00
risk_points_lt_q60_8.69,29,21,8,72.41,248.23,8.56,5.25,-20.06,2018-10-12 10:09:00,2026-03-18 10:36:00
premarket_range_gt_q50_106.75,25,17,8,68.0,271.75,10.87,5.24,-30.32,2020-03-20 10:10:00,2026-03-18 10:36:00
atr_50_lt_q80_15.79,41,29,12,70.73,410.24,10.01,5.23,-23.94,2018-10-12 10:09:00,2026-03-18 10:36:00
or_range_30m_lt_q75_164.75,38,27,11,71.05,362.23,9.53,5.21,-23.94,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_vwap_day_gt_q30_-74.74821,36,26,10,72.22,345.27,9.59,5.21,-23.94,2018-10-12 10:09:00,2026-02-18 08:35:00
dist_vwap_gt_q30_-74.74821,36,26,10,72.22,345.27,9.59,5.21,-23.94,2018-10-12 10:09:00,2026-02-18 08:35:00
or_range_30m_lt_q80_175.25,41,29,12,70.73,403.42,9.84,5.2,-23.94,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_ema_20_gt_q30_-45.68354,36,26,10,72.22,333.44,9.26,5.18,-23.94,2018-10-12 10:09:00,2026-02-10 10:10:00
dist_pdh_gt_q20_-257.25,41,29,12,70.73,408.8,9.97,5.14,-21.69,2018-10-12 10:09:00,2026-03-16 08:48:00
dist_pdh_gt_q25_-221.0,38,27,11,71.05,373.99,9.84,5.13,-21.69,2018-10-12 10:09:00,2026-03-16 08:48:00
rel_vol_20_gt_q20_1.40398,41,28,13,68.29,434.87,10.61,5.05,-28.44,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_pdl_gt_q30_43.25,36,25,11,69.44,368.97,10.25,4.99,-23.94,2018-10-12 10:09:00,2026-03-18 10:36:00
or_range_30m_lt_q60_124.0,31,22,9,70.97,281.48,9.08,4.98,-28.44,2018-10-12 10:09:00,2026-03-18 10:36:00
prior_day_range_lt_q70_284.5,36,25,11,69.44,338.55,9.4,4.96,-23.94,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_dol_gt_q30_-92.75,36,25,11,69.44,355.1,9.86,4.93,-28.44,2018-10-12 10:09:00,2026-03-16 08:48:00
dist_or_low_30m_lt_q50_14.0,25,17,8,68.0,250.17,10.01,4.91,-23.38,2018-10-12 10:09:00,2025-09-03 10:41:00
risk_points_lt_q75_10.38,38,27,11,71.05,333.3,8.77,4.9,-23.94,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_vwap_gt_q40_-66.45926,31,22,9,70.97,273.77,8.83,4.82,-23.94,2018-10-12 10:09:00,2026-02-10 10:10:00
dist_vwap_day_gt_q40_-66.45926,31,22,9,70.97,273.77,8.83,4.82,-23.94,2018-10-12 10:09:00,2026-02-10 10:10:00
risk_points_lt_q80_10.69,41,29,12,70.73,365.17,8.91,4.81,-23.94,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_pdh_gt_q30_-215.0,36,25,11,69.44,344.23,9.56,4.8,-21.69,2018-10-12 10:09:00,2026-03-16 08:48:00
or_range_30m_lt_q70_154.25,36,25,11,69.44,327.48,9.1,4.8,-28.44,2018-10-12 10:09:00,2026-03-18 10:36:00
risk_points_lt_q50_8.44,24,17,7,70.83,188.79,7.87,4.78,-20.06,2018-10-12 10:09:00,2026-03-18 10:36:00
or_range_30m_lt_q40_84.0,20,14,6,70.0,165.05,8.25,4.78,-20.06,2018-10-12 10:09:00,2026-03-18 10:36:00
or_range_30m_lt_q50_98.0,26,18,8,69.23,223.99,8.61,4.72,-28.44,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_pdl_gt_q40_108.0,31,21,10,67.74,305.73,9.86,4.55,-23.94,2018-10-12 10:09:00,2026-03-18 10:36:00
atr_50_lt_q75_14.385,38,26,12,68.42,342.24,9.01,4.53,-23.94,2018-10-12 10:09:00,2026-03-18 10:36:00
rel_vol_20_gt_q60_1.85211,20,13,7,65.0,194.5,9.72,4.53,-23.94,2020-12-02 08:41:00,2026-03-18 10:36:00
rel_vol_20_gt_q25_1.41904,38,25,13,65.79,373.75,9.84,4.48,-28.44,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_pdh_gt_q40_-180.25,31,21,10,67.74,286.28,9.23,4.42,-21.69,2018-10-12 10:09:00,2026-03-16 08:48:00
dist_dol_gt_q40_-63.5,31,21,10,67.74,281.92,9.09,4.36,-23.94,2018-10-12 10:09:00,2026-03-16 08:48:00
risk_points_lt_q70_9.88,35,24,11,68.57,273.92,7.83,4.2,-23.94,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_vwap_day_gt_q50_-58.3454,25,17,8,68.0,208.52,8.34,4.2,-23.94,2018-10-12 10:09:00,2026-02-10 10:10:00
dist_vwap_gt_q50_-58.3454,25,17,8,68.0,208.52,8.34,4.2,-23.94,2018-10-12 10:09:00,2026-02-10 10:10:00
atr_50_lt_q70_14.18,36,24,12,66.67,308.74,8.58,4.19,-23.94,2018-10-12 10:09:00,2026-01-02 08:36:00
rel_vol_20_gt_q30_1.45186,36,23,13,63.89,334.99,9.31,4.12,-28.44,2018-10-12 10:09:00,2026-03-18 10:36:00
premarket_range_gt_q60_114.25,20,13,7,65.0,177.06,8.85,4.08,-25.26,2020-03-20 10:10:00,2026-03-18 10:36:00
range_expansion_20_lt_q40_1.72131,20,13,7,65.0,165.44,8.27,3.96,-21.75,2020-03-20 10:10:00,2026-03-16 08:48:00
rel_vol_20_gt_q40_1.55776,31,19,12,61.29,279.11,9.0,3.82,-23.94,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_dol_gt_q50_-27.0,25,16,9,64.0,206.43,8.26,3.74,-45.63,2018-10-12 10:09:00,2026-03-16 08:48:00
atr_50_lt_q50_11.645,26,17,9,65.38,196.0,7.54,3.74,-23.94,2018-10-12 10:09:00,2026-01-02 08:36:00
rel_vol_20_gt_q50_1.69938,25,15,10,60.0,217.62,8.7,3.65,-23.94,2020-12-02 08:41:00,2026-03-18 10:36:00
dist_pdh_gt_q50_-118.75,25,16,9,64.0,189.35,7.57,3.52,-21.69,2018-10-12 10:09:00,2026-03-16 08:48:00
dist_vwap_gt_q60_-46.19477,20,13,7,65.0,144.7,7.23,3.48,-20.06,2021-12-01 08:33:00,2026-02-10 10:10:00
dist_vwap_day_gt_q60_-46.19477,20,13,7,65.0,144.7,7.23,3.48,-20.06,2021-12-01 08:33:00,2026-02-10 10:10:00
atr_14_lt_q40_13.44643,20,13,7,65.0,135.74,6.79,3.47,-28.44,2018-10-12 10:09:00,2025-09-03 10:41:00
dist_or_low_30m_lt_q40_2.75,20,12,8,60.0,141.17,7.06,3.21,-45.13,2018-10-12 10:09:00,2025-09-03 10:41:00
dist_dol_gt_q60_-0.25,20,12,8,60.0,131.36,6.57,2.91,-38.82,2018-10-12 10:09:00,2026-03-16 08:48:00
dist_pdh_gt_q60_-78.0,20,11,9,55.0,106.48,5.32,2.42,-21.69,2018-10-12 10:09:00,2026-03-16 08:48:00
