entry_time,result_points,open,high,low,close,body,body_abs,body_pct,upper_wick,lower_wick,upper_wick_pct,lower_wick_pct,bar_range,range_expansion_20,rel_vol_20,dist_pdh,dist_pdl,dist_dol,dist_vwap,bear_displacement,bull_fvg,bear_fvg,any_liquidity_sweep_reclaim_last_30m,liquidity_sweep_reclaim_count_last_30m
2020-02-21T08:50:00.000000,17.12,9483.25,9507.0,9482.5,9503.5,20.25,20.25,0.8952380952380953,3.5,0.75,0.14285714285714285,0.05714285714285714,24.5,1.8551236749116606,1.6803690908295799,-279.75,-33.75,-134.0,-85.19180175812107,false,false,false,true,2
2020-03-20T10:10:00.000000,21.25,7199.25,7230.5,7196.75,7228.75,29.5,29.5,0.9130434782608695,1.75,2.5,0.05185185185185185,0.050724637681159424,33.75,1.5628539071347678,1.6993815541812316,-304.5,323.75,54.25,-203.35968568369572,false,false,false,true,1
2020-04-16T10:37:00.000000,17.0,8607.25,8625.5,8607.25,8619.0,11.75,11.75,0.9423076923076923,6.5,0.0,0.3561643835616438,0.057692307692307696,18.25,1.7232808616404307,1.1513282135213396,-89.0,120.25,66.0,-60.748035774113305,false,false,false,true,4
2020-12-02T08:41:00.000000,19.88,12332.0,12353.75,12327.25,12352.25,20.25,20.25,0.6614173228346457,1.5,4.75,0.05660377358490566,0.10236220472440945,26.5,2.8159645232815964,2.828945491885108,-180.25,20.0,-124.25,-69.56931757883649,false,false,false,true,1
2021-11-09T10:14:00.000000,18.0,16212.0,16234.25,16212.0,16231.75,19.75,19.75,0.7232142857142857,2.5,0.0,0.11235955056179775,0.044642857142857144,22.25,2.083720930232558,1.940007170457714,-182.25,-44.25,-103.75,-76.03425983984016,false,false,false,true,2
2021-11-10T08:38:00.000000,16.88,16085.0,16104.25,16083.25,16095.25,10.25,10.25,0.8058252427184466,9.0,1.75,0.42857142857142855,0.0970873786407767,21.0,1.5535444947209653,1.3609436707545208,-306.75,-75.0,-116.25,-48.63465220815851,false,false,false,true,2
2021-12-01T08:33:00.000000,13.12,16301.5,16316.0,16299.0,16306.5,5.0,5.0,0.821917808219178,9.5,2.5,0.5588235294117647,0.0958904109589041,17.0,2.085714285714286,3.6979192906443648,-154.75,232.75,62.75,-32.97582094374047,false,false,false,true,1
2021-12-30T08:43:00.000000,14.62,16451.75,16468.75,16449.25,16466.75,15.0,15.0,0.8823529411764706,2.0,2.5,0.10256410256410256,0.023529411764705882,19.5,1.5426497277676952,1.5547175181443005,-112.25,64.5,-32.5,-45.02103028942656,false,false,true,true,3
2022-09-06T10:41:00.000000,15.0,12026.75,12048.5,12025.5,12047.25,20.5,20.5,0.7159090909090909,1.25,1.25,0.05434782608695652,0.07954545454545454,23.0,1.8106995884773662,1.1487444731792775,-155.5,-27.0,-142.5,-61.61800837391638,false,false,false,true,1
2023-11-16T08:33:00.000000,14.75,15828.25,15844.0,15826.25,15841.5,13.25,13.25,0.9418604651162791,2.5,2.0,0.14084507042253522,0.03488372093023256,17.75,2.760834670947031,2.5333660853189226,-221.0,-3.75,-18.25,-24.8166323520054,false,false,false,true,2
2024-02-16T08:33:00.000000,14.62,17888.75,17905.0,17886.75,17904.0,15.25,15.25,0.9764705882352941,1.0,2.0,0.0547945205479452,0.023529411764705882,18.25,2.2606382978723403,3.3875030470463963,-79.75,108.0,-63.5,-66.45926457668247,false,false,false,true,2
2024-02-23T10:14:00.000000,17.5,17947.5,17972.25,17946.0,17966.75,19.25,19.25,0.8796296296296297,5.5,1.5,0.20952380952380953,0.046296296296296294,26.25,1.7880794701986755,1.3393216532847487,-139.0,272.0,-75.25,-113.65582979240207,false,false,false,true,3
2025-01-02T08:40:00.000000,23.38,21177.25,21208.75,21166.5,21192.5,15.25,15.25,0.7483870967741936,16.25,10.75,0.38461538461538464,0.08387096774193549,42.25,1.5523284927391088,1.4741771105908277,-348.5,-5.75,-92.75,-169.35020829871064,false,false,false,true,2
2025-02-07T10:47:00.000000,23.5,21625.25,21652.0,21623.0,21646.5,21.25,21.25,0.8141025641025641,5.5,2.25,0.1896551724137931,0.07051282051282051,29.0,1.808695652173913,1.8376886435471662,-257.25,-80.75,-192.75,-162.775895999559,false,false,false,true,1
2025-02-25T08:32:00.000000,24.88,21336.25,21363.75,21335.25,21350.25,14.0,14.0,0.874251497005988,13.5,1.0,0.47368421052631576,0.08383233532934131,28.5,3.336663336663337,4.750949538795442,-477.25,-71.75,-106.75,-50.949847509320534,false,false,true,true,2
2025-02-26T08:31:00.000000,28.0,21194.5,21239.25,21192.25,21238.25,43.75,43.75,0.9479166666666666,1.0,2.25,0.02127659574468085,0.010416666666666666,47.0,3.2764505119453924,5.731000731281993,-481.75,203.25,-37.25,-78.67814517554507,false,false,false,true,2
2025-07-23T08:35:00.000000,12.38,23151.25,23167.25,23150.5,23166.0,14.75,14.75,0.9552238805970149,1.25,0.75,0.07462686567164178,0.04477611940298507,16.75,1.5005599104143337,1.4039758608448705,-215.75,43.25,-31.25,-61.96891530054563,false,false,false,true,1
2025-08-14T10:15:00.000000,14.0,23867.0,23882.0,23864.75,23875.75,8.75,8.75,0.7,6.25,2.25,0.36231884057971014,0.1125,17.25,1.7278617710583155,1.109744699690098,-201.5,-19.0,-81.75,-45.4737406263157,false,false,false,true,2
2025-09-03T10:41:00.000000,16.88,23398.0,23416.0,23397.75,23413.25,15.25,15.25,0.9514563106796117,2.75,0.25,0.1506849315068493,0.04854368932038835,18.25,2.3303167420814477,5.126650790214333,-87.0,372.25,56.0,-25.817315708249225,false,false,true,true,1
2025-11-04T10:41:00.000000,19.75,25758.5,25781.5,25755.75,25779.0,20.5,20.5,0.8492063492063492,2.5,2.75,0.0970873786407767,0.05555555555555555,25.75,1.992094861660079,1.311795874273368,-507.5,-254.25,-346.0,-38.87731181982599,false,false,true,true,1
2025-12-04T08:35:00.000000,33.62,25567.5,25614.25,25550.75,25608.25,40.75,40.75,0.8818565400843882,6.0,16.75,0.09448818897637795,0.10970464135021098,63.5,3.4649122807017543,4.388793350530238,-118.75,145.0,-83.75,-85.4535655949112,false,false,true,true,4
2026-02-18T08:35:00.000000,26.38,24769.0,24806.25,24755.75,24782.75,13.75,13.75,0.7988826815642458,23.5,13.25,0.46534653465346537,0.0446927374301676,50.5,2.1034077555816686,1.6544065638704202,-122.0,318.5,-6.0,-71.41989205759091,false,false,false,true,2
2026-03-18T10:36:00.000000,16.0,24832.0,24849.75,24832.0,24848.75,16.75,16.75,0.8958333333333334,1.0,0.0,0.056338028169014086,0.03125,17.75,1.855072463768116,2.2199798183652875,-285.5,251.5,-175.25,-131.14005838797675,false,false,true,true,1
