year,trades,wins,losses,net_points,avg_trade,winrate
2018,406,161,245,23.25,0.06,39.66
2019,266,103,163,327.25,1.23,38.72
2020,780,314,466,364.5,0.47,40.26
2021,820,306,514,-360.5,-0.44,37.32
2022,1106,432,674,788.75,0.71,39.06
2023,710,241,469,-313.5,-0.44,33.94
2024,825,319,506,493.0,0.6,38.67
2025,1025,393,632,33.25,0.03,38.34
2026,416,187,229,973.0,2.34,44.95
