year,trades,wins,losses,net_points,avg_trade,winrate
2018,18,7,11,-3.75,-0.21,38.89
2019,9,1,8,-39.25,-4.36,11.11
2020,43,17,26,-103.25,-2.4,39.53
2021,49,21,28,-41.25,-0.84,42.86
2022,56,29,27,188.75,3.37,51.79
2023,23,12,11,73.0,3.17,52.17
2024,38,13,25,14.5,0.38,34.21
2025,49,17,32,-111.0,-2.27,34.69
2026,19,5,14,-47.75,-2.51,26.32
