year,trades,wins,losses,net_points,avg_trade,winrate
2018,446,171,275,108.75,0.24,38.34
2019,295,115,180,298.75,1.01,38.98
2020,868,347,521,380.5,0.44,39.98
2021,910,341,569,-195.5,-0.21,37.47
2022,1258,503,755,1499.0,1.19,39.98
2023,834,273,561,-832.75,-1.0,32.73
2024,924,344,580,200.5,0.22,37.23
2025,1148,436,712,-416.5,-0.36,37.98
2026,487,205,282,711.0,1.46,42.09
