year,trades,wins,losses,net_points,avg_trade,winrate
2018,351,144,207,195.25,0.56,41.03
2019,234,89,145,254.5,1.09,38.03
2020,680,264,416,251.25,0.37,38.82
2021,710,267,443,31.5,0.04,37.61
2022,976,388,588,1016.25,1.04,39.75
2023,604,205,399,-135.0,-0.22,33.94
2024,711,257,454,-97.75,-0.14,36.15
2025,838,322,516,432.25,0.52,38.42
2026,355,155,200,768.25,2.16,43.66
