year,trades,wins,losses,net_points,avg_trade,winrate
2018,660,258,402,139.5,0.21,39.09
2019,440,169,271,472.5,1.07,38.41
2020,1247,491,756,295.0,0.24,39.37
2021,1291,494,797,-15.0,-0.01,38.26
2022,1892,722,1170,959.75,0.51,38.16
2023,1212,415,797,-749.5,-0.62,34.24
2024,1319,506,813,526.5,0.4,38.36
2025,1675,656,1019,100.5,0.06,39.16
2026,674,284,390,904.0,1.34,42.14
